master_id,year,volume,author,subject,title,year_start,year_end,notes,In PDF?
MASTER_00045,1865,NS 2,Lamprey,geology,Notes on the geology of the Great Plain *,1865,1865,,
MASTER_00046,1865,NS 2,"Kingsmill, T. W.",geology,A Sketch of the Geology of Quang -tung Province,1865,1865,"Quang-Tang Province, Currently Guangdong Province, 广东省",
MASTER_00047,1865,NS 2,"Swinhoe, R.",zoology,Birds and beasts of Formosa,1865,1865,"Formosa, the old name of Taiwan, 台湾",
MASTER_00048,1865,NS 2,"Brown, S. R.",Christianity,Annals of the Western Ocean,1865,1865,,
MASTER_00049,1865,NS 2,"Collins, V. D.",botany,"Sorgo, or Northern Chinese sugar cane",1865,1865,,
MASTER_00050,1865,NS 2,"Edkins, J.",travel and general descriptions,A Visit to the Agricultural Mongols,1865,1865,,
MASTER_00051,1865,NS 2,Bastion,archaeology,The Remains of Ancient Kambodia,1865,1865,"Cambodia, 柬埔寨",
MASTER_00052,1865,NS 2,"Kingsmill, T. W.",contemporary history,Retrospect of events in China and Japan,1865,1865,,
MASTER_00053,1864,NS 1,"Jamieson, R. A.",literature and language,The Hieroglyphic Character of the Chinese written Lan. 113,1864,1864,,n
MASTER_00054,1864,NS 1,"Jarvie, R.","agriculture, industry, and trade",Respecting China grass,1864,1864,,n
MASTER_00055,1864,NS 1,"Butcher, C. H.",social customs,Notes on the funeral rites performed at the obsequies of Takee,1864,1864,,n
MASTER_00056,1864,NS 1,"Stronach, W. T.",law,"Traces of the Judicium dei, or ordeal in Chinese law",1864,1864,,n
MASTER_00057,1864,NS 1,Lamprey,chemistry,"Remarks on the "" water we use "" in Shanghai",1864,1864,,n
MASTER_00058,1864,NS 1,"Jamieson, R. A.",Buddhism and social customs,Remarks upon exhibiting a To - lo Pall to the Society,1864,1864,,n
MASTER_00059,1864,NS 1,"Martin, W. A. P.",Judaism,"Account of an overland journey from Peking to Shanghai, February and March 1865",1864,1864,,n
MASTER_00060,1865,NS 2,"Martin, W. A. P.",travel and general descriptions,"Account of an overland journey from Peking to Shanghai, February and March 1866",1865,1865,,
MASTER_00061,1866,NS 3,"Williamson, A.",travel and general descriptions,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,1866,,
MASTER_00062,1866,NS 3,,travel,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,1866,,
MASTER_00063,1866,NS 3,,Literature; History,An account of a translation of a Japanese Manuscript,1866,1866,,
MASTER_00064,1866,NS 3,"Keer, J. G.",architecture and education,Description of the Great Examination Hall at Canton,1866,1866,,
MASTER_00065,1866,NS 3,"Wylie, A.",astronomy,Notes on the opinions of the Chinese with regard to eclipses,1866,1866,,
MASTER_00066,1866,NS 3,"McCartee, D. B.",zoology,On some Wild Silkworms of China ,1866,1866,,
MASTER_00067,1866,NS 3,"Williams, S. W.",history,Political intercourse between China and Lewchew,1866,1866,,
MASTER_00068,1866,NS 3,"Kingsmill, T. W.",geology,Notes on some outlying coal-fields in the south-eastern provinces of China,1866,1866,,
MASTER_00069,1866,NS 3,"Hollingworth, H. G.",social customs,"A Short sketch of the Chinese game of chess, Seang - kh'e",1866,1866,,
MASTER_00070,1866,NS 3,"Butcher, C. H.",contemporary history,"Retrospect of events in the north of China, 1866",1866,1866,,
MASTER_00071,1867,NS 4,"Bickmore, A. S.","geology, travel and general descriptions","Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *",1867,1867,"Canton, Guangzhou, 广州; Kwang Tung, Guangdong Province, 广东省; Kwangsi, Guangxi Province, 广西; Hunan, 湖南; Hankow, Hankou, 汉口",
MASTER_00072,1867,NS 4,"Gardener, C. T.",Christianity,Trans. Of inscription on tablet at Hangkow recording the changing the T'ien Chu Tang (Roman Catholic Church) into the T'ien Hao Tung *,1867,1867,"Hangchow, Hangzhou, 杭州; tienchu tang, tian zhu tang, 天主堂; tien hao kung, tian hou gong天后宫",
MASTER_00073,1867,NS 4,"Williamson, A.","agriculture, industry, trade and communications","Notes on the north of China, its productions and communications",1867,1867,,
MASTER_00074,1867,NS 4,"Williamson, A.","agriculture, industry, trade and geology","Notes on the productions, chiefly mineral of Shantung",1867,1867,"Shan Tung, Shandong Province, 山东省",
MASTER_00075,1867,NS 4,"Pryer, W. B.",zoology,Entomology of Shanghai,1867,1867,,
MASTER_00076,1867,NS 4,"Ellias, N.",hydrology,Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal,1867,1867,,
MASTER_00077,1867,NS 4,"Wylie, A.",astronomy,Eclipses recorded in Chinese works,1867,1867,,
MASTER_00078,1867,NS 4,"Mayers, W. F.",chronology,Chinese chronological tables,1867,1867,,
MASTER_00079,1867,NS 4,"Forrest, R. J.","Christianity, literature and language",The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books,1867,1867,,
MASTER_00080,1867,NS 4,"Simon, G. E.","agriculture, industry and trade","Carte agricole generale de l'Empire Chinois. Texte preface, legende et repertoire",1867,1867,,
MASTER_00081,1867,NS 4,"Watters, T.",mythology and zoology,Chinese notions about pigeons and doves,1867,1867,,
MASTER_00082,1867,NS 4,"Edkins, J.",geology,The Bituminous coal mines west of Peking,1867,1867,,
MASTER_00083,1867,NS 4,"Kingsmill, T. W.",contemporary history,"Retrospect of events in China and Japan, 1867",1867,1867,,
MASTER_00084,1867,NS 4,The Hankow Times,hydrology,"Flood in the Han River 1857 "" The Hankow Times """,1867,1867,,
MASTER_00085,1868,NS 5,"Simon, G. E.",economics,Note sur les petites societes d'argent en Chine,1868,1868,,
MASTER_00086,1868,NS 5,"Kingsmill, T. W.",geology,Notes on the coal fields and general geology of the neighbourhood of Nagasaki *,1868,1868,,
MASTER_00087,1868,NS 5,"Jenkins, B.",music,Notions of the ancient Chinese respecting music,1868,1868,,
MASTER_00088,1868,NS 5,"Bickmore, A. S.",geology,Some remarks on recent elevations of land in China and Japan,1868,1868,,
