K,semantic_coherence_mean,exclusivity_mean
10,-40.92207373080975,9.556017660989268
15,-43.292863330175855,9.718643437507858
20,-44.44457674075561,9.758499962953138
25,-48.19071445480627,9.761588343381797
30,-47.951215973431424,9.779052608153584
