model,K,topic_id,rank,word,word_type
stm,10,4,18,foot,prob
stm,10,4,19,piece,prob
stm,10,4,20,game,prob
stm,10,4,1,porcelain,frex
stm,10,4,2,coins,frex
stm,10,4,3,obverse,frex
stm,10,4,4,coin,frex
stm,10,4,5,musical,frex
stm,10,4,6,musical_instruments,frex
stm,10,4,7,wares,frex
stm,10,4,8,bronze,frex
stm,10,4,9,coinage,frex
stm,10,4,10,instrument,frex
stm,10,4,11,chinese_musical,frex
stm,10,4,12,holes,frex
stm,10,4,13,reverse,frex
stm,10,4,14,chinese_musical_instruments,frex
stm,10,4,15,game,frex
stm,10,4,16,mint,frex
stm,10,4,17,brass,frex
stm,10,4,18,instruments,frex
stm,10,4,19,games,frex
stm,10,4,20,strings,frex
stm,10,5,1,government,prob
stm,10,5,2,law,prob
stm,10,5,3,foreign,prob
stm,10,5,4,shanghai,prob
stm,10,5,5,sent,prob
stm,10,5,6,shall,prob
stm,10,5,7,peking,prob
stm,10,5,8,emperor,prob
stm,10,5,9,soon,prob
stm,10,5,10,family,prob
stm,10,5,11,english,prob
stm,10,5,12,japanese,prob
stm,10,5,13,japan,prob
stm,10,5,14,foreigners,prob
stm,10,5,15,went,prob
stm,10,5,16,canton,prob
stm,10,5,17,imperial,prob
stm,10,5,18,officers,prob
stm,10,5,19,children,prob
stm,10,5,20,treaty,prob
stm,10,5,1,treaty,frex
stm,10,5,2,portuguese,frex
stm,10,5,3,magistrate,frex
stm,10,5,4,chinese_law,frex
stm,10,5,5,commissioners,frex
stm,10,5,6,president,frex
stm,10,5,7,foreigners,frex
stm,10,5,8,settlement,frex
stm,10,5,9,code,frex
stm,10,5,10,forts,frex
stm,10,5,11,ward,frex
stm,10,5,12,british,frex
stm,10,5,13,punishment,frex
stm,10,5,14,ministers,frex
stm,10,5,15,party,frex
stm,10,5,16,dutch,frex
stm,10,5,17,treaties,frex
stm,10,5,18,policy,frex
stm,10,5,19,retrospect,frex
stm,10,5,20,guns,frex
stm,10,6,1,king,prob
stm,10,6,2,emperor,prob
stm,10,6,3,city,prob
stm,10,6,4,yuan,prob
stm,10,6,5,shi,prob
stm,10,6,6,son,prob
stm,10,6,7,sent,prob
stm,10,6,8,century,prob
stm,10,6,9,mongol,prob
stm,10,6,10,khan,prob
stm,10,6,11,river,prob
stm,10,6,12,ang,prob
stm,10,6,13,tong,prob
stm,10,6,14,capital,prob
stm,10,6,15,polo,prob
stm,10,6,16,sze,prob
stm,10,6,17,mentioned,prob
stm,10,6,18,reign,prob
stm,10,6,19,mongols,prob
stm,10,6,20,army,prob
stm,10,6,1,yuan_shi,frex
stm,10,6,2,mohammed,frex
stm,10,6,3,khan,frex
stm,10,6,4,annam,frex
stm,10,6,5,tong_king,frex
stm,10,6,6,tom,frex
stm,10,6,7,rashid,frex
stm,10,6,8,prophet,frex
stm,10,6,9,garnier,frex
stm,10,6,10,polo,frex
stm,10,6,11,tong,frex
stm,10,6,12,chap,frex
stm,10,6,13,moslem,frex
stm,10,6,14,moslems,frex
stm,10,6,15,noi,frex
stm,10,6,16,defeated,frex
stm,10,6,17,mohammedan,frex
stm,10,6,18,medieval,frex
stm,10,6,19,eunuch,frex
stm,10,6,20,biography,frex
stm,10,7,1,heaven,prob
stm,10,7,2,emperor,prob
stm,10,7,3,nature,prob
stm,10,7,4,confucius,prob
stm,10,7,5,god,prob
stm,10,7,6,king,prob
stm,10,7,7,death,prob
stm,10,7,8,moon,prob
stm,10,7,9,things,prob
stm,10,7,10,world,prob
stm,10,7,11,earth,prob
stm,10,7,12,spirit,prob
stm,10,7,13,son,prob
stm,10,7,14,tzu,prob
stm,10,7,15,human,prob
stm,10,7,16,family,prob
stm,10,7,17,mind,prob
stm,10,7,18,book,prob
stm,10,7,19,yang,prob
stm,10,7,20,worship,prob
stm,10,7,1,virtue,frex
stm,10,7,2,heaven,frex
stm,10,7,3,love,frex
stm,10,7,4,filial,frex
stm,10,7,5,confucius,frex
stm,10,7,6,destiny,frex
stm,10,7,7,god,frex
stm,10,7,8,doctrine,frex
stm,10,7,9,sacrifice,frex
stm,10,7,10,mencius,frex
stm,10,7,11,soul,frex
stm,10,7,12,heaven_earth,frex
stm,10,7,13,piety,frex
stm,10,7,14,moral,frex
stm,10,7,15,gods,frex
stm,10,7,16,filial_piety,frex
stm,10,7,17,spirit,frex
stm,10,7,18,universe,frex
stm,10,7,19,heart,frex
stm,10,7,20,sage,frex
stm,10,8,1,language,prob
stm,10,8,2,characters,prob
stm,10,8,3,modern,prob
stm,10,8,4,word,prob
stm,10,8,5,manchu,prob
stm,10,8,6,century,prob
stm,10,8,7,tungus,prob
stm,10,8,8,words,prob
stm,10,8,9,origin,prob
stm,10,8,10,northern,prob
stm,10,8,11,original,prob
stm,10,8,12,works,prob
stm,10,8,13,art,prob
stm,10,8,14,book,prob
stm,10,8,15,study,prob
stm,10,8,16,meaning,prob
stm,10,8,17,written,prob
stm,10,8,18,india,prob
stm,10,8,19,indian,prob
stm,10,8,20,books,prob
stm,10,8,1,tungus,frex
stm,10,8,2,goldi,frex
stm,10,8,3,peoples,frex
stm,10,8,4,phonetic,frex
stm,10,8,5,myth,frex
stm,10,8,6,languages,frex
stm,10,8,7,sanscrit,frex
stm,10,8,8,egypt,frex
stm,10,8,9,greek,frex
