master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_01.txt,analysis_text,7485,1972,4.169133603193391e-5,0.0016548648251972513,0.0065977031843948274,3.390875873861953e-4,0.0011178468956917445,0.022568365087938885,3.85984560008221e-4,0.07052312468895057,2.679719230302109e-4,1.2499607776163133e-4,9.312387851417892e-4,6.84641609527669e-4,0.002890615128109027,0.05734766787161598,2.678715469957281e-4,5.6596888136724e-6,0.011231323285074946,0.28120537673979507,3.827585851204029e-4,0.015979239467639243,0.002071456126515379,3.919597910081594e-4,0.051534194685386975,0.09524132103093381,1.0586075770621094e-5,9.755456645846903e-4,2.5997153968044905e-4,0.37318109158750884,0.0017153862435627019,7.045838082340778e-5
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_02.txt,analysis_text,13089,3507,4.647112843842002e-5,2.2542820490863086e-5,0.19559790542902486,2.3232828261477367e-4,5.249135206682472e-6,4.6971956032070477e-4,1.768315378533613e-5,3.170491077617588e-5,4.140225933261901e-6,0.16728298056033944,3.4751373629184e-5,1.1645719509322136e-5,1.100968810874603e-5,7.087022381925285e-6,1.058326233466985e-4,1.2212081646889648e-6,2.7453147622449783e-5,0.6329011938171746,3.0198485947417127e-7,0.002223997096595207,4.5229066813947245e-6,4.299358199974789e-5,1.1393578719515434e-4,7.534548799459829e-4,2.14564032483175e-5,2.3830414356077774e-7,1.0654569796200675e-5,3.2465989320097933e-6,5.234761932852685e-6,9.043317802604374e-6
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_03.txt,analysis_text,13131,3766,2.136133033128775e-7,6.6085388078398525e-9,4.335746150654482e-8,1.4543169879413413e-5,1.230629345315277e-4,3.130079964617008e-8,1.422659578092403e-6,5.013428493530734e-7,1.694909223282071e-8,1.8459677504541655e-4,1.5664008267071215e-4,6.527988724250491e-5,8.110568660944189e-7,2.87929262762722e-4,1.542027523157664e-6,1.8312678784843028e-6,1.989133268455193e-4,6.854041204527228e-7,0.05510424689302522,1.0579393872044705e-5,1.0577238668227068e-6,2.6319604075501484e-7,2.5274867572054488e-6,1.7169111324986065e-5,0.9432802823597835,2.212472395882896e-5,5.811994828149908e-5,7.549109432211686e-7,3.6251124828427247e-4,1.0229197687357858e-4
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_04.txt,analysis_text,2097,509,5.749666671853744e-6,3.8302079174902266e-4,0.015479636841270664,5.87615552827787e-4,0.06750333908779738,0.027150184215697145,3.532322116529629e-4,0.08992592299256891,1.405962120549258e-4,0.00420477386183966,0.1038616814006818,0.07726069476408422,6.341353545201627e-4,0.1342068859923832,0.008421172505098688,8.043804156076034e-5,0.0034134720069919793,0.056948740981745065,0.0328149404996844,0.02912951274010724,2.0295790139161695e-5,3.0260088990911757e-4,0.1464803617467673,0.033158648807017,6.482182256076204e-4,9.289513755451837e-4,0.07540925227125576,0.08615197325936265,0.0014064945722728336,0.002987457341135959
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850,Religion and Philosophy,Buddhism,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_05.txt,analysis_text,7437,1961,1.3316083851014767e-7,4.1005942509369754e-6,3.625464206055391e-5,7.663169097030737e-7,1.858932666236244e-5,5.2893104216261716e-5,4.0263732162546906e-4,0.042067701787648154,1.8859595502568084e-5,5.13590690863888e-7,3.953010028823902e-4,8.3116097076565e-4,0.03771563188342384,2.4725465598929525e-4,1.4345475256136572e-5,3.423362434086767e-6,0.07933978560173348,4.8381039529502343e-4,4.1028589763819945e-6,1.8397511326394403e-6,2.793884801177648e-6,1.1675066600285466e-4,2.208646410346386e-4,4.959541122191727e-5,8.308664576424251e-7,0.0011039340693535466,4.988967000675535e-4,0.83619327854685,1.9528449356886698e-6,1.7199697098165776e-4
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_06.txt,analysis_text,4449,1201,2.206391171625577e-5,2.979995740390638e-4,3.0707953818309366e-4,1.6828720072627638e-4,0.030811994768998853,8.344765134888347e-5,8.135769305312443e-6,1.6575330961606197e-6,1.458389547523763e-6,0.06672780337815501,1.0129624020743692e-5,2.6937261570959916e-5,1.965148076233183e-5,3.8530175733969557e-4,0.017410185027108605,4.161489034398334e-6,8.681414264820332e-6,0.0031287953864588837,9.589672040190503e-5,0.05038063234529759,8.599277629149512e-7,4.007674646108027e-5,0.0010050123840879218,0.8126662972055283,6.379945885715135e-5,7.63629362485375e-5,2.41391322960588e-4,2.360128953669213e-4,0.015399252559475078,3.706343418753095e-4
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880,Geography and Travel,Geography,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_07_record_of_occurence.txt,analysis_text,5454,1538,2.8601790926680956e-7,2.2303001027590175e-6,9.338087569784016e-5,8.539023978142218e-4,4.377777553430387e-5,2.249882915047365e-5,9.8942176762301e-5,1.0232784858018606e-5,8.573247379682262e-8,4.532762099197607e-4,5.888429208665282e-4,3.343439621280931e-5,2.606674807462658e-4,0.15833535580007269,3.730288006797473e-5,5.723108804816135e-8,3.349184370317649e-4,0.5693846765409597,1.1332884975567813e-4,1.8470608113766015e-4,5.846549652099106e-7,1.5612849850701302e-7,1.770469033833013e-4,0.2670528811328641,6.82056406615999e-5,1.1482662641538049e-4,2.1804901937824768e-4,5.428986794041708e-4,8.423965353832115e-4,1.3105096088461505e-4
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_01.txt,analysis_text,10353,2734,3.0532847802646336e-5,1.1847585788697909e-4,7.120893562677083e-5,6.829530966811734e-5,0.14185272926695935,2.4633478682913192e-5,2.5537029522942223e-6,8.013178519883664e-7,2.1642813861517385e-6,0.674242183134323,1.715509407421462e-6,2.3392825113357795e-6,1.8008677818128073e-5,4.4078852374307665e-5,0.01154927526416769,7.909706647656135e-6,7.452339836065791e-7,1.9112361138023425e-4,1.548862403968996e-5,0.0016315426740541928,1.190715481331806e-6,9.350481194441969e-6,2.0426525507122778e-4,0.16849608563297366,1.0317224903610731e-4,8.504932236052124e-5,9.064166507196831e-4,1.4105966687101145e-5,1.5273608429495315e-4,1.5182207265708754e-4
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_02.txt,analysis_text,2439,695,1.8913829052204494e-7,1.8262495183451941e-6,2.4500654468614574e-6,4.154888432570467e-5,7.680444870774658e-5,1.3948352054374572e-5,1.571557012861405e-5,5.696535447265239e-4,4.071712199521642e-6,9.726406785472223e-6,8.794807339511737e-6,4.464979523055738e-5,3.290200822785628e-4,0.06064551116490284,6.346765436159531e-5,7.168960677642465e-6,9.410538298218875e-4,1.7576016840339495e-4,4.586223843706982e-6,1.4385626239940554e-5,4.780690724148661e-6,2.210735834388879e-5,4.686903101641338e-6,4.4394562784734026e-4,4.870356963848599e-5,0.49430843908117905,0.003287479030843173,0.43849332322612145,1.8956383661637514e-5,3.9724544325569366e-4
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850,Literature and Language,Literature,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_03.txt,analysis_text,2850,842,1.4654982774135374e-5,1.283796051514804e-5,1.3280928042050878e-5,0.01244351747617341,8.854905945862393e-5,1.698563116754999e-4,1.1341233730251379e-4,4.472605623128333e-4,2.1463318246367713e-6,0.002663704539452559,0.003618586889354678,0.002463035325053169,2.1992344264335926e-5,0.293774045090308,6.35918522909797e-4,1.582964703823807e-5,0.5050064761038426,0.13256984778554093,2.8333919026416463e-4,3.098854706128289e-4,4.501185160204397e-5,1.2587516298075266e-5,9.367644591231612e-5,0.0032689035510387607,0.002831097713994824,0.0014110204661163905,3.8443405452232693e-4,0.0010381016730061001,0.03476012432909062,0.0014868655396982795
