master_id,filename,title,author,year,decade,L1,L2,language,cleaned_full_text_path,analysis_text_path,model_source_column,model_token_count_before_df,model_token_count_after_df,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_01.txt,analysis_text,7485,1972,2.9582375130857093e-4,0.0019691270996009505,0.00814917046149429,1.2536770050060921e-4,5.802165756828839e-4,2.9762475512084885e-4,1.304736053023151e-4,0.07542833231179176,4.400948263123572e-4,1.9217432430658352e-4,5.846917394881208e-4,0.0012049266103705731,0.04806774720994474,3.9452931824916756e-5,0.003283373497146638,3.329935211084007e-5,0.26213070913213327,0.4500850872144613,4.5905923189169784e-4,0.04617261746502371,0.0018882607226384479,3.0921396136628375e-4,0.05336874457033731,0.04473912468899627,2.5286260845161543e-5
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850,Natural Sciences,Meteorology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_02.txt,analysis_text,13089,3507,0.0025715141676400386,7.443830473213846e-5,0.39476070575438255,2.8830901378358196e-4,1.2569508282331057e-4,1.887580256925421e-4,3.8501877633582266e-5,2.2665261262026506e-5,2.5860282051094627e-8,0.2499507645715026,7.242795822221143e-5,1.0265085343258452e-4,4.304591736281804e-5,2.0934292302976738e-5,5.1166511733691166e-5,6.943905569881205e-7,1.758040955632226e-4,0.28282196192363396,1.1227084028630285e-5,0.05501611269898205,1.0034916956500255e-5,0.0018314241594849813,0.001477541845554497,0.010338979325313585,4.61610713776571e-6
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850,Arts and Archaeology,Numismatics,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_03.txt,analysis_text,13131,3766,7.259956818353165e-6,5.245717422151331e-7,9.803369023314144e-8,1.4778808624330737e-5,1.4413428141302155e-5,1.4040930658085318e-5,2.868998049149057e-6,3.3809603412996475e-8,9.510920684437202e-9,8.85385796583199e-6,1.6844379816249392e-4,1.6719231141121545e-4,1.1946056314340345e-6,2.92326146547506e-4,1.0910864146305325e-5,6.635460329023666e-8,9.016280606005903e-5,8.22780941070812e-6,2.2364919918111252e-4,3.769736970175748e-6,1.6160039323760907e-5,6.954620114163887e-5,4.575325064632743e-6,6.6061306237011645e-6,0.9988742867655083
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850,Anthropology and Social Customs,Ethnology,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_04.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_04.txt,analysis_text,2097,509,0.003227367209425044,0.002363327153328864,0.018171646377777802,6.962982593295962e-4,0.11809056785971248,0.01867848911509626,0.00414348217425223,0.11846331372208845,3.2317456847864002e-6,0.005175894555465045,0.11408830225854291,0.04151401652527335,0.0014442839685244355,0.016515910943251874,0.1388293777066594,4.815911313828589e-5,0.011278681347209711,0.14840694072825314,0.016252991144370166,0.03491053917726988,1.6016834280262598e-5,0.005928173167069075,0.14703837901964037,0.03258482515007981,0.0021297847442770606
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850,Religion and Philosophy,Buddhism,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_05.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_05.txt,analysis_text,7437,1961,2.2813345399117426e-6,1.6025633534928388e-6,3.6440463231214736e-5,3.4513742958368827e-6,1.9847460017285065e-4,1.2140210005275573e-4,2.659670257837644e-4,0.024136913414233283,4.4798141322925756e-8,7.845220644259838e-6,1.2869630283321597e-4,4.1189022095286813e-4,0.054863630854332254,8.949234409639628e-4,5.070331307719326e-4,5.050204955818598e-7,0.9179115171123688,2.4327950169085428e-4,1.5320221941354405e-6,2.258770930213329e-5,8.161220453603794e-7,7.890210623248384e-5,8.575692349555216e-5,5.8012601405995e-5,1.649403646623703e-5
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_06.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_06.txt,analysis_text,4449,1201,2.0579605131271884e-4,3.722277989241273e-4,0.007350415992973978,2.5138434351002387e-4,0.0020870756787945556,9.33363725169654e-4,8.930484082533973e-5,9.242026706647912e-7,2.6504235825691343e-9,0.09107302455525876,1.6752811361010143e-4,7.499449504998165e-5,3.148515581995862e-4,9.769123440105449e-5,1.4479949334896602e-4,1.2620988174718937e-7,2.087160998560934e-5,0.004112284652989442,0.002845357276692448,0.046345597801782726,8.081183394232613e-6,7.55607325894204e-5,0.0015804865217893314,0.8418327065241368,1.5542752284547147e-5
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880,Geography and Travel,Geography,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1858_07_record_of_occurence.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1858_07_record_of_occurence.txt,analysis_text,5454,1538,1.1045703362521108e-6,3.0994624316158e-5,0.006336449822445389,5.352555540080719e-4,6.76700582443099e-5,5.247853822153248e-5,3.2481296370517963e-4,3.1645869558266707e-5,4.96703938075771e-6,5.414850759425271e-4,5.454514418954866e-4,1.5040564825986836e-4,1.9884831415573902e-4,9.856986700332426e-5,5.446311534700517e-4,8.349592325507404e-7,2.589758834986792e-4,0.7951149807045084,2.819997021175903e-4,3.3838079239431964e-4,3.938229986155837e-6,1.428406773351608e-7,3.9783050858113766e-4,0.1941213779925871,1.6767845473823314e-5
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850,Geography and Travel,Travel,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_01.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_01.txt,analysis_text,10353,2734,0.04765508056706547,8.714633375954947e-4,2.6555112363546015e-4,1.2074368449090118e-4,0.11244027333670782,2.2280075716382355e-4,4.4952135517446405e-5,3.816053422167546e-8,2.525503185324705e-9,0.6994374820122929,3.6412035727699295e-6,3.851199285290009e-5,1.1175451059685297e-4,1.0129537457697217e-4,6.283669890928455e-5,5.35066457975286e-7,5.5136970030225e-6,1.7419063276283563e-4,5.996551187007083e-5,7.452099602164852e-4,8.278039345789674e-6,8.00442518506376e-5,1.380404340484986e-4,0.13739766137554393,1.413360988563016e-5
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850,Religion and Philosophy,Philosophy,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_02.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_02.txt,analysis_text,2439,695,6.070582472455009e-6,1.6207050208552703e-6,1.386918161146477e-5,1.962396870223786e-5,0.001361604603873583,2.812266519881362e-5,6.398236501697777e-4,3.585926279998628e-4,1.4659425604143642e-9,9.57520080310451e-6,7.4715204981784995e-6,3.8052302242780446e-5,0.6608586238475335,0.002411995729510854,0.16354884831113645,1.3829608814772833e-8,0.16786432874755872,0.0011532211276584195,2.7478637380542277e-5,2.1876756818457352e-5,2.568519641890509e-7,4.551552023731636e-6,4.037608940361837e-5,0.0015683545189607727,1.5645525906308607e-5
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850,Literature and Language,Literature,en,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_readable_texts_header_removed\1859_03.txt,C:\ras_text_analysis\files_for_text_analysis\outputs\cleaned_wordbag_text_header_removed\1859_03.txt,analysis_text,2850,842,2.1259538277208567e-5,5.167344273148031e-5,1.368732318860137e-4,8.357636657155177e-4,4.4601840651440846e-4,2.5654975386650694e-4,2.3665346600723898e-4,1.241784775395355e-5,3.9216231157940387e-8,0.001229543231364406,0.013463519039497832,0.5003453796851237,7.700046106730309e-5,0.004941063714000594,6.841337851332365e-5,1.6873030623292673e-7,0.004536734098328481,0.46941618638811683,4.0018799582196795e-4,2.8267887480550806e-4,2.0152490315744365e-5,1.4832445423787252e-4,3.2228134792155056e-4,0.0024144697843766216,3.3664775721852175e-4
