K,topic_id,L1,mean_topic_proportion,article_count,article_coverage,topic_label
15,1,Anthropology and Social Customs,0.004174752868525871,3,0.03409090909090909,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,"Economy, Trade, and Technology",0.002129956813539843,0,0.0,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,Literature and Language,0.0008752866322702115,0,0.0,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,"Politics, Government, and Law",0.000345079354330797,0,0.0,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,Religion and Philosophy,0.00024947169307595993,0,0.0,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,Military,0.00022243115378648944,0,0.0,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,History and Chronology,0.00016976461884876502,0,0.0,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,Arts and Archaeology,0.00016116573930095995,0,0.0,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,Education,0.00011731553540269382,0,0.0,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,2,Natural Sciences,0.07609670572072008,23,0.20175438596491227,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,Unknown,0.03872475669495115,3,0.08333333333333333,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,Geography and Travel,0.01213137621910385,5,0.05747126436781609,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,"Economy, Trade, and Technology",0.00985259275409273,3,0.09090909090909091,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,Anthropology and Social Customs,0.004314294734103923,1,0.011363636363636364,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,Religion and Philosophy,0.002551221452700713,1,0.012658227848101266,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,History and Chronology,0.0023295429213032164,0,0.0,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,Education,0.0021083800955829573,0,0.0,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,Arts and Archaeology,0.001885080138516773,1,0.015873015873015872,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,Literature and Language,0.0008689097338982872,0,0.0,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,"Politics, Government, and Law",0.00039808629378595777,0,0.0,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,Military,0.00014146837843239773,0,0.0,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,3,Military,0.21539794448448446,1,0.5,"FREX: chehkiang, drought, tax, salt, land_tax, cheo, likin, fuhkien, remitted, roads | Prob: summer, salt, taels, road, cheo, spring, drought, land, autumn, chihli | Representative: Droughts in China, A. D. 620-1643; The Salt revenue of China; Chinese revenue; Inland communications in China *"
