model,K,topic_id,rank,word,word_type
stm,30,0,1,genus,prob
stm,30,0,2,chinkiang,prob
stm,30,0,3,styan,prob
stm,30,0,4,family,prob
stm,30,0,5,winter,prob
stm,30,0,6,swinhoe,prob
stm,30,0,7,kiangyin,prob
stm,30,0,8,specimens,prob
stm,30,0,9,resident,prob
stm,30,0,10,collection,prob
stm,30,0,11,summer,prob
stm,30,0,12,shanghai,prob
stm,30,0,13,pall,prob
stm,30,0,14,museum,prob
stm,30,0,15,birds,prob
stm,30,0,16,soochow,prob
stm,30,0,17,yangtse,prob
stm,30,0,18,species,prob
stm,30,0,19,white,prob
stm,30,0,20,eastern,prob
stm,30,0,1,styan,frex
stm,30,0,2,kiangyin,frex
stm,30,0,3,chinkiang,frex
stm,30,0,4,genus,frex
stm,30,0,5,warbler,frex
stm,30,0,6,resident,frex
stm,30,0,7,yangtse_valley,frex
stm,30,0,8,swinhoe,frex
stm,30,0,9,shanghai_museum,frex
stm,30,0,10,fokien,frex
stm,30,0,11,gould,frex
stm,30,0,12,bunting,frex
stm,30,0,13,blyth,frex
stm,30,0,14,temm,frex
stm,30,0,15,yangtse,frex
stm,30,0,16,tit,frex
stm,30,0,17,flycatcher,frex
stm,30,0,18,gray,frex
stm,30,0,19,pall,frex
stm,30,0,20,throated,frex
stm,30,1,1,length,prob
stm,30,1,2,manchuria,prob
stm,30,1,3,breadth,prob
stm,30,1,4,rice,prob
stm,30,1,5,fruits,prob
stm,30,1,6,length_breadth,prob
stm,30,1,7,var,prob
stm,30,1,8,district,prob
stm,30,1,9,white,prob
stm,30,1,10,variety,prob
stm,30,1,11,red,prob
stm,30,1,12,skvortzow,prob
stm,30,1,13,plants,prob
stm,30,1,14,cultivated,prob
stm,30,1,15,yellow,prob
stm,30,1,16,seeds,prob
stm,30,1,17,leaves,prob
stm,30,1,18,trees,prob
stm,30,1,19,plant,prob
stm,30,1,20,varieties,prob
stm,30,1,1,length_breadth,frex
stm,30,1,2,skvortzow,frex
stm,30,1,3,breadth,frex
stm,30,1,4,north_manchuria,frex
stm,30,1,5,fruits,frex
stm,30,1,6,apricot,frex
stm,30,1,7,harbin,frex
stm,30,1,8,plum,frex
