decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
1850,0.06614838022500541,0.003467129471485118,0.04412973273525364,0.004841627181331523,0.04391557107034051,0.0037948739095689387,3.646710058989341e-4,0.010725481862960379,1.9116186910908758e-7,0.12027452026027499,0.008010111037101532,0.03864034462999715,0.045943952909608635,0.021980143435472176,0.027359492067999525,2.9219951341977467e-4,0.07545486123061321,0.21878862022290307,0.007574991859589556,0.018243066301362125,2.490389931401308e-4,0.03704351193001599,0.00716384466580794,0.16369871888445184,0.031894923434528925
1860,0.019811773341807982,0.01111555216501726,0.01689504349831796,0.008691808704006758,0.04458981686053353,0.030822354444674575,0.02229981107327472,0.027877308988529352,0.007061199323209735,0.14914473113270002,0.021661339582974788,0.033768012794507765,0.07865743653731036,0.06293122864340994,0.010303696179201578,0.0033707513150208787,0.0303638764500274,0.1575165844492581,0.003767293146356021,0.16117429054799923,4.928287522291875e-4,0.003763866815964276,0.01140681532422378,0.08050552220569636,0.0020070577237484267
1870,0.006538002661022057,0.004553030092498162,0.05468252542825079,0.04060504166366051,0.07867956357157586,0.020239042722481563,0.08015713201767485,0.13124294989891488,0.03184683857984109,0.06419053590527213,0.05157341199354388,0.04007429590141163,0.012681469776389606,0.08685086953617825,0.029571855664432586,0.0016288293863146084,0.07446745529874263,0.09260328966437442,0.015289044290707637,0.029328105205857363,4.409235922343337e-4,0.017524166466480737,0.008663973122972634,0.024606096951574955,0.001961550607592782
1880,6.099144137140331e-4,0.03718977698001492,0.004893128815817421,0.04663548758960307,0.022438692230172926,0.02046274472763732,0.03639376322142578,0.014348273267234823,0.019071973948774364,0.07284062998748421,0.05941628043473679,0.07522134053585769,0.04390885708428786,0.03997242118917496,0.04924054755450459,0.028667795773963247,0.06244312568203743,0.10095770674302058,0.046806373095746465,0.10494855493108995,0.03693376994774959,0.013173350964167531,0.00902265003926131,0.021749391454852454,0.03265344938767072
1890,0.002548099752588168,0.0013091951541452352,4.722950441978657e-4,0.0977741136578627,0.07122024008929903,0.008212584359623423,0.03907452653189724,0.15146076121607338,0.0038674834028672726,0.021387814169885246,0.02661444435912104,0.06758255955514825,0.06506777757745236,0.043198571196983594,0.08369146789278903,0.0023084067905518747,0.05947588316554622,0.021758630077518177,0.06320248100552961,0.00947235499768548,2.2536272724230236e-5,0.002863280139967369,0.07570572674375488,0.04128298727295724,0.040425779573831186
1900,0.033617459369018686,0.01919285664299335,8.136930593050027e-4,0.01622873243505565,0.16131874800508592,0.026663737184326464,0.01433682150074835,0.07034978985470239,4.586324480395012e-5,0.0915611356259803,0.027035173438677954,0.04493275824567201,0.07041663464341603,0.08157233224691736,0.06753972803224725,0.011456971795218172,0.036103740671416217,0.050315273085642015,0.08473848882139356,0.011812567429329476,0.03258222590779856,0.0037037033224038523,0.01627963214024273,0.0262132566783476,0.0011686766192572477
1910,0.06625941998094712,0.014524250301359492,0.006724313363133404,0.004769643070855855,0.10159593373572066,0.09664776860304941,0.016782736029026604,0.03480152278788701,0.01055360800737993,0.04083894762711859,0.022500120715714597,0.053281534318311854,0.04306091971998569,0.09603592853468557,0.013934989239688281,0.0028424463205367796,0.14247012036908288,0.0434223969973295,0.022628242098778666,0.05674926136747547,7.987581397813306e-5,0.050535222401112447,0.035348930909886826,0.018391198448842967,0.005220669238112372
1920,0.004455025630037589,0.02054348762258718,0.002257869336848406,0.004855947320654791,0.12436177548854085,0.06125448226889027,0.03893772819310112,0.0224750528044646,0.010730910970813854,0.029136082071751924,0.014983984378862612,0.03503438319968071,0.08262544278084333,0.12207101511752914,0.021652246779742305,0.00888225046667949,0.13364159247923363,0.05349208042805219,0.009280014899400774,0.05526250484209338,1.2733793864663654e-5,0.04897625478193402,0.07266824231619191,0.021811976464135362,5.969155640658604e-4
1930,0.028657779989943212,0.0058183038096231935,0.013678166442359946,0.0031141563382044357,0.03225235987134622,0.028155843489513215,0.01787426410310207,0.09451063531855923,0.015357709861231666,0.01085661667546212,0.002684823884420875,0.05315644260713196,0.11410713448286555,0.07524084751644972,0.010106921805176935,0.005482119223522487,0.27267478617926627,0.0832168409339518,5.522960275441823e-4,0.028287261830787867,0.002762734966650932,0.015382443351737133,0.07762033781830112,0.004329797206832321,0.004119376266015601
1940,2.711967867816251e-5,2.061287614218191e-5,6.433851121230509e-5,3.1785003101256594e-4,0.1326273120468271,0.17774345013012519,0.004157773430370088,0.004597210862924107,1.5613715505794375e-7,0.0014827562152257131,0.46730312502607163,0.017485018033284207,0.0039060696959006772,0.06415018312171206,0.04319023731869241,1.4717906687992942e-10,0.04423421947842528,0.005084319566433899,0.002431443350841643,9.673156460705026e-4,4.378348719343137e-6,5.464437246020205e-9,0.016312968919541208,0.012002397095875767,0.0018897388671422093
