K,topic_id,rank,theta,master_id,title,author,year,decade,L1,topic_label
15,1,2,0.9998322485021888,MASTER_00164,Early European researches into the flora of China,"Bretschneider, E.",1880,1880,Natural Sciences,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,3,0.9394634126390196,MASTER_00233,Chinese names of plants,"Henry, A.",1887,1880,Natural Sciences,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,4,0.9290329968834034,MASTER_00164,Early European researches into the flora of China,"Bretschneider, E.",1880,1880,Natural Sciences,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,5,0.925416112246952,MASTER_00317,Contribution to the nomenclature of Chinese plants,"Faber, E.",1907,1900,Natural Sciences,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,6,0.7075037208399964,MASTER_00233,Chinese names of plants,"Henry, A.",1887,1880,Natural Sciences,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,7,0.5181871649112393,MASTER_00308,Java,"Mencarini, J.",1905,1900,Geography and Travel,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,8,0.4361249139343316,MASTER_00233,Chinese names of plants,"Henry, A.",1887,1880,Natural Sciences,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,9,0.2669193886634808,,,,1920,1920,Unknown,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,10,0.2615293747381028,MASTER_00450,Plants from Peitaiho,"Cowdry, N. H.",1922,1920,Natural Sciences,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,11,0.256575425975139,,,,1920,1920,Unknown,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,1,12,0.1039280511857637,MASTER_00049,"Sorgo, or Northern Chinese sugar cane","Collins, V. D.",1865,1860,Natural Sciences,"FREX: lour, cultivated_china, thbg, kth, china_cochin, fructu, foliis, linn, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
15,2,1,0.9998439405037716,MASTER_00156,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,2,0.999812575250974,MASTER_00156,The Climate of Eastern Asia,"Fritsche, H.",1877,1870,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,3,0.979826429169528,MASTER_00121,"Meteorological observations, April - December 1872",Meteorological Committee,1871,1870,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,4,0.7813096238643128,MASTER_00158,Periodical change of terrestrial magnetism *,"Schulze, F. W.",1878,1870,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
15,2,5,0.6723092001216366,MASTER_00019,"Meteorological tables, from observations made in Japan",,1859,1850,Natural Sciences,"FREX: temperature, magnetic, magnetism, victoria, amoor, vapour, hourly, latitude, eastern_asia, humidity | Prob: temperature, mean, eastern, asia, sea, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
