model,K,topic_id,rank,word,word_type
stm,25,0,1,genus,prob
stm,25,0,2,birds,prob
stm,25,0,3,species,prob
stm,25,0,4,chinkiang,prob
stm,25,0,5,styan,prob
stm,25,0,6,family,prob
stm,25,0,7,bird,prob
stm,25,0,8,winter,prob
stm,25,0,9,fish,prob
stm,25,0,10,white,prob
stm,25,0,11,soochow,prob
stm,25,0,12,black,prob
stm,25,0,13,swinhoe,prob
stm,25,0,14,brown,prob
stm,25,0,15,tail,prob
stm,25,0,16,specimens,prob
stm,25,0,17,dove,prob
stm,25,0,18,shanghai,prob
stm,25,0,19,fine,prob
stm,25,0,20,kiangyin,prob
stm,25,0,1,styan,frex
stm,25,0,2,kiangyin,frex
stm,25,0,3,chinkiang,frex
stm,25,0,4,alligator,frex
stm,25,0,5,genus,frex
stm,25,0,6,flying_fish,frex
stm,25,0,7,warbler,frex
stm,25,0,8,swinhoe,frex
stm,25,0,9,dove,frex
stm,25,0,10,soochow,frex
stm,25,0,11,flies,frex
stm,25,0,12,petrel,frex
stm,25,0,13,moths,frex
stm,25,0,14,gulls,frex
stm,25,0,15,bird,frex
stm,25,0,16,shanghai_museum,frex
stm,25,0,17,resident,frex
stm,25,0,18,crocodile,frex
stm,25,0,19,flying,frex
stm,25,0,20,doves,frex
stm,25,1,1,length,prob
stm,25,1,2,manchuria,prob
stm,25,1,3,breadth,prob
stm,25,1,4,rice,prob
stm,25,1,5,var,prob
stm,25,1,6,fruits,prob
stm,25,1,7,length_breadth,prob
stm,25,1,8,variety,prob
stm,25,1,9,district,prob
stm,25,1,10,plants,prob
stm,25,1,11,white,prob
stm,25,1,12,red,prob
stm,25,1,13,leaves,prob
stm,25,1,14,seeds,prob
stm,25,1,15,yellow,prob
stm,25,1,16,cultivated,prob
stm,25,1,17,plant,prob
stm,25,1,18,skvortzow,prob
stm,25,1,19,trees,prob
stm,25,1,20,varieties,prob
stm,25,1,1,length_breadth,frex
stm,25,1,2,skvortzow,frex
stm,25,1,3,breadth,frex
stm,25,1,4,north_manchuria,frex
stm,25,1,5,fruits,frex
stm,25,1,6,apricot,frex
stm,25,1,7,harbin,frex
stm,25,1,8,poppy,frex
stm,25,1,9,plum,frex
stm,25,1,10,var,frex
stm,25,1,11,jour,frex
