decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
1850,0.006268064051952983,0.002480066616725553,0.029697280700861223,0.001510157122528903,0.04618250644514571,0.003247773528861731,4.809597429561328e-5,0.0115158024295988,0.017594085089283104,0.11011142916410309,0.0056293775647432735,0.005286065924626526,0.029649371911694613,0.05269337752296107,0.03365036692641158,2.876259107184276e-4,0.0538784130685509,0.19690408709530166,0.002831854683052598,0.019456119297318584,1.8727701493161255e-4,0.03608005746936706,0.007126311183182809,0.16983201138446427,0.03256786303086065,0.03618079331632286,0.006421469033237814,0.06435374860731626,0.01023428502181211,0.008094262909768685
1860,0.0010459283043907609,0.005008838361767671,0.014404567653815413,0.008589820167231907,0.023658144888288168,0.02065117952512362,0.0065388034409546054,0.02811845186308336,0.013880808477743941,0.12421902416034758,0.018448790723608832,0.02434474387106221,0.03305472604473581,0.07591766164912139,0.012000535750544222,0.0032825276893498215,0.01579413136709709,0.09501315787464831,0.00924231246984227,0.16980818118858979,2.9270698245836905e-4,0.0016932603343078438,0.01376467368325716,0.08485072998732279,0.0030464727388604352,0.0385621367864114,0.03411643474266973,0.0549358237215661,0.005693485267172916,0.060021940284626554
1870,0.016743670574878425,0.003195407683544556,0.05066651652089293,0.040000708489740945,0.02255462512344563,6.715188352608641e-4,0.09890392615303834,0.1283996856680667,0.03191839324446088,0.04494686434375358,0.04500720094828205,0.0441006663553411,0.0030855658881280136,0.06337479534172927,0.018250791435353676,4.312965276412541e-4,0.06666316218850422,0.06842109099086448,0.017549583548474353,0.025736344504258893,2.5632993015988143e-4,0.016207081347882204,0.007874750797171969,0.02206164799406208,0.0022717744561374866,0.025195605078861014,0.04376002278419029,0.03155491081721381,0.0025501056630984546,0.057645956765562695
1880,6.833918719111612e-4,0.03697008990459453,0.0055303609340907455,0.012100254337382493,0.015057526295085699,0.004511176303667786,0.018438072700151686,0.014172423401445894,0.0022294536434604127,0.07740714026083546,0.04541741489502735,0.040197601814388195,0.018521019673561175,0.08186530659644024,0.019280758959419463,0.02811694102701273,0.09430462790787246,0.05971640593321715,0.028832355638144177,0.09013200506761218,0.03692579839394886,0.013464455570105489,0.010010647251155098,0.017028467681499744,0.05705495277631339,0.024761243312106437,0.02904863517424921,0.047241645700539306,0.03955948094810294,0.031420346026658635
1890,1.130885685245459e-5,0.0012228909366283145,5.586527613559859e-4,0.029655206516830908,0.02357641904499773,1.3743803221376438e-4,0.022778157470202506,0.1453895832684749,0.0012872510043208025,0.021500169333446124,0.023757341108680458,0.062230537020509735,0.05447634139081734,0.09299369633300543,0.03693751537966984,0.002219642660702967,0.03873393671557306,0.006868605713767633,0.040270787061067945,0.006453845922040563,1.261780318008222e-5,0.002763580069227425,0.08091162422486678,0.04030479703435827,0.07127518080202579,0.011532801853926212,0.07520876590021054,0.060213630628969166,0.0332016612475189,0.013516013904558404
1900,0.033402218524920764,0.01569608276436414,7.101325575749659e-4,0.008751698954682294,0.08143040106368546,2.069642686636156e-4,8.782984558035662e-4,0.06831606233062974,6.573147408663208e-4,0.08773004544014297,0.018197394447191734,0.03518557110417206,0.02829979761773668,0.1418856155488186,0.006526109209055867,0.012372039248719638,0.02503815808607016,0.005262604067513432,0.007889344101234793,0.008594456257935177,0.029715303434791833,0.0017149248992980337,0.020933131864772848,0.022534199875806932,0.009705411304803555,0.024121479897508007,0.09381759271326601,0.08294840594356596,0.0856693352814036,0.041809905995001194
1910,0.03697554795767149,0.012417378945660869,0.006255529452368583,0.004520779742164907,0.06309213695855226,0.06648256411951539,0.004827406789689197,0.031194232619887644,0.0034510447472107706,0.036469226760137675,0.018661235065726072,0.05089428552913627,0.004698816102705648,0.029508643424148977,0.02469836882663609,0.0023827514544540037,0.06858261195717129,0.025974829962777696,0.0033241902719354614,0.030970306354848612,4.927816182324207e-5,0.039865216842822106,0.03352946197991275,0.01743934554361891,0.004127037222793233,0.05254329986749327,0.09295844258325635,0.1251812680612982,0.02437932967998328,0.08454543301459984
1920,6.507679029763813e-4,0.018094153585758527,0.0016873565036307002,0.002213903295797172,0.06227253079741481,0.046771660168264874,0.001811473156965898,0.017691530624705715,0.011710632176168329,0.02917724275482621,0.01166669373738865,0.02224596745692488,0.01587392741537965,0.0607516349503124,0.004003981286594754,0.008953316314163717,0.0363429486457558,0.03388927353191889,9.983812265035633e-4,0.03652416761899048,1.8058552965911635e-6,0.04500984124935336,0.0664644135051353,0.01937409785094629,0.0031138387981542,0.13627114341680388,0.10194085355146022,0.1405002142816045,0.014028289292825338,0.04996395904797895
1930,0.007348118092995038,0.0031514354691314353,0.009150248957712149,0.0019603772571619112,0.01815603259585701,0.10542779842828444,1.1832076492342182e-4,0.08511320302016735,0.0017100861045416568,0.011986323104075072,0.0014884785348465417,0.042389289010492555,0.006403948261866318,0.036361434047412655,0.0022909402395194073,0.0010211874103995264,0.20454998829249865,0.053536741292101196,5.3393514472198264e-5,0.0026919087984103016,7.274685410505825e-4,0.0055037696048788375,0.0653767602687382,0.004964125600502603,3.6596438630820015e-4,0.11899971306620492,0.014865044356000426,0.17644556223971294,0.0011480400681689565,0.016694298671565373
1940,2.0533275535161472e-7,4.0160277070727664e-5,9.36438480082932e-4,8.386646907906682e-5,0.03724000276152054,3.0010184948177707e-4,8.055826955779977e-4,0.0033854606466854993,2.4032022930466384e-5,9.46231339905951e-4,0.45395040230053935,0.01600883948536742,0.008911877795772379,0.012344435833215097,2.0242137930749967e-12,2.356367557360862e-5,0.0023321835158217593,0.0011527017204740627,1.6377136854549737e-4,4.5553234732737354e-4,5.076487526280718e-10,1.601954355736263e-5,0.01324143703883741,0.01138363601003652,4.546343170220098e-4,0.0016490292607470192,0.09065084374758345,0.10212846461315184,3.171135014616726e-4,0.24105343154020284
