K,semantic_coherence_mean,exclusivity_mean,coherence_norm,exclusivity_norm,balanced_score,coherence_weighted_score
10,-35.73524168849084,9.544756725521594,1.0,0.0,0.5,0.6
15,-41.49926863491232,9.730273985542228,0.44708299741778407,0.7589669989381596,0.6030249981779718,0.5718365980259343
20,-43.29250172182348,9.754646505775863,0.2750662680439325,0.8586770665417045,0.5668716672928185,0.5085105874430413
25,-44.6336432729934,9.787618788256346,0.1464166323978476,0.9935694980037141,0.5699930652007809,0.48527777864019417
30,-46.16000149783383,9.789190620908592,0.0,1.0,0.5,0.4
