decade,model,K,topic_id,mean_topic_proportion,article_count,article_coverage,topic_words,topic_label
1870,stm,10,1,0.0065277340172645,2,0.0327868852459016,"lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum","FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
1880,stm,10,1,0.0692940987468523,9,0.108433734939759,"lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum","FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
1890,stm,10,1,0.0020787354730673,1,0.0263157894736842,"lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum","FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
1900,stm,10,1,0.0514469430725963,2,0.0666666666666666,"lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum","FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
1910,stm,10,1,0.0018267902278725,0,0.0,"lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum","FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
1920,stm,10,1,0.0095178322509664,6,0.048780487804878,"lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum","FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
1930,stm,10,1,0.0047403746569802,1,0.0416666666666666,"lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum","FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
1940,stm,10,1,6.64154645809999e-05,0,0.0,"lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum","FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java"
1850,stm,10,2,0.0854624791522835,4,0.1212121212121212,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
1860,stm,10,2,0.0366651442554792,11,0.2115384615384615,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
1870,stm,10,2,0.0811131450337893,7,0.1147540983606557,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
1880,stm,10,2,0.0173364616929551,7,0.0843373493975903,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
1890,stm,10,2,0.0108870980241217,5,0.131578947368421,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
1900,stm,10,2,0.0037030482622715,0,0.0,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
1910,stm,10,2,0.0149322536338864,7,0.075268817204301,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
1920,stm,10,2,0.0083732547381885,6,0.048780487804878,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
1930,stm,10,2,0.023757212549505,3,0.125,"temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent","FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
