model,K,topic_id,rank,word,word_type
stm,15,0,1,species,prob
stm,15,0,2,length,prob
stm,15,0,3,leaves,prob
stm,15,0,4,genus,prob
stm,15,0,5,white,prob
stm,15,0,6,manchuria,prob
stm,15,0,7,flowers,prob
stm,15,0,8,breadth,prob
stm,15,0,9,yellow,prob
stm,15,0,10,family,prob
stm,15,0,11,rice,prob
stm,15,0,12,var,prob
stm,15,0,13,red,prob
stm,15,0,14,winter,prob
stm,15,0,15,fruits,prob
stm,15,0,16,length_breadth,prob
stm,15,0,17,brown,prob
stm,15,0,18,chinkiang,prob
stm,15,0,19,plants,prob
stm,15,0,20,styan,prob
stm,15,0,1,skvortzow,frex
stm,15,0,2,styan,frex
stm,15,0,3,north_manchuria,frex
stm,15,0,4,length_breadth,frex
stm,15,0,5,genus,frex
stm,15,0,6,kiangyin,frex
stm,15,0,7,breadth,frex
stm,15,0,8,ovate,frex
stm,15,0,9,pall,frex
stm,15,0,10,leaflets,frex
stm,15,0,11,dorsal,frex
stm,15,0,12,slender,frex
stm,15,0,13,swinhoe,frex
stm,15,0,14,ventral,frex
stm,15,0,15,glabrous,frex
stm,15,0,16,chinkiang,frex
stm,15,0,17,hairs,frex
stm,15,0,18,harbin,frex
stm,15,0,19,lanceolate,frex
stm,15,0,20,elongate,frex
stm,15,1,1,lour,prob
stm,15,1,2,sin,prob
stm,15,1,3,linn,prob
stm,15,1,4,plant,prob
stm,15,1,5,cochin,prob
stm,15,1,6,canton,prob
stm,15,1,7,plants,prob
stm,15,1,8,tree,prob
stm,15,1,9,leaves,prob
stm,15,1,10,tab,prob
stm,15,1,11,china_cochin,prob
stm,15,1,12,king,prob
stm,15,1,13,chinensis,prob
stm,15,1,14,cultivated,prob
stm,15,1,15,folio,prob
stm,15,1,16,fruit,prob
stm,15,1,17,shi,prob
stm,15,1,18,foliis,prob
stm,15,1,19,species,prob
stm,15,1,20,peking,prob
stm,15,1,1,lour,frex
stm,15,1,2,cultivated_china,frex
stm,15,1,3,thbg,frex
