decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1850,0.08784610076020789,0.0017142478968281746,0.08546247915228357,0.021711791751428587,0.05896994583631533,0.32431681903947746,0.02359329571754794,0.12515145995049573,0.1082371391342952,0.16299672076112012
1860,0.045278419599166383,0.00926452589500266,0.0366651442554792,0.02264774002360297,0.05260770483949804,0.24769324236354828,0.05485937971845241,0.15327607121639159,0.059101731826641274,0.3186060402622172
1870,0.03225443083029413,0.006527734017264532,0.08111314503378934,0.05060942501144912,0.08298985697800029,0.14230818967371808,0.14914122448436634,0.19148259995442077,0.14205302249684593,0.12152037151985147
1880,0.04903963083653492,0.06929409874685237,0.01733646169295514,0.09245536802708526,0.064078247617181755,0.1474018731975554,0.12279050028053157,0.12597058035041037,0.13513769048120336,0.17649554876968984
1890,0.03775039419872791,0.0020787354730673283,0.010887098024121798,0.13408477554923268,0.11353636397515367,0.1675844372841233,0.07077067868352008,0.21124268543531347,0.20660718602877726,0.04545764534796252
1900,0.04354759507061123,0.051446943072596306,0.0037030482622715647,0.09748326202350475,0.06207677308471244,0.1719090095973192,0.07058471539746103,0.23881221618422,0.10802778138322668,0.15240865592407693
1910,0.12792280050810168,0.0018267902278725713,0.014932253633886481,0.01504625393575997,0.1368449968247683,0.06531203942983692,0.04977257407158368,0.3069484692586691,0.15377982655085565,0.12761399555866568
1920,0.09216733814531909,0.009517832250966444,0.008373254738188559,0.023039669705650516,0.05388620410464484,0.09514940207075395,0.05992400040602219,0.37577020760563695,0.16861695730298207,0.11355513366983544
1930,0.06809826941569075,0.004740374656980222,0.02375721254950502,0.009105950318589013,0.053597477615111085,0.08276398261960731,0.035321157244747374,0.32030961229798977,0.36737962905748905,0.0349263342242904
1940,2.403506556803825e-4,6.64154645809999e-5,8.52503500105916e-4,0.001385008132530909,0.03198203241226296,0.03631772989999397,0.5184843554860492,0.27278388116701663,0.04453520353066522,0.09335251975111397
