decade,model,K,topic_id,mean_topic_proportion,article_count,article_coverage,topic_words,topic_label
1860,stm,30,1,0.0050088383617676,1,0.0192307692307692,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1870,stm,30,1,0.0031954076835445,2,0.0327868852459016,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1880,stm,30,1,0.0369700899045945,3,0.036144578313253,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1890,stm,30,1,0.0012228909366283,0,0.0,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1900,stm,30,1,0.0156960827643641,1,0.0333333333333333,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1910,stm,30,1,0.0124173789456608,2,0.021505376344086,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1920,stm,30,1,0.0180941535857585,3,0.024390243902439,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1930,stm,30,1,0.0031514354691314,0,0.0,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1940,stm,30,1,4.0160277070727664e-05,0,0.0,"length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum","FREX: length_breadth, skvortzow, breadth, north_manchuria, fruits, apricot, harbin, plum, poppy, var | Prob: length, manchuria, breadth, rice, fruits, length_breadth, var, district, white, variety | Representative: Corea; Formosa; Java; Sorgo, or Northern Chinese sugar cane"
1850,stm,30,2,0.0296972807008612,4,0.1212121212121212,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1860,stm,30,2,0.0144045676538154,3,0.0576923076923076,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1870,stm,30,2,0.0506665165208929,4,0.0655737704918032,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1880,stm,30,2,0.0055303609340907,2,0.0240963855421686,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
1890,stm,30,2,0.0005586527613559859,0,0.0,"temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly","FREX: temperature, victoria, vapour, nerchinsk, amoor, diff, eastern_asia, hourly, cyclone, okhotsk | Prob: temperature, mean, eastern, asia, annual, peking, sea, table, eastern_asia, observations | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Meteorological tables, from observations made in Japan; Notes on temperatures in high altitudes on the Tibetan border"
