model,K,topic_id,rank,word,word_type
stm,20,0,1,genus,prob
stm,20,0,2,species,prob
stm,20,0,3,birds,prob
stm,20,0,4,bird,prob
stm,20,0,5,chinkiang,prob
stm,20,0,6,winter,prob
stm,20,0,7,family,prob
stm,20,0,8,fish,prob
stm,20,0,9,styan,prob
stm,20,0,10,black,prob
stm,20,0,11,white,prob
stm,20,0,12,brown,prob
stm,20,0,13,tail,prob
stm,20,0,14,swinhoe,prob
stm,20,0,15,soochow,prob
stm,20,0,16,specimens,prob
stm,20,0,17,pall,prob
stm,20,0,18,shanghai,prob
stm,20,0,19,var,prob
stm,20,0,20,summer,prob
stm,20,0,1,styan,frex
stm,20,0,2,kiangyin,frex
stm,20,0,3,swinhoe,frex
stm,20,0,4,alligator,frex
stm,20,0,5,genus,frex
stm,20,0,6,chinkiang,frex
stm,20,0,7,pall,frex
stm,20,0,8,flying_fish,frex
stm,20,0,9,temm,frex
stm,20,0,10,bird,frex
stm,20,0,11,gould,frex
stm,20,0,12,flying,frex
stm,20,0,13,warbler,frex
stm,20,0,14,soochow,frex
stm,20,0,15,dove,frex
stm,20,0,16,flies,frex
stm,20,0,17,tail,frex
stm,20,0,18,wagtail,frex
stm,20,0,19,cuckoo,frex
stm,20,0,20,swallows,frex
stm,20,1,1,lour,prob
stm,20,1,2,linn,prob
stm,20,1,3,sin,prob
stm,20,1,4,cochin,prob
stm,20,1,5,canton,prob
stm,20,1,6,tab,prob
stm,20,1,7,plant,prob
stm,20,1,8,china_cochin,prob
stm,20,1,9,plants,prob
stm,20,1,10,folio,prob
stm,20,1,11,chinensis,prob
stm,20,1,12,foliis,prob
stm,20,1,13,cult,prob
stm,20,1,14,india,prob
stm,20,1,15,chin,prob
stm,20,1,16,cultivated,prob
stm,20,1,17,chusan,prob
stm,20,1,18,peking,prob
stm,20,1,19,sinensis,prob
stm,20,1,20,tree,prob
stm,20,1,1,lour,frex
stm,20,1,2,china_cochin,frex
stm,20,1,3,linn,frex
stm,20,1,4,danes,frex
stm,20,1,5,folio,frex
stm,20,1,6,tab,frex
stm,20,1,7,foliis,frex
stm,20,1,8,martini,frex
stm,20,1,9,osbeck,frex
stm,20,1,10,chusan,frex
stm,20,1,11,flor,frex
stm,20,1,12,flore,frex
stm,20,1,13,sinarum,frex
stm,20,1,14,cochin,frex
stm,20,1,15,frutex,frex
stm,20,1,16,albo,frex
stm,20,1,17,folia,frex
stm,20,1,18,linnaeus,frex
stm,20,1,19,kth,frex
stm,20,1,20,dubia,frex
stm,20,2,1,temperature,prob
stm,20,2,2,mean,prob
stm,20,2,3,asia,prob
stm,20,2,4,eastern,prob
stm,20,2,5,annual,prob
stm,20,2,6,sea,prob
stm,20,2,7,peking,prob
stm,20,2,8,observations,prob
stm,20,2,9,eastern_asia,prob
stm,20,2,10,table,prob
stm,20,2,11,northern,prob
stm,20,2,12,daily,prob
stm,20,2,13,magnetic,prob
stm,20,2,14,continent,prob
stm,20,2,15,latitude,prob
stm,20,2,16,winter,prob
stm,20,2,17,summer,prob
stm,20,2,18,air,prob
stm,20,2,19,islands,prob
stm,20,2,20,pressure,prob
stm,20,2,1,magnetic,frex
stm,20,2,2,temperature,frex
stm,20,2,3,victoria,frex
stm,20,2,4,magnetism,frex
stm,20,2,5,amoor,frex
stm,20,2,6,vapour,frex
stm,20,2,7,eastern_asia,frex
stm,20,2,8,continent,frex
stm,20,2,9,currents,frex
stm,20,2,10,nerchinsk,frex
stm,20,2,11,hourly,frex
stm,20,2,12,monthly,frex
stm,20,2,13,latitude,frex
stm,20,2,14,atmospheric_pressure,frex
stm,20,2,15,diff,frex
stm,20,2,16,okhotsk,frex
stm,20,2,17,maximum,frex
stm,20,2,18,terrestrial_magnetism,frex
stm,20,2,19,cyclone,frex
stm,20,2,20,mean_temperature,frex
stm,20,3,1,summer,prob
stm,20,3,2,taels,prob
stm,20,3,3,salt,prob
stm,20,3,4,road,prob
stm,20,3,5,spring,prob
stm,20,3,6,drought,prob
stm,20,3,7,cheo,prob
stm,20,3,8,land,prob
stm,20,3,9,autumn,prob
stm,20,3,10,tax,prob
stm,20,3,11,province,prob
stm,20,3,12,roads,prob
stm,20,3,13,honan,prob
stm,20,3,14,provinces,prob
stm,20,3,15,chihli,prob
stm,20,3,16,shansi,prob
stm,20,3,17,shensi,prob
stm,20,3,18,chehkiang,prob
stm,20,3,19,river,prob
stm,20,3,20,kiangsu,prob
stm,20,3,1,tax,frex
stm,20,3,2,chehkiang,frex
stm,20,3,3,land_tax,frex
stm,20,3,4,drought,frex
stm,20,3,5,salt,frex
stm,20,3,6,likin,frex
stm,20,3,7,fuhkien,frex
stm,20,3,8,remitted,frex
stm,20,3,9,cheo,frex
stm,20,3,10,roads,frex
stm,20,3,11,taels,frex
stm,20,3,12,tls,frex
stm,20,3,13,hwai,frex
stm,20,3,14,honan,frex
stm,20,3,15,routes,frex
stm,20,3,16,cart,frex
stm,20,3,17,kiangsu,frex
stm,20,3,18,cost,frex
stm,20,3,19,hupeh,frex
stm,20,3,20,droughts,frex
stm,20,4,1,inches,prob
stm,20,4,2,instruments,prob
stm,20,4,3,instrument,prob
stm,20,4,4,wood,prob
stm,20,4,5,musical,prob
stm,20,4,6,bamboo,prob
stm,20,4,7,colour,prob
stm,20,4,8,foot,prob
stm,20,4,9,wares,prob
stm,20,4,10,porcelain,prob
stm,20,4,11,inch,prob
stm,20,4,12,red,prob
stm,20,4,13,piece,prob
stm,20,4,14,holes,prob
stm,20,4,15,bell,prob
stm,20,4,16,diameter,prob
stm,20,4,17,drum,prob
stm,20,4,18,body,prob
