decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
1850,0.060074950592193185,0.0012294582949154162,0.07847364304667047,0.008117343206015435,0.025201685607902858,0.06231927280767439,0.009728253974228567,0.0984601290992653,0.006654129936481222,0.13652935787397869,0.016722561740584937,0.11753525117057288,0.22919018437714075,0.06670007712718823,0.08306370114518762
1860,0.019735088442743166,0.004475103585712403,0.028288946263951856,0.014904942744416323,0.035781708233522586,0.04587385123022044,0.03486033798675225,0.09816414132280374,0.01221834457142329,0.28507166741213974,0.06923928493031074,0.056158150736988766,0.18622921574551757,0.03661322186411876,0.07238599492937836
1870,0.012631333471170228,0.0039047110659392687,0.07181418456020071,0.04341458850233743,0.03150397703976184,0.13333067171155452,0.09153812580750736,0.10125144901402848,0.006628372478807694,0.08578603722054182,0.10492337163221602,0.10035288071529265,0.08808773012329363,0.040668582210413556,0.08416398444693476
1880,0.04480134388718446,0.06641517693150917,0.008423773512590462,0.05371964582595046,0.02345604825045694,0.08274271458188907,0.07165725868568722,0.07167778594140599,0.012615875111306797,0.15466538217298598,0.05286140505229584,0.1273591887777388,0.08200629206524813,0.10884146415163834,0.038756645052112355
1890,0.0030679308435308974,0.0016479294740721592,0.008015509600992203,0.09456220886275576,0.05950820350561337,0.14731917371383285,0.046001391382723904,0.13675581475077378,0.021262506951710457,0.02647046495987321,0.05114323525331967,0.06401226581610153,0.07309466449033049,0.14150163854465145,0.1256370618497182
1900,0.0387953790545208,0.04826136330399967,0.0022508738199663128,0.024911846067727336,0.024803397328223016,0.06757922801356954,0.05128285582173367,0.1266230857366263,0.014587701401972216,0.09536038020785237,0.08243596167879522,0.038881388812205236,0.07804282204162769,0.16558449391847258,0.14059922279270806
1910,0.09879477962803573,5.903240829207581e-4,0.010250192629783496,0.010736118859534328,0.09836508560291515,0.12181510656044617,0.02754131572191316,0.15551332883022698,0.03349607133656616,0.07518637318286163,0.1586105464648554,0.04547167877354595,0.04367021532733689,0.017712012688979647,0.10224685031007855
1920,0.07512874946105715,0.005770192007903027,0.004998822687754845,0.010895174911419132,0.04081253484190483,0.10542520651570692,0.01778020145444253,0.19268499658613236,0.07998533770350649,0.06710233342046189,0.1694797741627755,0.021105950673451033,0.09148250986619934,0.020802579245180208,0.09654563646210482
1930,0.0536600660400648,0.004022594899386018,0.017056743087894486,0.006109105696971583,0.025816822114099643,0.282295386654441,0.0044014429935241095,0.2445292793655067,0.07892812793815733,0.022220659046916617,0.0927552062902899,0.0744496088449456,0.05725910914002881,0.006914108679845909,0.02958173920792752
1940,2.28761003872169e-8,1.0477552783988732e-4,2.3733356820939983e-4,9.7664839375932e-4,0.003661134859239433,0.08329136209761664,0.36861181170510965,0.02194283248600568,0.006010891035276722,0.006974104918966669,0.35066804289831144,0.0023272813227076493,0.028443867139458318,0.0070168493588051465,0.11973304181259357
