master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,1.4232849416501697e-05,0.26160272595375517,1.4232849416501009e-05,1.423284941648781e-05,1.4232849416495505e-05,0.23616149252610827,1.4232849416498507e-05,1.4232849416501736e-05,0.0017869502064264506,1.4232849416503045e-05,0.019182620040987582,1.4232849416529266e-05,0.3127985526443464,1.4232849416496027e-05,1.4232849416502954e-05,1.4232849416501715e-05,0.004970764268379083,1.4232849416507394e-05,1.4232849416495845e-05,1.423284941650455e-05,1.4232849416491161e-05,0.13492200086665437,1.4232849416509522e-05,1.4232849416580125e-05,1.4232849416504011e-05,1.4232849416498519e-05,1.4232849416504643e-05,0.0282617708061797,1.4232849416495698e-05,1.4232849416482838e-05,lda,30,12,0.3127985526443464
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,8.364700961966488e-06,0.03870956877648745,8.364700961968213e-06,8.364700961964156e-06,8.364700961963808e-06,0.037141734014687754,8.364700961964462e-06,8.364700961963156e-06,8.364700961963519e-06,8.364700961966599e-06,8.364700961965626e-06,8.364700961970558e-06,0.026984404129556314,8.36470096196711e-06,8.364700961968076e-06,8.364700961966892e-06,8.364700961972004e-06,8.364700961965414e-06,8.364700961963846e-06,8.364700961963834e-06,8.36470096196037e-06,0.13187538225375922,0.23630810908796698,8.364700961962226e-06,8.364700961962873e-06,0.19908946749040848,8.364700961966954e-06,0.32969894612500855,8.364700961963095e-06,8.364700961957254e-06,lda,30,27,0.32969894612500855
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,7.782706825453313e-06,7.782706825455561e-06,7.782706825452793e-06,7.782706825453813e-06,0.07524122237671216,7.782706825457445e-06,7.782706825453203e-06,7.78270682546011e-06,7.782706825449986e-06,0.0004908614828235322,7.782706825456237e-06,7.782706825455368e-06,7.782706825454773e-06,0.02135780117182822,7.782706825454873e-06,0.009162447686587472,7.782706825457623e-06,0.044771521252661546,7.782706825452952e-06,7.782706825456715e-06,7.782706825455199e-06,7.782706825454145e-06,0.44140859914983827,7.782706825450679e-06,0.40738854462256335,7.782706825450262e-06,7.782706825454492e-06,7.782706825453267e-06,7.78270682545001e-06,7.782706825450293e-06,lda,30,22,0.44140859914983827
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.12293666541581706,0.4228886316588752,0.019345749383657414,5.464480874333419e-05,5.464480874333882e-05,0.03984479212179241,5.46448087433643e-05,0.07488889728002714,5.4644808743344586e-05,5.464480874340368e-05,0.1524642539261495,5.4644808743334645e-05,5.4644808743360476e-05,5.46448087433839e-05,5.4644808743358375e-05,0.0054985127478109986,0.03374901011219856,5.464480874331805e-05,5.464480874335851e-05,5.464480874336726e-05,5.4644808743361126e-05,0.05659680456658844,0.02514265153011227,5.46448087433597e-05,5.464480874344137e-05,5.4644808743357305e-05,5.4644808743377586e-05,0.045605779890847284,5.464480874332185e-05,5.464480874330759e-05,lda,30,1,0.4228886316588752
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,0.02681184355504144,0.09892307711798302,1.4263300527781777e-05,1.4263300527787596e-05,0.14423887330940155,1.4263300527790962e-05,1.4263300527785624e-05,1.4263300527789763e-05,1.4263300527788472e-05,1.426330052778742e-05,1.4263300527791143e-05,1.4263300527783513e-05,0.5956810365276715,1.4263300527788097e-05,0.07554230790183444,1.4263300527783195e-05,0.01449059617238433,1.4263300527790722e-05,1.4263300527790891e-05,1.4263300527784965e-05,1.4263300527798633e-05,1.4263300527785167e-05,0.02604861912680144,0.01129988787023615,1.4263300527796085e-05,1.4263300527784298e-05,0.006664229107562671,1.426330052778616e-05,1.4263300527780622e-05,1.4263300527787743e-05,lda,30,12,0.5956810365276715
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.008444904387073945,2.2925263640606953e-05,0.04639169652228343,2.2925263640615447e-05,2.2925263640588034e-05,2.2925263640603623e-05,2.2925263640604144e-05,2.2925263640595088e-05,2.2925263640603203e-05,0.0034814094861876804,2.2925263640599215e-05,2.2925263640598717e-05,2.2925263640603152e-05,2.292526364061093e-05,0.008337133230817462,0.046581197008582466,2.2925263640604355e-05,2.292526364058098e-05,2.2925263640598666e-05,2.2925263640603284e-05,2.292526364058309e-05,0.7923054353912915,2.2925263640595122e-05,2.2925263640606252e-05,2.292526364059241e-05,0.004719521300297429,2.2925263640600224e-05,0.08923434687337312,2.292526364059537e-05,2.292526364057476e-05,lda,30,21,0.7923054353912915
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,1.9538882375976957e-05,1.953888237599177e-05,1.9538882375976998e-05,1.9538882375972505e-05,1.953888237598044e-05,0.26086619687487955,1.9538882375981575e-05,1.9538882375983473e-05,1.953888237598574e-05,1.9538882375974694e-05,0.10048525325503975,1.9538882375994606e-05,1.9538882375991516e-05,1.95388823759865e-05,1.9538882375983818e-05,1.953888237599038e-05,1.9538882375989937e-05,1.9538882375987135e-05,1.9538882375987704e-05,1.953888237597995e-05,0.0036929499619093903,0.5913096179007854,0.01588703296988632,1.953888237597251e-05,1.9538882376003527e-05,0.027290015860476066,1.953888237598396e-05,1.953888237598815e-05,1.9538882375979132e-05,1.9538882375967518e-05,lda,30,21,0.5913096179007854
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,1.007353681880889e-05,1.0073536818804388e-05,0.24196565653459717,1.0073536818799643e-05,1.0073536818799616e-05,1.0073536818802956e-05,0.18670720089354897,1.0073536818814066e-05,1.0073536818807498e-05,0.01571907955447918,1.0073536818805735e-05,0.029143247986943507,1.0073536818803138e-05,1.0073536818806631e-05,1.007353681879934e-05,1.0073536818803172e-05,1.0073536818803685e-05,1.0073536818801223e-05,1.0073536818808786e-05,1.0073536818806829e-05,1.0073536818798372e-05,0.32617689186567117,0.011556639785537505,1.0073536818811601e-05,1.0073536818803244e-05,1.0073536818802704e-05,1.007353681880318e-05,0.18849959203238995,1.0073536818801328e-05,1.007353681879445e-05,lda,30,21,0.32617689186567117
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,4.1254125412630044e-05,4.1254125412642126e-05,4.125412541263813e-05,4.1254125412611965e-05,4.1254125412640195e-05,4.125412541264607e-05,4.125412541262863e-05,4.1254125412636874e-05,4.125412541261454e-05,4.125412541264345e-05,0.026032542711081987,4.125412541261739e-05,0.6391589365944585,4.125412541264272e-05,4.12541254126516e-05,4.125412541263925e-05,4.125412541263737e-05,4.125412541261431e-05,4.125412541263145e-05,4.1254125412632395e-05,4.125412541264169e-05,4.12541254126444e-05,4.125412541262544e-05,4.125412541262462e-05,4.125412541263315e-05,4.125412541262641e-05,0.33369465930831826,4.125412541263037e-05,4.125412541261504e-05,4.125412541259688e-05,lda,30,12,0.6391589365944585
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,3.639010189240532e-05,3.639010189240967e-05,3.639010189239714e-05,3.639010189238102e-05,0.1847838128422467,0.37759085398987,3.6390101892409016e-05,0.037704034673031545,3.639010189237659e-05,3.6390101892423835e-05,0.20196435828935919,3.63901018924021e-05,3.639010189241771e-05,3.639010189241743e-05,3.6390101892414376e-05,0.07368411027560547,3.639010189240696e-05,3.6390101892391696e-05,3.639010189238317e-05,0.008673703628759742,0.00980018592596801,0.05884903542107559,0.04618571281434342,3.63901018923958e-05,3.6390101892399834e-05,3.639010189237291e-05,3.6390101892402294e-05,3.6390101892418245e-05,3.639010189238763e-05,3.6390101892360166e-05,lda,30,5,0.37759085398987
