master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,model,K,dominant_topic,dominant_topic_weight
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,1,1.0
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850s,Natural Sciences,Meteorology,en,0.0,0.026645896608590538,0.0,0.0,0.0,0.0004885402563228634,0.0,0.8090740965376968,0.0,0.0,0.03129449657796713,0.0,0.12755265116740533,0.0048328291626281925,0.0,0.0,0.0,0.0,0.00011148968938926875,0.0,nmf,20,7,0.8090740965376968
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850s,Anthropology and Social Customs,Ethnology,en,0.10571270878328513,0.0,0.0,0.06703946393972339,0.00196130826837843,0.0,0.029853185198580125,0.0,0.008818870999711523,0.0,0.09537061066394287,0.0,0.0,0.0,0.0,0.0,0.680108866037135,0.003976275967154944,0.007158710142088696,0.0,nmf,20,16,0.680108866037135
MASTER_00018,1860_01.txt,The Small Chinese Lark,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0027236978630295703,0.0,0.0,0.034602520394114634,0.013860134308838402,0.006679346033371495,0.0,0.0,0.009905964202906894,0.0,0.10643272524077009,0.0,0.8257956119569689,0.0,nmf,20,18,0.8257956119569689
MASTER_00019,1860_02.txt,On the Banishment of Criminals in China,"Macgowan, D. J.",1859,1850s,"Politics, Government, and Law",Law,en,0.4079130047740868,0.04715277242048836,0.0018163268339715854,0.027017833655550858,0.004355953641249582,0.0,0.06363725877519388,0.19987517253319947,0.14883818024614812,0.0,0.0,0.02146748535625629,0.006209148367803994,0.0,0.025951086544077517,0.0,0.0,0.0,0.0,0.0457657768519735,nmf,20,0,0.4079130047740868
MASTER_00020,1860_03.txt,Cotton in China,"Robertson, D. B.",1859,1850s,Natural Sciences,Agriculture,en,0.015240053960675279,0.06938223187625439,0.041261825613049384,0.010887756591456892,0.048974829662311946,0.0,0.08728387387869796,0.045442013445834976,0.3012858255070926,0.009399750186594119,0.0,0.04382066873948467,0.0,0.0,0.10595160508012984,0.015202641253117734,0.1486611943941987,0.040799920959398675,0.0,0.016405808851703004,nmf,20,8,0.3012858255070926
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,"Edkins, J.",1859,1850s,Anthropology and Social Customs,Mythology,en,0.0,0.0,0.0,0.07281620146614368,0.0,0.004193112059261376,0.11326173788128843,0.0,0.0,0.2680697155130733,0.5225876388086831,0.0,0.0,0.0,0.0,0.016304726370221206,0.0,0.0027668679013289226,0.0,0.0,nmf,20,10,0.5225876388086831
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,"Williams, S. W.",1859,1850s,History and Chronology,"History, Modern (20th century)",en,0.029220563176110857,0.02712042559288876,0.07102065837074803,0.0,0.0,0.0,0.004729064545189034,0.4465979193486882,0.0,0.03696776189506957,0.19194824529426352,0.0,0.0,0.028218682614564915,0.0,0.031216889816951334,0.13295978934552583,0.0,0.0,0.0,nmf,20,7,0.4465979193486882
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",,1859,1850s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12694052061154007,0.0,0.0,0.0,0.0,0.8730594793884598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,12,0.8730594793884598
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,"Edkins, J.",1860,1860s,Religion and Philosophy,Confucianism,en,0.010084503208814547,0.0,0.0,0.03073072684048293,0.0,0.0006710757095014196,0.009458108435823903,0.0,0.0,0.6000610890514034,0.3423276310659322,0.0,0.0,0.0,0.0,0.0,0.0,0.006666865688041487,0.0,0.0,nmf,20,9,0.6000610890514034
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin","John, G.",1860,1860s,Religion and Philosophy,Philosophy,en,0.012716804279450492,0.16789645952178092,0.0,0.0,0.0,0.0,0.04243507954926688,0.0,0.007521875484933047,0.34586524905839383,0.06122585960499835,0.0011637229772633833,0.17007239352060896,0.0,0.0,0.0,0.14325473186902452,0.009050963034387505,0.0387968610998922,0.0,nmf,20,9,0.34586524905839383
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,"Shadwell, C. F. A.",1860,1860s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033671655099858,0.0,0.0,0.0,0.005898743978428627,0.3126157948394052,0.0,0.37811829567218036,0.0,0.0,0.0,0.0,0.0,nmf,20,14,0.37811829567218036
