master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,0.011515473074602312,0.030170414935077123,0.1919516240744527,0.0,0.016635047256647,0.0,0.15125442827018865,0.22603473931568746,0.0,0.2236733313804065,0.14876494169293827,0.0,nmf,12,7,0.22603473931568746
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.0,0.4111715403348569,0.037046209443284336,0.0,0.1825473832356012,0.003634753207528926,0.039377905018940826,0.24827088343278683,0.0,0.06546031912959142,0.012491006197409565,0.0,nmf,12,1,0.4111715403348569
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.0,0.0,0.0,0.1497413359768143,0.0,0.030447701807396733,0.02725862173716202,0.0,0.792552340478627,0.0,0.0,0.0,nmf,12,8,0.792552340478627
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.1359812296096707,0.04018343125414801,0.014933781931774755,0.0,0.0,0.0,0.4046456193525133,0.22514675465908476,0.05425285173688408,0.0,0.10790106460178205,0.0169552668541423,nmf,12,6,0.4046456193525133
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,0.0,0.0,0.060330355532295425,0.0,0.019439062621069803,0.013112789692921928,0.14783741236110723,0.0,0.0,0.62562687133901,0.11973392055689422,0.013919587896701302,nmf,12,9,0.62562687133901
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.10740060351732154,0.13803984391634758,0.0,0.0,0.013115390669558262,0.0,0.0,0.7186790073771094,0.0,0.0,0.02276515451966312,0.0,nmf,12,7,0.7186790073771094
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.0,0.0,0.17002676765958186,0.0,0.0,0.0,0.0,0.8183557845006754,0.0,0.011617447839742797,0.0,0.0,nmf,12,7,0.8183557845006754
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.2089004076616035,0.5350892249438678,0.0,0.0,0.13056107025928254,0.0,0.0,0.12544929713524605,0.0,0.0,0.0,0.0,nmf,12,1,0.5350892249438678
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nmf,12,9,1.0
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.03167023834764558,0.027354701401227165,0.6956472354833355,0.06562258391727868,0.0,0.0,0.010619807474018082,0.057548812545105826,0.06528223832244014,0.0,0.04625438250894892,0.0,nmf,12,2,0.6956472354833355
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850s,Arts and Archaeology,Music,en,0.04802307230043771,0.033046226372133385,0.36205469168789917,0.0,0.08546220072604593,0.03171845959443327,0.11256461635245592,0.0,0.04170846430804759,0.1551877797179935,0.13023448894055342,0.0,nmf,12,2,0.36205469168789917
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.06973059066886868,0.008472674413603262,0.0,0.0,0.03429932549279632,0.0,0.007136650839962383,0.6886380820584282,0.05260974549632388,0.0028024532752066312,0.1317731199319469,0.004537357822863493,nmf,12,7,0.6886380820584282
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,0.0,0.0,0.056956364978490846,0.0,0.0,0.0,0.0,0.5928295768101982,0.0,0.15614366069302865,0.19407039751828226,0.0,nmf,12,7,0.5928295768101982
,1859_07.txt,,,1859,1850s,,,en,0.0,0.2805706446716978,0.36725913805583205,0.0,0.08420112639214757,0.0,0.0,0.2679690908803226,0.0,0.0,0.0,0.0,nmf,12,2,0.36725913805583205
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,12,4,1.0
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,12,1,1.0
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.006915955592918671,0.016346791222766267,0.9767372531843149,0.0,0.0,0.0,0.0,nmf,12,7,0.9767372531843149
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850s,Anthropology and Social Customs,Ethnology,en,0.581193936054815,0.0756368400481929,0.0,0.10141065360876592,0.11049668590038185,0.0,0.05376459072918564,0.0,0.061330259057525253,0.0,0.0,0.016167034601133466,nmf,12,0,0.581193936054815
MASTER_00018,1860_01.txt,The Small Chinese Lark,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.07027787979286199,0.0010400288540376704,0.0,0.0,0.8793688804856666,0.0,0.0,0.0,0.0,0.04931321086743369,0.0,0.0,nmf,12,4,0.8793688804856666
MASTER_00019,1860_02.txt,On the Banishment of Criminals in China,"Macgowan, D. J.",1859,1850s,"Politics, Government, and Law",Law,en,0.12737577562320407,0.0,0.0,0.05105933962650009,0.0,0.0,0.11698482790827129,0.3343994911114866,0.2678946274396937,0.09650714136591806,0.0,0.005778796924926061,nmf,12,7,0.3343994911114866
MASTER_00020,1860_03.txt,Cotton in China,"Robertson, D. B.",1859,1850s,Natural Sciences,Agriculture,en,0.0347362879243488,0.13313258196168073,0.017988113782011678,0.004953504295337259,0.026510358655674932,0.0,0.10622644350505271,0.07494611385257324,0.4459287893127553,0.017942328160846496,0.022069439477566906,0.11556603907215178,nmf,12,8,0.4459287893127553
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,"Edkins, J.",1859,1850s,Anthropology and Social Customs,Mythology,en,0.13586897466877879,0.0,0.0,0.20783222485043787,0.0,0.003848856739811254,0.17893133097119857,0.0,0.0,0.47351861276977353,0.0,0.0,nmf,12,9,0.47351861276977353
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,"Williams, S. W.",1859,1850s,History and Chronology,"History, Modern (20th century)",en,0.16986786389834313,0.03554897244299351,0.0774768875721732,0.02361424953764305,0.0,0.004569133661074819,0.022721849535145437,0.6263584154724794,0.0,0.03984262788014736,0.0,0.0,nmf,12,7,0.6263584154724794
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",,1859,1850s,Natural Sciences,Meteorology,en,0.0,0.043595137277213446,0.020769706728665956,0.0,0.24378259409047906,0.0,0.0,0.6918525619036415,0.0,0.0,0.0,0.0,nmf,12,7,0.6918525619036415
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,"Edkins, J.",1860,1860s,Religion and Philosophy,Confucianism,en,0.04412180087193489,0.03666630113608276,0.0,0.09351395885073419,0.0,0.0017169916898989756,0.017985396204955713,0.0,0.0,0.8059955512463933,0.0,0.0,nmf,12,9,0.8059955512463933
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin","John, G.",1860,1860s,Religion and Philosophy,Philosophy,en,0.12263342925172657,0.24184481027743887,0.0,0.0,0.06576103748214314,0.0,0.07965455970562453,0.02961244855751306,0.007256021254534931,0.45235538412649967,0.0,0.0008823093445192951,nmf,12,9,0.45235538412649967
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,"Shadwell, C. F. A.",1860,1860s,Natural Sciences,Meteorology,en,0.0,0.11223839608653444,0.0,0.0,0.02810370092703059,0.0,0.0,0.7573287980672897,0.043058443184061955,0.0,0.04109055189252159,0.018180109842561715,nmf,12,7,0.7573287980672897
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,Editorial Committee,1860,1860s,Natural Sciences,Meteorology,en,0.0,0.1982854157671118,0.13304194178679227,0.0,0.175888198934871,0.0,0.0214502641101174,0.45204251192476697,0.01929166747634064,0.0,0.0,0.0,nmf,12,7,0.45204251192476697
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c","Williamson, A.",1865,1860s,Geography and Travel,Travel,en,0.13657596118216475,0.4926330544568996,0.0,0.1335393251360627,0.0,0.009777512073340728,0.05769010593792963,0.02894391524098959,0.0,0.13335507339638253,0.007485052576230391,0.0,nmf,12,1,0.4926330544568996
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",,1866,1860s,Geography and Travel,Travel,en,0.030019632563597857,0.5548910077067712,0.08163437971241003,0.07998617710874174,0.0,0.013282178996733904,0.019948236823030048,0.12903580886566526,0.022107737640879095,0.06909484058217076,0.0,0.0,nmf,12,1,0.5548910077067712
INDEX_00063,1866_03.txt,An account of a translation of a Japanese Manuscript,,1866,1860s,History and Chronology,History,en,0.2571525910627265,0.0,0.0,0.0,0.0,0.011390389393733708,0.1836639613494654,0.2281860566625165,0.00477088120586054,0.29971873041594504,0.0,0.015117389909752265,nmf,12,9,0.29971873041594504
MASTER_00064,1866_04.txt,Description of the Great Examination Hall at Canton,"Keer, J. G.",1865,1860s,Arts and Archaeology,Architecture,en,0.3100539566175503,0.09331929608750165,0.21319540140278329,0.06804768447130341,0.0,0.0,0.0,0.17863426574121222,0.0,0.01759195369380339,0.11915744198584577,0.0,nmf,12,0,0.3100539566175503
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860s,Natural Sciences,Astronomy,en,0.15767140195918952,0.0,0.16815225637041348,0.014566848325711033,0.21137437485206728,0.008515996519009111,0.12883239445977063,0.08140515666316937,0.07248913323967057,0.007976025131423876,0.042533270221980064,0.10648314225759527,nmf,12,4,0.21137437485206728
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,"Williams, S. W.",1866,1860s,History and Chronology,History,en,0.1716513181626202,0.0,0.0,0.10632722575931348,0.0,0.0,0.21316846116193477,0.3921651817443157,0.004308806669073006,0.11237900650274281,0.0,0.0,nmf,12,7,0.3921651817443157
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,"Kingsmill, T. W.",1865,1860s,Natural Sciences,Geology,en,0.0,0.7946642696809937,0.0,0.0628657013861827,0.02891949812418029,0.0,0.03764866549301924,0.0,0.07284428027795514,0.0,0.0030575850376689685,0.0,nmf,12,1,0.7946642696809937
MASTER_00072,1866_08.txt,"Short sketch of the Chinese game of chess, Seang - kh'e, A *","Hollingworth, H. G.",1866,1860s,Anthropology and Social Customs,Manners and customs,en,0.20837255567475071,0.05071483387984401,0.0,0.09159189849419884,0.2760271508392511,0.014200136257032845,0.08828801480754293,0.0,0.19880113362797233,0.0,0.07200427641940736,0.0,nmf,12,4,0.2760271508392511
MASTER_00071,1866_09_retrospects_of_events.txt,"Retrospect of events in the north of China, 1866","Butcher, C. H.",1866,1860s,History and Chronology,"History, Modern (20th century)",en,0.0,0.10594754823228053,0.2363798949094487,0.0004603383089742268,0.0,0.0,0.011818547445229234,0.598179728991304,0.047213942112763335,0.0,0.0,0.0,nmf,12,7,0.598179728991304
MASTER_00098,1869_01.txt,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius","Markham, J.",1869,1860s,Geography and Travel,Travel,en,0.15401836786139614,0.558944409840367,0.0,0.06383636795116858,0.0,0.006402394268919145,0.0,0.008703335060280253,0.07220590525069778,0.004807437748750492,0.11366870278254072,0.017413079235879685,nmf,12,1,0.558944409840367
MASTER_00099,1869_02.txt,"On Wen - ch'ang, the god of literature, his history and worship","Mayers, W. F.",1869,1860s,Religion and Philosophy,Religion,en,0.14529534813203723,0.0,0.0,0.3430724272006343,0.0,0.0,0.3010257091406451,0.0,0.0,0.13305804649707131,0.07754846902961217,0.0,nmf,12,3,0.3430724272006343
MASTER_00100,1869_03.txt,The Fabulous source of the Hoang-ho,"Eitel, E. J.",1869,1860s,Religion and Philosophy,Buddhism,en,0.0,0.5881321672586493,0.027121948500772944,0.0,0.0,0.01096817893173587,0.3274738756347093,0.0,0.0,0.0463038296741326,0.0,0.0,nmf,12,1,0.5881321672586493
,1869_04.txt,,,1869,1860s,,,fr,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,12,5,1.0
MASTER_00102,1869_05.txt,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare","Mayers, W. F.",1869,1860s,Military | Natural Sciences,Military art and science | Science,en,0.02326816630907168,0.014585649362155992,0.06485188320847869,0.24132120962966244,0.002713269414377581,0.0,0.23721092920928435,0.08051646026063307,0.024948605072115018,0.0,0.21679365358116673,0.09379017395305439,nmf,12,3,0.24132120962966244
MASTER_00103,1869_06.txt,The Chinese game of chess as compared with that practised by Western nations,"Himly, K.",1869,1860s,Anthropology and Social Customs,Manners and customs,en,0.03450728767428939,0.0,0.09933481104117908,0.2854212502364656,0.10020186611384757,0.0,0.3797282725458252,0.041502581066221025,0.0,0.0206993496667916,0.03860458165538052,0.0,nmf,12,6,0.3797282725458252
MASTER_00213,1869_07.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.09678674942415094,0.07521142042680132,0.019725641009600142,0.29362115379440085,0.0,0.0,0.192492794662406,0.23582634069236155,0.03780693961229131,0.0,0.04852896037798794,0.0,nmf,12,3,0.29362115379440085
,1869_08.txt,,,1869,1860s,,,en,0.06813932144113695,0.05409733738246922,0.16856179908534236,0.010689571163378445,0.008189311776401934,0.0,0.03205636674372069,0.0,0.02739141350261798,0.6264581165531853,0.0,0.0044167623517471786,nmf,12,9,0.6264581165531853
