model,K,topic_id,rank,word,weight
nmf,10,0,1,god,0.32599972644777014
nmf,10,0,2,day,0.28915039141813537
nmf,10,0,3,family,0.285680843178479
nmf,10,0,4,man,0.27031464936767025
nmf,10,0,5,wife,0.23699787555898905
nmf,10,0,6,men,0.23684926639199277
nmf,10,0,7,heaven,0.23449415165784185
nmf,10,0,8,people,0.22308968577057847
nmf,10,0,9,spirits,0.2226372730550251
nmf,10,0,10,women,0.2054752556460329
nmf,10,0,11,husband,0.1985712481386804
nmf,10,0,12,house,0.1959776760257212
nmf,10,0,13,dragon,0.1947626752028879
nmf,10,0,14,children,0.18957417616772806
nmf,10,0,15,temple,0.18771529837653386
nmf,10,0,16,worship,0.18739425587932435
nmf,10,0,17,moon,0.18604304097076724
nmf,10,0,18,father,0.18551219021111826
nmf,10,0,19,son,0.18457076479303752
nmf,10,0,20,mother,0.18261574636087036
nmf,10,1,1,river,0.5537508784787065
nmf,10,1,2,miles,0.38352120572142184
nmf,10,1,3,feet,0.3625822670698972
nmf,10,1,4,water,0.32373607149362876
nmf,10,1,5,coal,0.27427118526268124
nmf,10,1,6,bank,0.23737721630485847
nmf,10,1,7,island,0.23091786270497394
nmf,10,1,8,south,0.2158529357802192
nmf,10,1,9,sea,0.20719211310705393
nmf,10,1,10,hills,0.20612380777815514
nmf,10,1,11,channel,0.1949201132765307
nmf,10,1,12,limestone,0.19232401280182101
nmf,10,1,13,canal,0.19145798813092962
nmf,10,1,14,north,0.18873225552343928
nmf,10,1,15,city,0.18228369930571747
nmf,10,1,16,level,0.17646420023654222
nmf,10,1,17,plain,0.17525566347280697
nmf,10,1,18,rocks,0.1578893127997656
nmf,10,1,19,large,0.15481640686359183
nmf,10,1,20,stream,0.15458906153974827
nmf,10,2,1,shanghai,0.33397588404235895
nmf,10,2,2,mr,0.3335486574977178
nmf,10,2,3,de,0.27481315498984926
nmf,10,2,4,dr,0.2543389249637813
nmf,10,2,5,society,0.22866530248418881
nmf,10,2,6,work,0.21953637471362047
nmf,10,2,7,library,0.20858223700873446
nmf,10,2,8,books,0.2083631061912192
nmf,10,2,9,book,0.1807260052701853
nmf,10,2,10,la,0.15709837364382553
nmf,10,2,11,collection,0.15277107292633038
nmf,10,2,12,members,0.1451260989491997
nmf,10,2,13,esq,0.14479634732717486
nmf,10,2,14,notes,0.1405799447838392
nmf,10,2,15,reviews,0.1400773775272515
nmf,10,2,16,works,0.13532388745493318
nmf,10,2,17,giles,0.13213425885281938
nmf,10,2,18,volume,0.12400988976190008
nmf,10,2,19,author,0.12345668931095607
nmf,10,2,20,journal,0.12173964751782827
nmf,10,3,1,ch,0.8691951421369767
nmf,10,3,2,dynasty,0.49784585663972913
nmf,10,3,3,emperor,0.3998603028394015
nmf,10,3,4,yuan,0.38789594102374897
nmf,10,3,5,wang,0.38566776285287824
nmf,10,3,6,ts,0.3544471389048603
nmf,10,3,7,shih,0.34148842072965474
nmf,10,3,8,wu,0.31600918519081683
nmf,10,3,9,ai,0.306846289514832
nmf,10,3,10,yu,0.297595492338188
nmf,10,3,11,ien,0.26341814036635297
nmf,10,3,12,ang,0.263079376258507
nmf,10,3,13,fu,0.2597865471504084
nmf,10,3,14,sung,0.2582769143011265
nmf,10,3,15,han,0.24001717143506954
nmf,10,3,16,lu,0.2272779170469515
nmf,10,3,17,ing,0.2229367970431906
nmf,10,3,18,huang,0.21201166972807947
nmf,10,3,19,tsung,0.2113660990194875
nmf,10,3,20,city,0.20609213790505945
nmf,10,4,1,species,0.5322927638937309
nmf,10,4,2,cm,0.525402553109827
nmf,10,4,3,fig,0.3410754151222179
nmf,10,4,4,leaves,0.32593475547164075
nmf,10,4,5,flowers,0.28439651460873344
nmf,10,4,6,mm,0.27730322255034573
nmf,10,4,7,white,0.2304143618657187
nmf,10,4,8,slender,0.22785644086638152
nmf,10,4,9,plants,0.22775049030350183
nmf,10,4,10,length,0.21944104039225115
nmf,10,4,11,plant,0.21804982863026787
nmf,10,4,12,brown,0.2096641685988854
nmf,10,4,13,pl,0.20638320193263995
nmf,10,4,14,genus,0.19999620062378048
nmf,10,4,15,black,0.19071114457974447
nmf,10,4,16,manchuria,0.19053715005285962
nmf,10,4,17,var,0.1839213683727608
nmf,10,4,18,small,0.16930868693526932
nmf,10,4,19,breadth,0.16737626186644328
nmf,10,4,20,tail,0.16599067932062217
nmf,10,5,1,on,0.6571338767003325
nmf,10,5,2,une,0.5438300612939408
nmf,10,5,3,un,0.5125214711478832
nmf,10,5,4,qu,0.46442602179911646
nmf,10,5,5,plus,0.3946562105866345
nmf,10,5,6,ne,0.3855681242342697
nmf,10,5,7,se,0.2864930588922733
nmf,10,5,8,cette,0.2068996384453223
nmf,10,5,9,dont,0.17469009629593008
nmf,10,5,10,chine,0.16941922528427728
nmf,10,5,11,aux,0.1671990896257022
nmf,10,5,12,autres,0.15483035818140167
nmf,10,5,13,ont,0.1534026707453503
nmf,10,5,14,était,0.1404732019161266
nmf,10,5,15,après,0.13471410191099129
nmf,10,5,16,deux,0.13336534035625366
nmf,10,5,17,lui,0.13276576376056604
nmf,10,5,18,leurs,0.13267681277868482
nmf,10,5,19,bien,0.12832193982935694
nmf,10,5,20,quelques,0.12745485386319497
nmf,10,6,1,king,0.28782498972590215
nmf,10,6,2,ancient,0.25107342775004404
nmf,10,6,3,name,0.23506252973052152
nmf,10,6,4,history,0.1996402689980546
nmf,10,6,5,greek,0.19069138226781604
nmf,10,6,6,indian,0.18903065693660223
nmf,10,6,7,aryan,0.18688347147337744
nmf,10,6,8,shi,0.1806449654822514
nmf,10,6,9,tribes,0.17523884893178035
nmf,10,6,10,sanscrit,0.17084963796768737
nmf,10,6,11,myth,0.1683726670504567
nmf,10,6,12,modern,0.1665565232794227
nmf,10,6,13,india,0.15897090466025318
nmf,10,6,14,called,0.15556897506088224
nmf,10,6,15,year,0.1493617168664384
nmf,10,6,16,race,0.14867312974438926
nmf,10,6,17,language,0.1484341147529605
nmf,10,6,18,asia,0.14359686191622456
nmf,10,6,19,calendar,0.14141991014580318
nmf,10,6,20,lunar,0.13990083806159734
nmf,10,7,1,japan,0.3350840787331454
nmf,10,7,2,government,0.3304422698990005
nmf,10,7,3,retrospect,0.25525750738953207
nmf,10,7,4,foreign,0.25425441327027287
nmf,10,7,5,japanese,0.24929729410067314
nmf,10,7,6,shanghai,0.22412344230715514
nmf,10,7,7,treaty,0.20242361100261905
nmf,10,7,8,country,0.1945449494151177
nmf,10,7,9,nagasaki,0.19373758772517788
nmf,10,7,10,british,0.19029486724620684
nmf,10,7,11,foreigners,0.18858757115423863
nmf,10,7,12,year,0.18778724447740605
nmf,10,7,13,peking,0.18625785421389027
nmf,10,7,14,mr,0.1796605260741818
nmf,10,7,15,emperor,0.17618779683303754
nmf,10,7,16,events,0.17005537881536822
nmf,10,7,17,canton,0.16780162382539773
nmf,10,7,18,people,0.16130523760750165
nmf,10,7,19,yedo,0.15222100021150742
nmf,10,7,20,trade,0.1508468952112581
nmf,10,8,1,cash,0.4946233681164812
nmf,10,8,2,taels,0.40305723822081035
nmf,10,8,3,coins,0.34809788455941193
nmf,10,8,4,silver,0.32583430823802023
nmf,10,8,5,salt,0.28064098754086225
nmf,10,8,6,currency,0.26941660294464226
nmf,10,8,7,tael,0.24504117075722176
nmf,10,8,8,copper,0.20384799924684302
nmf,10,8,9,coinage,0.19413726292009056
nmf,10,8,10,reverse,0.18277255652630936
nmf,10,8,11,mint,0.17828634973029586
nmf,10,8,12,coin,0.17675010844881325
