master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,5.3488832071851876e-05,0.6377407579030359,0.021791509457196108,0.001447829560351643,0.3370511117156063,5.3439018426582743e-05,5.343794781393771e-05,0.001808425565497645,lda,8,1,0.6377407579030359
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.021466195219266463,0.21601271004046774,0.7106216645927392,3.1426906203020596e-05,0.04909524731830979,3.142161098171169e-05,0.0027099220948573273,3.141221717473077e-05,lda,8,2,0.7106216645927392
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.5873672559337101,2.9224031270068335e-05,2.9213868413937975e-05,2.922013310927614e-05,0.004562200678971062,0.34668243417423866,0.06127123193539145,2.9219244895629287e-05,lda,8,0,0.5873672559337101
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.16046771839972512,0.5492348536506746,0.09726280770504091,0.00020546131730976973,0.14567978283341623,0.030300912276658414,0.00020532010769892315,0.016643143709476185,lda,8,1,0.5492348536506746
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,5.356297834343744e-05,0.7159529518653236,5.3566718659922725e-05,0.0021087261793839218,0.17042293372262327,0.1113011264193236,5.354356049326175e-05,5.358855584899344e-05,lda,8,1,0.7159529518653236
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.2264846177147629,0.5194131642825792,0.24436812087158927,8.611635487451463e-05,8.610425808279377e-05,8.604881450995086e-05,0.00938975157781558,8.607612578580765e-05,lda,8,1,0.5194131642825792
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.2248151630880853,0.38721497044331743,0.12248736270685535,7.337177128103485e-05,0.2651889707433446,7.338252610161858e-05,7.336588480480211e-05,7.341283620989805e-05,lda,8,1,0.38721497044331743
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.05031767918602652,0.4416975651851386,0.1283661115450048,0.06450093309121947,3.782173629513697e-05,3.7813922269508585e-05,0.3150042423747166,3.783295932938979e-05,lda,8,1,0.4416975651851386
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.00015492951427242263,0.9989157665469004,0.0001548455208284809,0.00015481408538345164,0.00015497768235316121,0.00015504316035808564,0.00015478647098591787,0.00015483701891796592,lda,8,1,0.9989157665469004
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.2567271106101974,0.15765769214731407,0.00013662788146330039,0.00013664291031057884,0.4313632013088756,0.1537053247093854,0.00013676939321953575,0.0001366310392342588,lda,8,4,0.4313632013088756
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850s,Arts and Archaeology,Music,en,0.2615331044769765,0.3360020267661265,0.012198442528437428,0.0002093615029561876,0.3774928607149815,0.01214536633477146,0.00020949178212004645,0.0002093458936304484,lda,8,4,0.3774928607149815
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.19615030701479697,0.5731899817438361,0.1684674945771449,2.6012705710216458e-05,0.06208820875587941,2.5994219844684228e-05,2.6000322992387846e-05,2.6000659795299432e-05,lda,8,1,0.5731899817438361
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,0.052162594083859475,0.4514296144338902,0.05291939185838452,7.574111436475916e-05,0.44318542643019687,7.574610374943742e-05,7.573933398353224e-05,7.574664157123291e-05,lda,8,1,0.4514296144338902
,1859_07.txt,,,1859,1850s,,,en,0.07931978856411805,0.00045218506029615324,0.7150532396987719,0.00045166578455090457,0.20336742301710006,0.0004518488174279128,0.00045215197210484126,0.00045169708563011415,lda,8,2,0.7150532396987719
