master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,1.7079419303582693e-05,0.21108176652301294,1.7079419303272442e-05,1.7079419302024122e-05,1.7079419301144987e-05,0.2667105618202251,1.7079419302519548e-05,1.7079419302948753e-05,0.00164497729435854,1.7079419303484356e-05,0.03422563113242083,1.707941930472147e-05,0.28347363339697895,1.7079419302362535e-05,1.7079419300310205e-05,0.17495886664936747,1.707941930360608e-05,1.7079419303606756e-05,1.7079419302186132e-05,1.707941930297557e-05,1.7079419302150455e-05,1.7079419302655395e-05,0.027597133636181617,1.7079419307451882e-05,1.707941930359694e-05,lda,25,12,0.28347363339697895
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,1.0037641155879154e-05,0.03563475876989984,1.003764115652314e-05,0.012736500263260356,1.0037641155049682e-05,0.05952425276716253,1.0037641155733015e-05,1.0037641155590031e-05,1.0037641155985934e-05,1.0037641156206078e-05,1.0037641156295923e-05,1.0037641156450459e-05,0.04012903709329426,1.0037641155794047e-05,1.0037641154875806e-05,0.07566602975308313,1.0037641156450235e-05,1.0037641156041201e-05,1.0037641155760476e-05,1.0037641156041752e-05,1.0037641155462082e-05,0.1688334230224686,0.6072953207900252,1.003764115552496e-05,1.0037641156294581e-05,lda,25,22,0.6072953207900252
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,9.33924819192607e-06,9.33924819229111e-06,9.33924819176164e-06,9.339248192015303e-06,9.339248191824631e-06,0.01073224241468906,9.339248191870047e-06,9.339248192860557e-06,9.33924819161245e-06,9.339248192113239e-06,9.339248192275557e-06,9.339248192099e-06,9.339248192660293e-06,0.29499139603138597,9.339248192001332e-06,9.339248192074333e-06,9.339248192724309e-06,9.339248192313449e-06,9.339248192061212e-06,9.339248192650647e-06,0.0570988255953626,9.339248191277498e-06,0.2534181680996494,9.339248191786343e-06,0.38357258289507085,lda,25,24,0.38357258289507085
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.0853233780883326,0.33255607819142186,0.09323615595012366,6.557377050266078e-05,6.557377049694365e-05,0.06157912884387285,6.557377050349742e-05,0.08931990089548034,6.557377050197822e-05,6.557377051125628e-05,0.17091369742576595,6.557377050141254e-05,6.557377050337659e-05,6.55737705068865e-05,6.557377049623912e-05,0.049871892686519446,0.04123289371155572,6.557377050002418e-05,6.557377050373993e-05,6.557377050757397e-05,6.55737705037638e-05,6.557377050407657e-05,0.07036116937923924,6.557377050331183e-05,0.004622098270141545,lda,25,1,0.33255607819142186
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,1.7115960636911243e-05,0.0654848137840598,1.7115960635615384e-05,1.7115960637278324e-05,1.711596063484642e-05,0.03304164008206904,1.7115960635974147e-05,0.0075620628255979394,1.7115960636012253e-05,1.7115960636832425e-05,1.7115960636534666e-05,1.711596063606722e-05,0.7780516949742273,0.068336847284849,1.7115960636116963e-05,1.7115960636021506e-05,0.009596038807487422,0.019831922960718094,0.010803934005998892,1.7115960636269148e-05,1.7115960635969847e-05,1.711596063690408e-05,1.7115960636879063e-05,0.0070171899048122,1.7115960636165532e-05,lda,25,12,0.7780516949742273
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,2.7510316373158695e-05,2.751031637563841e-05,0.12307308740661958,0.023144378717819134,2.751031637012853e-05,2.751031637472251e-05,2.751031637300382e-05,2.7510316372490172e-05,2.7510316374767536e-05,0.019002078834106234,2.7510316374761844e-05,2.7510316372109543e-05,2.7510316375007646e-05,2.7510316372394946e-05,2.7510316369555186e-05,0.7559739795864169,2.7510316374362207e-05,2.7510316372050434e-05,2.7510316372912815e-05,2.7510316374822694e-05,2.7510316372458747e-05,0.008709544235794354,0.06957423520815201,2.751031637322411e-05,2.7510316374299333e-05,lda,25,15,0.7559739795864169
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,2.3446658855479775e-05,0.012341224411434676,2.3446658854099772e-05,2.3446658853621463e-05,2.3446658853023695e-05,0.20462706755527552,2.344665885532771e-05,2.3446658855483272e-05,2.34466588577323e-05,2.344665885430737e-05,0.03687188103189698,0.004822030364875269,2.3446658855789335e-05,2.3446658856582924e-05,2.344665885299311e-05,0.688255132103948,2.3446658855838318e-05,2.344665885668841e-05,0.00677473559434685,2.3446658855985908e-05,0.004630272383076411,0.024823512020127166,0.016478997993335166,2.3446658853873757e-05,2.3446658857155766e-05,lda,25,15,0.688255132103948
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,1.2088244184001614e-05,1.2088244184428666e-05,0.3761767374752451,1.2088244184995014e-05,1.208824418325529e-05,1.208824418410925e-05,0.021989649095501308,0.0010216892495771561,1.2088244185742173e-05,0.04171224987373526,1.2088244184999598e-05,0.021046018711725754,1.2088244184282735e-05,1.2088244183955343e-05,1.2088244182957923e-05,0.24944979348228039,1.2088244184424085e-05,1.2088244184642762e-05,0.007120958607422057,1.208824418523231e-05,1.208824418380142e-05,1.2088244184113928e-05,0.28127740335337803,1.2088244185505085e-05,1.2088244184230392e-05,lda,25,2,0.3761767374752451
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,4.950495050283234e-05,4.950495050414613e-05,4.950495050241612e-05,4.950495050047511e-05,4.9504950497662835e-05,4.950495050526663e-05,4.950495050070552e-05,4.950495050308629e-05,4.95049504994219e-05,4.950495050406559e-05,0.24752103269196155,4.950495049983354e-05,0.7513403534464954,4.950495050335401e-05,4.950495049638636e-05,4.950495050393644e-05,4.950495050325805e-05,4.9504950500531987e-05,4.950495050192857e-05,4.950495050367179e-05,4.950495050259631e-05,4.95049505016784e-05,4.950495050182237e-05,4.9504950501017296e-05,4.950495050282671e-05,lda,25,12,0.7513403534464954
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,4.366812227796978e-05,4.3668122278764116e-05,4.3668122277210624e-05,4.3668122275966e-05,4.3668122278928956e-05,0.524348389460393,4.366812228004189e-05,0.022936005573766318,4.366812227513556e-05,4.366812227899527e-05,0.14805519572392736,4.366812227871707e-05,4.366812227901674e-05,0.11973976701293641,4.3668122272954866e-05,0.11998414010589925,4.366812227845824e-05,4.366812227798154e-05,4.36681222761237e-05,4.366812228031413e-05,0.03045504393453968,4.3668122274445014e-05,0.03369543198754,4.366812227736672e-05,4.3668122279669926e-05,lda,25,5,0.524348389460393
