master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,0.26217284830076004,0.04243924109631279,0.2813337298687429,0.0,0.0,0.0,0.17560159463899075,0.23845258609519357,nmf,8,2,0.2813337298687429
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.04431433973465341,0.5096160224308848,0.27592757629022335,0.0,0.06922714560505945,0.001063627608722585,0.055261441245574534,0.044589847084881826,nmf,8,1,0.5096160224308848
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.020386037742931584,0.04933857085396605,0.26709583805736614,0.5497603575000274,0.012794641896333826,0.07121942957687279,0.02940512437250233,0.0,nmf,8,3,0.5497603575000274
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.04784601054529221,0.08296648908284658,0.2807990024651417,0.0,0.033971792617610984,0.0,0.4467403776725164,0.10767632761659221,nmf,8,6,0.4467403776725164
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,0.21548867253567516,0.0,0.0,0.0,0.0,0.008315193088443883,0.17428849091834567,0.6019076434575352,nmf,8,7,0.6019076434575352
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.0,0.1814756181581663,0.748285123134866,0.0,0.01830413737393462,0.0,0.0,0.05193512133303311,nmf,8,2,0.748285123134866
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.08666241993439014,0.0,0.9133375800656099,0.0,0.0,0.0,0.0,0.0,nmf,8,2,0.9133375800656099
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.0,0.6331862079062419,0.157281543920098,0.0,0.1073760004712473,0.0,0.0,0.1021562477024128,nmf,8,1,0.6331862079062419
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.0,0.0,0.0,0.0,0.0,0.00019632301307635124,0.0,0.9998036769869237,nmf,8,7,0.9998036769869237
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.6988983538699499,0.034130914732943454,0.17772221375104502,0.08924851764606162,0.0,0.0,0.0,0.0,nmf,8,0,0.6988983538699499
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850s,Arts and Archaeology,Music,en,0.4853607050715345,0.08288035164327075,0.0,0.0,0.10056633194662405,0.04503299991648921,0.08298815401692813,0.20317145740515336,nmf,8,0,0.4853607050715345
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.0,0.04324827865429136,0.7580252250097884,0.0,0.05979698267579806,0.0,0.04661143842179045,0.09231807523833166,nmf,8,2,0.7580252250097884
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,0.20237603188178585,0.0,0.6610279822359866,0.0,0.0,0.0,0.0,0.13659598588222768,nmf,8,2,0.6610279822359866
,1859_07.txt,,,1859,1850s,,,en,0.16700292916283593,0.333888788419938,0.4770137410172157,0.0,0.022094541400010322,0.0,0.0,0.0,nmf,8,2,0.4770137410172157
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nmf,8,4,1.0
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,8,1,1.0
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850s,Natural Sciences,Meteorology,en,0.0,0.0,0.9561571448137837,0.0,0.0,0.0020073233596302653,0.041835531826586114,0.0,nmf,8,2,0.9561571448137837
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850s,Anthropology and Social Customs,Ethnology,en,0.0,0.1933288165463803,0.06361443929304976,0.12579611508945074,0.1910553534698866,0.00019703826519703875,0.07955914271730433,0.34644909461873125,nmf,8,7,0.34644909461873125
MASTER_00018,1860_01.txt,The Small Chinese Lark,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0,0.10338860540537032,0.0034210685297587032,0.0,0.7458548141969481,0.0,0.013235579276717693,0.13409993259120503,nmf,8,4,0.7458548141969481
MASTER_00019,1860_02.txt,On the Banishment of Criminals in China,"Macgowan, D. J.",1859,1850s,"Politics, Government, and Law",Law,en,0.0,0.01342664639304078,0.5560165810052863,0.09574926700636216,0.017360789830732748,0.0,0.12697702514045958,0.19046969062411845,nmf,8,2,0.5560165810052863
MASTER_00020,1860_03.txt,Cotton in China,"Robertson, D. B.",1859,1850s,Natural Sciences,Agriculture,en,0.04473511489452993,0.21832126505646504,0.3254109561247245,0.07014693090120745,0.19777896325895578,0.0,0.13071045383686444,0.012896315927252709,nmf,8,2,0.3254109561247245
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,"Edkins, J.",1859,1850s,Anthropology and Social Customs,Mythology,en,0.0,0.0,0.0,0.23597760214130956,0.0,0.005351917101139549,0.17909169421150678,0.5795787865460441,nmf,8,7,0.5795787865460441
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,"Williams, S. W.",1859,1850s,History and Chronology,"History, Modern (20th century)",en,0.008052290366673863,0.05945031810733727,0.693234720994283,0.017823177528874343,0.0,0.006768268242827102,0.04399716276033684,0.17067406199966761,nmf,8,2,0.693234720994283
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",,1859,1850s,Natural Sciences,Meteorology,en,0.0,0.11047136581580634,0.7812601830356823,0.0,0.10823668755616993,3.176359234142715e-05,0.0,0.0,nmf,8,2,0.7812601830356823
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,"Edkins, J.",1860,1860s,Religion and Philosophy,Confucianism,en,0.0,0.0,0.0,0.14085702305706221,0.0,0.0008893010504664403,0.020727816265623956,0.8375258596268472,nmf,8,7,0.8375258596268472
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin","John, G.",1860,1860s,Religion and Philosophy,Philosophy,en,0.0,0.293024025883115,0.05245701640140942,0.0,0.03709745986388416,0.0,0.09271655937194163,0.5247049384796498,nmf,8,7,0.5247049384796498
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,"Shadwell, C. F. A.",1860,1860s,Natural Sciences,Meteorology,en,0.0,0.12682413094015843,0.8352944795615195,0.0,0.03788138949832196,0.0,0.0,0.0,nmf,8,2,0.8352944795615195
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,Editorial Committee,1860,1860s,Natural Sciences,Meteorology,en,0.04772400272282069,0.25053488337174823,0.5680040692650737,0.0,0.09250539696499036,0.0,0.04123164767536683,0.0,nmf,8,2,0.5680040692650737
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c","Williamson, A.",1865,1860s,Geography and Travel,Travel,en,0.0,0.5305014253661624,0.02860603590817941,0.1567936380089258,0.0,0.0098267162615911,0.06260208776042828,0.21167009669471284,nmf,8,1,0.5305014253661624
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",,1866,1860s,Geography and Travel,Travel,en,0.048345731139904716,0.5892823820252714,0.16798002331165335,0.09293953032776114,0.0,0.01598067036415653,0.0206531271426041,0.06481853568864873,nmf,8,1,0.5892823820252714
INDEX_00063,1866_03.txt,An account of a translation of a Japanese Manuscript,,1866,1860s,History and Chronology,History,en,0.0,0.0,0.28581112001874476,0.0,0.0,0.01678944822970139,0.19950950406332912,0.4978899276882247,nmf,8,7,0.4978899276882247
MASTER_00064,1866_04.txt,Description of the Great Examination Hall at Canton,"Keer, J. G.",1865,1860s,Arts and Archaeology,Architecture,en,0.16816741621357087,0.18108052019355866,0.24817736496082551,0.09186239011187025,0.003159591217510473,0.0,0.0,0.3075527173026642,nmf,8,7,0.3075527173026642
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860s,Natural Sciences,Astronomy,en,0.14009897173812813,0.0,0.17959460684715356,0.03264811340595787,0.36161966143535573,0.014060658108334867,0.14361846544836102,0.12835952301670886,nmf,8,4,0.36161966143535573
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,"Williams, S. W.",1866,1860s,History and Chronology,History,en,0.0,0.0,0.43699005003759617,0.10998463100237932,0.0,0.0,0.2185822606843326,0.23444305827569212,nmf,8,2,0.43699005003759617
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,"Kingsmill, T. W.",1865,1860s,Natural Sciences,Geology,en,0.0,0.869269662105659,0.0,0.08176012391593794,0.012163859533617797,0.0,0.03680635444478512,0.0,nmf,8,1,0.869269662105659
MASTER_00072,1866_08.txt,"Short sketch of the Chinese game of chess, Seang - kh'e, A *","Hollingworth, H. G.",1866,1860s,Anthropology and Social Customs,Manners and customs,en,0.00143492162168814,0.16855306498050102,0.04327293139001769,0.16140407578788907,0.3209682800624406,0.012851132188420258,0.12781398464074242,0.16370160932830077,nmf,8,4,0.3209682800624406
MASTER_00071,1866_09_retrospects_of_events.txt,"Retrospect of events in the north of China, 1866","Butcher, C. H.",1866,1860s,History and Chronology,"History, Modern (20th century)",en,0.12201196435664889,0.0950322645125031,0.7692594616724046,0.0,0.0,0.0,0.013696309458443568,0.0,nmf,8,2,0.7692594616724046
MASTER_00098,1869_01.txt,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius","Markham, J.",1869,1860s,Geography and Travel,Travel,en,0.0,0.669520012073319,0.04140093116158555,0.10841361865847324,0.03527834729653572,0.009268621026193023,0.0,0.13611846978389355,nmf,8,1,0.669520012073319
MASTER_00099,1869_02.txt,"On Wen - ch'ang, the god of literature, his history and worship","Mayers, W. F.",1869,1860s,Religion and Philosophy,Religion,en,0.014415584643608936,0.0,0.0,0.3848416539476579,0.0,0.0,0.3096274095091621,0.2911153518995711,nmf,8,3,0.3848416539476579
MASTER_00100,1869_03.txt,The Fabulous source of the Hoang-ho,"Eitel, E. J.",1869,1860s,Religion and Philosophy,Buddhism,en,0.021115317680754923,0.611275876339413,0.0,0.0,0.0,0.013737214310442914,0.3538715916693892,0.0,nmf,8,1,0.611275876339413
,1869_04.txt,,,1869,1860s,,,fr,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nmf,8,5,1.0
MASTER_00102,1869_05.txt,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare","Mayers, W. F.",1869,1860s,Military | Natural Sciences,Military art and science | Science,en,0.1579745491211721,0.028475449385163606,0.06652403320421676,0.3213535556881208,0.09416264375508973,0.0,0.29022147814300725,0.04128829070322984,nmf,8,3,0.3213535556881208
MASTER_00103,1869_06.txt,The Chinese game of chess as compared with that practised by Western nations,"Himly, K.",1869,1860s,Anthropology and Social Customs,Manners and customs,en,0.10238660860593857,0.0,0.04673939657960268,0.32288382797972487,0.08222124555737807,0.0,0.4042657976814679,0.041503123595887884,nmf,8,6,0.4042657976814679
MASTER_00213,1869_07.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.01958211436048427,0.09627097215186703,0.28584307735313635,0.3214499489267388,0.0,0.0,0.21870413731304575,0.05814974989472764,nmf,8,3,0.3214499489267388
,1869_08.txt,,,1869,1860s,,,en,0.18212603621493964,0.040709186642518234,0.03736034443198896,0.022971338678796423,0.0,0.003993717835908571,0.010966264543307925,0.7018731116525402,nmf,8,7,0.7018731116525402
MASTER_00106,1869_09.txt,Chinese chemical manufactures,"Smith, F. P.",1869,1860s,Natural Sciences,Agriculture,en,0.254125359191917,0.22830555516858744,0.059678078111979234,0.10967281909053443,0.20030797729295388,0.0,0.012938009547890626,0.13497220159613746,nmf,8,0,0.254125359191917
MASTER_00107,1869_10.txt,Journal of a mission to Lewchew in 1801,"Williams, S. W.",1869,1860s,History and Chronology,History,en,0.0,0.18874981681866787,0.29842155493338723,0.05411111541872585,0.06224830640623558,0.0,0.05016910418904195,0.3463001022339415,nmf,8,7,0.3463001022339415
MASTER_00259,1869_11.txt,Wei - ch ' i *,"Volpicelli, Z. H.",1891,1890s,Anthropology and Social Customs,Manners and customs,en,0.0,0.04957653706710712,0.0,0.47599090338523353,0.0034906399360219867,0.0,0.0,0.4709419196116374,nmf,8,3,0.47599090338523353
