master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,model,K,dominant_topic,dominant_topic_weight
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,"Edkins, J.",1859,1850s,Anthropology and Social Customs,Mythology,en,0.17046533099455782,0.0,0.0,0.22820200680011285,0.0,0.005228792141683564,0.15845449311110232,0.0,0.0,0.4376493769525435,nmf,10,9,0.4376493769525435
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,"Williams, S. W.",1859,1850s,History and Chronology,"History, Modern (20th century)",en,0.17470406079708015,0.030394258803359244,0.056757497729915014,0.024606873418528682,0.0,0.004826756815657155,0.0196598855472892,0.6627549216514098,0.0,0.026295745236760804,nmf,10,7,0.6627549216514098
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",,1859,1850s,Natural Sciences,Meteorology,en,0.0,0.09995028693614012,0.0022310734564790526,0.0,0.12282606253706822,0.0,0.0,0.7749925770703127,0.0,0.0,nmf,10,7,0.7749925770703127
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,"Edkins, J.",1860,1860s,Religion and Philosophy,Confucianism,en,0.07172170794120344,0.02515097994847095,0.0,0.11699185783076874,0.0,0.0034937045523307816,0.0,0.0,0.0,0.7826417497272261,nmf,10,9,0.7826417497272261
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin","John, G.",1860,1860s,Religion and Philosophy,Philosophy,en,0.1531498066894274,0.253218606758113,0.0,0.0,0.030221316331416434,0.0012599794033381281,0.0690142831861283,0.04910027938431362,0.0,0.4440357282472632,nmf,10,9,0.4440357282472632
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,"Shadwell, C. F. A.",1860,1860s,Natural Sciences,Meteorology,en,0.0,0.11936579297898771,0.0,0.0,0.04805476506116345,0.0,0.0,0.7720260926035413,0.06055334935630773,0.0,nmf,10,7,0.7720260926035413
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,Editorial Committee,1860,1860s,Natural Sciences,Meteorology,en,0.0,0.24396817540079296,0.11368689815458871,0.0,0.09234942928138515,0.0,0.022576140733097907,0.5105802849889255,0.016839071441209587,0.0,nmf,10,7,0.5105802849889255
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c","Williamson, A.",1865,1860s,Geography and Travel,Travel,en,0.15091497188784794,0.49263409668218,0.0,0.15035495264970059,0.0,0.009756152709143016,0.043354833166428686,0.03927822200364703,0.0,0.11370677090105272,nmf,10,1,0.49263409668218
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",,1866,1860s,Geography and Travel,Travel,en,0.030398724088570812,0.5555030322954774,0.06949933035768716,0.08488072805085772,0.0,0.014434162806048534,0.013375852256491008,0.14749025684061062,0.022321390242789816,0.06209652306146704,nmf,10,1,0.5555030322954774
INDEX_00063,1866_03.txt,An account of a translation of a Japanese Manuscript,,1866,1860s,History and Chronology,History,en,0.2845692586782835,0.0,0.0,0.0,0.0,0.014095977360640465,0.1710219942534112,0.258151947225038,0.0004902468181559663,0.271670575664471,nmf,10,0,0.2845692586782835
