master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,model,K,dominant_topic,dominant_topic_weight
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.09445711959066865,0.0,0.0,0.0,0.019053777472823902,0.0,0.0,0.4923365592368262,0.026739852318716378,0.0,0.0,0.0,0.0035746546664898187,0.0,0.06680625156975557,0.033761963015354605,0.000951057115474433,0.0,0.0,0.0,0.029908333967098345,0.0,0.0,0.0,0.23241043104679215,nmf,25,7,0.4923365592368262
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3752234517966338,0.0,0.06687141023922823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557905137964138,nmf,25,24,0.557905137964138
,1859_07.txt,,,1859,1850s,,,en,0.0,0.0,0.04469979315767795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9553002068423221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,12,0.9553002068423221
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9373179387212252,0.0,0.0,0.0,0.0,0.0,0.004436470356102097,0.0582455909226727,0.0,nmf,25,16,0.9373179387212252
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,1,1.0
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850s,Natural Sciences,Meteorology,en,0.0,0.033730008069554944,0.0021085226301337176,0.0,0.0,0.0,0.0,0.7973937158331806,0.0,0.0,0.03152433406118431,0.0,0.10615655555242921,0.00945966219703201,0.0,0.0,0.0,0.0,0.017349054259772578,0.0,0.0,0.0,0.0,0.002278147396712576,0.0,nmf,25,7,0.7973937158331806
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850s,Anthropology and Social Customs,Ethnology,en,0.4029176001563536,0.0,0.0,0.08047688666196745,0.020901385464011886,0.0,0.08918373354524262,0.0,0.012918842785422583,0.0,0.006674359428475068,0.0,0.0,0.0,0.0,0.11600673343743141,0.013229333293875146,0.0,0.0,0.0,0.0,0.23008811494372045,0.022601450351453327,0.005001559932046482,0.0,nmf,25,0,0.4029176001563536
MASTER_00018,1860_01.txt,The Small Chinese Lark,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.05011245797874547,0.0,0.0,0.0,0.0,0.0,0.011486678939356162,0.0,0.0,0.028586558255059638,0.0,0.009172788025919611,0.0,0.0,0.011444196486612972,0.015332369242257242,0.8175079100902014,0.0,0.0,0.0,0.0,0.0,0.02591113156640728,0.021999276961830492,0.008446632453609678,nmf,25,16,0.8175079100902014
MASTER_00019,1860_02.txt,On the Banishment of Criminals in China,"Macgowan, D. J.",1859,1850s,"Politics, Government, and Law",Law,en,0.0,0.01808318087920623,0.0,0.01855398556054157,0.0,0.0,0.007553436180538165,0.12478017243995354,0.08951183555359828,0.0,0.03356392359635183,0.010153125992347847,0.003550268881405532,0.0,0.011065351790534923,0.0,0.0,0.0,0.12427399076622153,0.0,0.0,0.5295837246277099,0.0,0.0033207938952478293,0.026006209836342945,nmf,25,21,0.5295837246277099
MASTER_00020,1860_03.txt,Cotton in China,"Robertson, D. B.",1859,1850s,Natural Sciences,Agriculture,en,0.06795544444867596,0.06834342316320816,0.04578394690355384,0.0071691870364293635,0.09919159164623632,0.0,0.10251229902474117,0.04848901463466619,0.280270469415302,0.017547479278997462,0.009049024654725901,0.026582297721327208,0.0,0.0,0.10549778930045557,0.0,0.0,0.012915137588505212,0.009151813070193615,0.026681143559543343,0.016587113471789715,0.027424798527222294,0.0,0.0,0.028848026554426743,nmf,25,8,0.280270469415302
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,"Edkins, J.",1859,1850s,Anthropology and Social Customs,Mythology,en,0.0,0.0,0.0,0.08084745755067588,0.0,0.0050999369240799725,0.11595027076208134,0.0,0.0,0.10787814567489211,0.02219462826161166,0.0,0.0,0.0,0.022533287117200318,0.6431142081717898,0.0,0.0023820655376687863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,15,0.6431142081717898
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,"Williams, S. W.",1859,1850s,History and Chronology,"History, Modern (20th century)",en,0.06703800243599413,0.026202943061618682,0.08243868694240965,0.0,0.0,0.0,0.03926840269675423,0.4158924204852657,0.0,0.022374234855239292,0.0710590161400331,0.0,0.0,0.025396392657631828,0.0,0.151919566963678,0.0,0.0,0.0,0.03270580139033526,0.0,0.04276221875977648,0.022942313611263532,0.0,0.0,nmf,25,7,0.4158924204852657
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",,1859,1850s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14587913914310915,0.0,0.0,0.0,0.0,0.8540491550705528,0.0,0.0,0.0,7.17057863380203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,12,0.8540491550705528
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,"Edkins, J.",1860,1860s,Religion and Philosophy,Confucianism,en,0.0,0.0,0.0,0.0,0.0,0.0,0.02969122845210086,0.0,0.0,0.5826371397679834,0.3012124660896444,0.0,0.0,0.0,0.0,0.08606337775999441,0.0,0.00039578793027673036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,9,0.5826371397679834
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin","John, G.",1860,1860s,Religion and Philosophy,Philosophy,en,0.06130452512942542,0.17177435752321632,0.0,0.0,0.0,0.0,0.06047416339503158,0.0,0.005914319768439605,0.3163996742558547,0.0,0.0012587107334182113,0.11922700371997542,0.0,0.002277778345622297,0.1986937208335819,0.039693640988124605,0.0071993933384886894,0.0,0.0,0.0038406238168500815,0.0,0.0,0.011942088151971142,0.0,nmf,25,9,0.3163996742558547
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,"Shadwell, C. F. A.",1860,1860s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158844599929994,0.00027263626014537105,0.0,0.0,0.008406475780302701,0.2913650574329077,0.0,0.3739709601684126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004190159035618611,0.005910251329613554,nmf,25,14,0.3739709601684126
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,Editorial Committee,1860,1860s,Natural Sciences,Meteorology,en,0.03554189239884968,0.027721585246530667,0.05425941785309805,0.0,0.0,0.0,0.0,0.15792421095242382,0.014155104670040844,0.0,0.039153308099790764,0.0,0.5431967308034346,0.023738156570521633,0.06252176735917302,0.0,0.008939493342435717,0.0,0.011453917986777007,0.0,0.0,0.0,0.0,0.01378038058108766,0.007614034135836617,nmf,25,12,0.5431967308034346
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c","Williamson, A.",1865,1860s,Geography and Travel,Travel,en,0.031262697405760265,0.2662178848901993,0.0,0.0,0.0,0.004114379835219177,0.07383503836115922,0.01389203627583894,0.0,0.13133874728440706,0.4459888893929528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03335032655446299,0.0,0.0,0.0,nmf,25,10,0.4459888893929528
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",,1866,1860s,Geography and Travel,Travel,en,0.0034009992153840474,0.44968004808476714,0.05070851694601744,0.022230926341819092,0.0,0.01139264151340316,0.013725276274776578,0.07359006955422509,0.01031514954111513,0.038976570868978155,0.12535524843409543,0.0013507539335109564,0.0,0.003429968734802658,0.022188653957886974,0.005775571646256265,0.0,0.0,0.0,0.04604703757973538,0.0,0.04764860324917439,0.0363706411120222,0.0,0.037813323012030005,nmf,25,1,0.44968004808476714
INDEX_00063,1866_03.txt,An account of a translation of a Japanese Manuscript,,1866,1860s,History and Chronology,History,en,0.0413418768438494,0.0,0.0,0.0,0.0,0.0,0.0957639974924963,0.10402646193933987,0.005665272543324889,0.09492303189930723,0.0,0.0020465209193438793,0.0,0.0217540866777489,0.0,0.1842936571582234,0.0,0.01508860454267158,0.0,0.11979209529723953,0.0,0.09238761164872095,0.22291678303773416,0.0,0.0,nmf,25,22,0.22291678303773416
MASTER_00064,1866_04.txt,Description of the Great Examination Hall at Canton,"Keer, J. G.",1865,1860s,Arts and Archaeology,Architecture,en,0.019867588609895896,0.0,0.09615848072221277,0.0,0.0,0.0,0.0,0.07603209764980033,0.0,0.0,0.3558409205904009,0.0,0.0,0.0,0.0,0.16073438613511498,0.0,0.003635571067242511,0.0,0.0,0.0,0.10892803333445375,0.0,0.05066406906034108,0.1281388528305378,nmf,25,10,0.3558409205904009
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860s,Natural Sciences,Astronomy,en,0.08315717542885755,0.0,0.04360688161704515,0.006250279717339353,0.15764347031506779,0.0,0.048878362447949714,0.06053777113060902,0.02310421500082451,0.0,0.0,2.3044151522170263e-05,0.0,0.06298060185894942,0.0,0.0455900442281965,0.07818953523846925,0.009645224707379888,0.0,0.05944176223175337,0.0,0.059563281116691284,0.0,0.0,0.261388350809345,nmf,25,24,0.261388350809345
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,"Williams, S. W.",1866,1860s,History and Chronology,History,en,0.004465718244161755,0.0,0.0,0.0271455337718673,0.0,0.0,0.2444394985640333,0.2517888043201985,0.010910998372791093,0.058940162520703124,0.025044988271092118,0.0,0.0,0.0029375553317591134,0.0,0.2556394618394805,0.0,0.0,0.0,0.0,0.0,0.11839882888071392,0.0,0.0002884498831992856,0.0,nmf,25,15,0.2556394618394805
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,"Kingsmill, T. W.",1865,1860s,Natural Sciences,Geology,en,0.0,0.0005054759433116047,0.0,0.02500375767575577,0.001885679158613724,0.0,0.03414880559772573,0.0,0.0,0.0,0.0005475914147495423,0.0,0.0,0.0,0.9336261907516016,0.0,0.0008894030514054002,0.0033930964068366663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,14,0.9336261907516016
MASTER_00072,1866_08.txt,"Short sketch of the Chinese game of chess, Seang - kh'e, A *","Hollingworth, H. G.",1866,1860s,Anthropology and Social Customs,Manners and customs,en,0.25333035134568793,0.0,0.0,0.05175924355997892,0.0,0.013992902277288373,0.038268116484223624,0.0,0.06151901514748684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01067730554930492,0.3219490380435466,0.24850402759248286,nmf,25,23,0.3219490380435466
MASTER_00071,1866_09_retrospects_of_events.txt,"Retrospect of events in the north of China, 1866","Butcher, C. H.",1866,1860s,History and Chronology,"History, Modern (20th century)",en,0.0,0.13924202980895073,0.2664367657617382,0.0,0.0,0.0,0.011366677228510586,0.42183771261721187,0.02435843798369593,0.0,0.0,0.009246259829654564,0.04161807028903916,0.006896392751665014,0.0,0.0,0.007786683078126328,0.0,0.0,0.0,0.0,0.0,0.020061226888182133,0.0,0.051149743763225265,nmf,25,7,0.42183771261721187
MASTER_00098,1869_01.txt,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius","Markham, J.",1869,1860s,Geography and Travel,Travel,en,0.07292680912089484,0.1357842354835065,0.0,0.0,0.0065098056528747955,0.0,0.0,0.0,0.021066758170954086,0.033120971403761496,0.535377956257081,0.00841803245201853,0.0,0.023672506911304774,0.16312292454760396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,10,0.535377956257081
MASTER_00099,1869_02.txt,"On Wen - ch'ang, the god of literature, his history and worship","Mayers, W. F.",1869,1860s,Religion and Philosophy,Religion,en,0.0,0.0,0.0,0.169251109593291,0.0,0.0,0.17373268122779023,0.0,0.0,0.0,0.02730987396463503,0.0,0.0,0.0,0.0,0.4904438730249547,0.0,0.0,0.0,0.0,0.0,0.0,0.030612354222535824,0.00891361750288247,0.09973649046391082,nmf,25,15,0.4904438730249547
MASTER_00100,1869_03.txt,The Fabulous source of the Hoang-ho,"Eitel, E. J.",1869,1860s,Religion and Philosophy,Buddhism,en,0.0,0.5699411396548448,0.0,0.0,0.0,0.0,0.20652247289215694,0.0,0.0,0.0007782978123985261,0.0,0.0,0.0,0.032550075518975166,0.0,0.05283912242657471,0.0,0.0,0.06675566754249761,0.0,0.01819725927274003,0.0,0.01821550082713657,0.0,0.034200464052675565,nmf,25,1,0.5699411396548448
,1869_04.txt,,,1869,1860s,,,fr,0.0,0.0,0.0,0.0,0.0,0.9990482907927458,0.0,0.0009517092072541543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,5,0.9990482907927458
MASTER_00102,1869_05.txt,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare","Mayers, W. F.",1869,1860s,Military | Natural Sciences,Military art and science | Science,en,0.014457601535679467,0.0,0.0013534362455858639,0.1527157928819178,0.0,0.0,0.134030205602298,0.03934180774290482,0.0060189993259788434,0.0,0.06613902904280015,0.03832891927351715,0.0,0.016693667224552594,0.03507960399931657,0.03260863447741793,0.0,0.03432281219325074,0.029904219522609486,0.0,0.11042848282636514,0.0,0.0,0.04726897788284702,0.24130781022295836,nmf,25,24,0.24130781022295836
MASTER_00103,1869_06.txt,The Chinese game of chess as compared with that practised by Western nations,"Himly, K.",1869,1860s,Anthropology and Social Customs,Manners and customs,en,0.10733209991558984,0.0,0.0,0.20162242294945187,0.0,0.0,0.24949914501245546,0.007772727824401466,0.0,0.0,0.0,0.0,0.0,0.03758940560223566,0.0,0.0,0.0,0.0,0.014755788283410584,0.0,0.0,0.0,0.0,0.05522242163184091,0.3262059887806142,nmf,25,24,0.3262059887806142
MASTER_00213,1869_07.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.03681385162796121,0.008058090722096253,0.0397131756910237,0.17559177828407926,0.000306078255781953,0.0,0.14612817306917952,0.12162512728526627,0.018073299533604117,0.0,0.15645794224699572,0.0,0.0,0.0,0.02793348401595163,0.0,0.0,0.0,0.11693474809181684,0.016256003171408417,0.022374516975420432,0.11373373102941478,0.0,0.0,0.0,nmf,25,3,0.17559177828407926
,1869_08.txt,,,1869,1860s,,,en,0.03936799779715268,0.029583853552019063,0.11696027783859426,0.0030452471053922067,0.0,0.004268926946592689,0.04146863820793463,0.0,0.004781648281994789,0.47132911834968205,0.0,0.0,0.0016040738733700325,0.016042851106025317,0.005367541203687766,0.06356240075494993,0.0,0.011107520407693269,0.0,0.003192282695980746,0.0,0.08262488721154794,0.0,0.024174346480201954,0.08151838818718046,nmf,25,9,0.47132911834968205
MASTER_00106,1869_09.txt,Chinese chemical manufactures,"Smith, F. P.",1869,1860s,Natural Sciences,Agriculture,en,0.06380160167070108,0.018003446798283584,0.01637311672501134,0.021204451688754986,0.01839793220359511,0.0,0.0,0.0,0.16039844437971984,0.0,0.0,0.010385304932981182,0.0,4.793545221685034e-06,0.1481368912803148,0.05049691776042667,0.03308031048283065,0.01113583896049348,0.0,0.0,0.22409086117371377,0.0,0.0,0.0,0.22449008839795181,nmf,25,24,0.22449008839795181
MASTER_00107,1869_10.txt,Journal of a mission to Lewchew in 1801,"Williams, S. W.",1869,1860s,History and Chronology,History,en,0.2500990592289525,0.0,0.0,0.02427251996204052,0.0,0.0,0.0823692221127146,0.11487203592140532,0.0007872230640203801,0.034060169889382735,0.01647101161684492,0.0,0.06999184387790185,0.0,0.0,0.20878127736127555,0.011416222066334459,0.0,0.0,0.06751394140369431,0.0,0.10700189864241506,0.012363574853017855,0.0,0.0,nmf,25,0,0.2500990592289525
MASTER_00259,1869_11.txt,Wei - ch ' i *,"Volpicelli, Z. H.",1891,1890s,Anthropology and Social Customs,Manners and customs,en,0.0,0.0062906386383953464,0.0021618078457173403,0.1803328991362559,0.0,0.0,0.0,0.002197827367926796,0.009447370916687054,0.10221806604922143,0.22067254738399134,0.0,0.0,0.0,0.0,0.3766850704891494,0.018234199006080476,0.002521488698308865,0.0,0.0,0.0,0.06776738629601696,0.0,0.0,0.011470698172249225,nmf,25,15,0.3766850704891494
MASTER_00109,1869_12_retrospects_of_events.txt,"Retrospect of events in China and Japan, 1869, 1870",,1869,1860s,History and Chronology,"History, Modern (20th century)",en,0.025158513119018445,0.035051364467901074,0.09688582694828671,0.0,0.003357431632296749,0.0,0.0005037721852640455,0.5977345621672667,0.026895284170924783,0.03663499165615359,0.0,0.0,0.0,0.0,0.0,0.010077875848400997,0.0005004225857331919,0.0,0.032537882190455905,0.0,0.024037976913693315,0.08930325448131299,0.008021787356581862,0.013299054276709665,0.0,nmf,25,7,0.5977345621672667
MASTER_00126,1874_01.txt,Recollections of China prior to 1840,"Williams, S. W.",1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.11004452838024213,0.04997537788342373,0.2688954049377539,0.0,0.0,0.0,0.0,0.4142631577578392,0.0,0.019102445723607375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10371573723195099,0.0,0.03400334808518277,0.0,0.0,0.0,0.0,0.0,nmf,25,7,0.4142631577578392
MASTER_00127,1874_02.txt,"The legend of Wen Wang, founder of the dynasty of the Chows in China","Kingsmill, T. W.",1873,1870s,History and Chronology,Biography,en,0.0,0.00031519011173679204,0.0,0.0,0.0,0.006756577257988978,0.6682285824188737,0.0,0.0,0.02677312017478926,0.0,0.0,0.0,0.0,0.0,0.07925073000406213,0.0,0.0,0.0,0.0,0.06757285239977551,0.15110294763277357,0.0,0.0,0.0,nmf,25,6,0.6682285824188737
MASTER_00128,1874_03.txt,Extracts from the history of Shanghai,"Schmidt, C.",1873,1870s,History and Chronology,History,en,0.01600285895431047,0.1121418651386859,0.0,0.19431710707639568,0.0,0.0,0.11471083011531892,0.19856503000097878,0.0,0.0,0.22988893240783498,0.0,0.0,0.0,0.0,0.07194684893698682,0.0017936399138137645,0.0,0.0,0.0,0.007636657630146483,0.05299622982552816,0.0,0.0,0.0,nmf,25,10,0.22988893240783498
MASTER_00129,1874_04.txt,Chinese fox - myths,"Watters, T.",1873,1870s,Anthropology and Social Customs,Mythology,en,0.13950129414061394,0.0,0.0,0.012000209047706536,0.0,0.0,0.060594730019915555,0.0,0.0,0.11019977442120427,0.0,0.0017529832894875356,0.0,0.019473575836082786,0.0020004865882410207,0.16936591676311621,0.07665202226023304,0.0,0.039397358514100284,0.006131291851582772,0.07439117355124762,0.16345552949426123,0.007121552335117995,0.0,0.11796210188708915,nmf,25,15,0.16936591676311621
MASTER_00130,1874_05.txt,Brief account of the French Expedition of 1866 into Indo - China,"Viguier, S. A.",1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.0,0.2586628950436836,0.112288540478015,0.0,0.0,0.0,0.03605648387214489,0.15835582113438318,0.0,0.0,0.033708387816727435,0.0,0.0,0.35635559783932164,0.01227499867992749,0.0,0.0,0.0,0.028130673636358842,0.0,0.004166601499437822,0.0,0.0,0.0,0.0,nmf,25,13,0.35635559783932164
MASTER_00131,1874_06.txt,"Visit to the city of Confucius, A","Edkins, J.",1873,1870s,Religion and Philosophy,Confucianism,en,0.012422804979000047,0.049580645017465536,0.0,0.0,0.002030598590036203,0.0,0.0,0.0,0.0,0.24235752386180437,0.6267859733171934,0.012681639769787452,0.0004980684979334925,0.0,0.0,0.053642745966779454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,10,0.6267859733171934
MASTER_00132,1874_07.txt,Short notes on Chinese instruments of music *,"Dennys, N. B.",1873,1870s,Arts and Archaeology,Music,en,0.06064515056729755,0.0,0.0,0.04702098452881601,0.0,0.0,0.012256352507387448,0.0,0.009980849053071962,0.0,0.09374643777104237,0.13942813547272323,0.0,0.0,0.0,0.01612736426698236,0.0026467289142182086,0.04371300489750946,0.0,0.0,0.031879010699214,0.0,0.0,0.21832351856729004,0.32423246275444734,nmf,25,24,0.32423246275444734
MASTER_00133,1874_08.txt,"Stone drums of the Chou Dynasty, The *","Bushell, S. W.",1873,1870s,Arts and Archaeology,Archaeology,en,0.0,0.0,0.0,0.2583570154591648,0.0,0.029868534325594265,0.013372333686871862,0.0,0.005973971002185038,0.0,0.21265685492633357,0.0008689595213053986,0.0,0.07664487056286977,0.0,0.0,0.02318347665556495,0.0,0.0,0.0,0.05197116481209465,0.0,0.0,0.020651776416013144,0.3064510426320025,nmf,25,24,0.3064510426320025
MASTER_00134,1874_09_retrospects_of_events.txt,"Retrospect of events in China, 1873",Editorial Committee,1873,1870s,History and Chronology,"History, Modern (20th century)",en,0.04351884062063872,0.057775942314949785,0.11169086868717405,0.0,0.0,0.02224734116662049,0.037781851762746385,0.07369746774517572,0.003840102888682553,0.012957553924211896,0.027948100622029275,0.0,0.012083584505416363,0.3975313881479369,0.013031814298736913,0.03225473678644851,0.005513727408723922,0.008544097100398933,0.0,0.006619686431395311,0.058350271973121176,0.06371759787748486,0.010849745218078124,0.0,4.528052003005071e-05,nmf,25,13,0.3975313881479369
