master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,0.017556544482882002,0.004138788596896238,0.14334612808254957,0.0,0.0012051275901050534,0.0,0.0007083006520391702,0.0,0.0,0.10318293061002941,0.0,0.0,0.03873203343630647,0.0,0.008081515247323902,0.022586397922687112,0.0,0.0,0.11238614597167278,0.06959484488983177,0.0,0.0,0.0,0.0,0.008686087295280318,0.11996627317851351,0.13472932822828682,0.0,0.02800453491643301,0.18709501889916294,nmf,30,29,0.18709501889916294
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.017466596310654614,0.12119611365801772,0.005526807819851,0.0,0.0,0.0015025652658760406,0.0,0.0,0.0,0.015599280974039514,0.0,0.0,0.0008807876581643726,0.0,0.011366528580201332,0.013365574024513644,0.012475312281816111,0.0,0.002562368445144691,0.027643898838759253,0.013202223357266375,0.0,0.4406437115394624,0.0,0.0,0.014666428086287991,0.01570719958782613,0.22198307033430054,0.04214032685017139,0.022071206387646758,nmf,30,22,0.4406437115394624
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.0,0.010402882371599618,0.0,0.0,0.0,0.02173607246394962,0.0,0.10892941542290835,0.6630932822174902,0.0,0.07073133118753572,0.0,0.021957480811869833,0.045918633142807475,0.0,0.0,0.0,0.01388579604946126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004617096845796081,0.03872800948658185,nmf,30,8,0.6630932822174902
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.03025723218045495,0.002325737036489385,0.008900316124675497,0.0,0.0,0.0,0.17870042996581909,0.0,0.02271047395143587,0.0,0.0,0.008028553040105654,0.05398323557219436,0.0,0.009626030358957344,0.0741823436557371,0.0,0.0,0.030500789305209067,0.03793258762460703,0.06921411267061056,0.0,0.03202395652312259,0.0,0.0,0.1713892370770422,0.18590208550488987,0.045318936192936705,0.0,0.03900394321571258,nmf,30,26,0.18590208550488987
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,0.0,0.0,0.0,0.0012577985987273698,0.0005799292429892499,0.011517206494859678,0.08069980570567985,0.0,0.0,0.28472746616560973,0.0,0.00018019708256240767,0.00954987606543341,0.0,0.0,0.0,0.0004735496249785397,0.009793887800155237,0.0,0.08266930621159105,0.0,0.0,0.0,0.22484691655662192,0.031879710860710515,0.0,0.0302358598629275,0.0,0.03904561714955089,0.19254287257760241,nmf,30,9,0.28472746616560973
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.08582558557464312,0.02356794701282025,0.04987388433016189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873064299460139,0.0,0.04850970300235705,0.0049164501340038125,0.0,nmf,30,25,0.7873064299460139
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.0,0.0,0.5940898862955786,0.0,0.0,0.0,0.0,0.0,0.0,0.008952129266482933,0.0,0.0,0.0,0.0,0.0,0.0,0.0037304598263979425,0.038431044882419954,0.05948462781268932,0.0009269048914537409,0.0,0.007189801068656222,0.06664904031290303,0.0,0.0,0.07444039024285205,0.0,0.11958849817106688,0.0,0.02651721722949921,nmf,30,2,0.5940898862955786
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.534282428082813,0.13277488336559937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032050012532778226,0.13845827663150703,0.0,0.05233469461150575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027924450343205308,0.0,0.1110202657120917,0.0,0.0,nmf,30,0,0.534282428082813
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.0,0.0,0.0,0.0,0.004402068455913333,0.0,0.0,0.0,0.0,0.9384275712434819,0.005938185960529714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05123217434007504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,30,9,0.9384275712434819
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.0,0.007020146197076625,0.0,0.04202738479228028,0.0,0.0,0.08942027366351492,0.021750127369740618,0.0009505428515352286,0.0,0.050246467778265524,0.0,0.0006463852853119995,0.0,0.010050831648680498,0.0,0.004793386634248078,0.0,0.618812745118962,0.0,0.054823119657453394,0.0,0.0,0.0,0.0,0.08002955291643567,0.0,0.0,0.019429036086495315,0.0,nmf,30,18,0.618812745118962
