topic_id,topic_size,article_count,topic_size_share,article_coverage,interpretability,topic_words,coverage_score_norm,size_score_norm,interpretability_score_norm,importance_score,importance_rank
0,2189,143,0.15160329662719024,0.32798165137614677,0.5326899210085256,"cochin, tab, chinensis, folio, sinensis, var, genus, breadth, chusan, infra",0.806060606060606,1.0,0.2656621661702286,0.6905742574102782,1
1,1664,166,0.11524343791121269,0.38073394495412843,0.5382734520884727,"coal, limestone, mile, left bank, right bank, gorge, shore, sandstone, tide, navigable",0.9454545454545453,0.7479596735477676,0.31958818338704925,0.671000800796454,2
2,1225,175,0.08483967033728097,0.4013761467889908,0.5349489193549439,"altar, marble, pillars, pagodas, terrace, architecture, towers, monuments, offerings, coffin",1.0,0.5372059529524724,0.2874796830744021,0.6082285453422914,3
4,792,142,0.054851444005817575,0.3256880733944954,0.5373839843518196,"kwo, rebels, eldest son, eunuch, an-shih, wang an-shih, annam, rebel, generals, defeat",0.7999999999999999,0.32933269323091696,0.31099766033026405,0.480110117853727,4
21,305,78,0.021123346492139344,0.17889908256880735,0.5791416466006394,"thou, thy, hell, sins, creator, yima, hells, brightness, demon, deus",0.4121212121212121,0.09553528564570331,0.7142952118476823,0.40731723653819923,5
3,868,84,0.060114966410416235,0.1926605504587156,0.5471371582100275,"treaty, garnier, tong-king, treaties, commissioners, kweiliang, mandarins, negotiations, americans, audience",0.4484848484848485,0.36581853096495437,0.405194292150814,0.4064992238668723,6
9,597,87,0.04134635362559734,0.19954128440366972,0.5490454841921636,"destiny, ultimate, taoism, immortality, holy men, immaterial, plato, senses, cosmic, tse",0.4666666666666667,0.2357177148343735,0.4236249981493114,0.37533645988345055,7
10,562,102,0.03892236304453217,0.23394495412844038,0.5413354298371997,"road shanghai, honorary, branch asiatic, election, hon, society's, s'hai, robert, list members, histories",0.5575757575757576,0.21891502640422467,0.3491609147699548,0.37521723291664566,8
30,115,10,0.007964540480642704,0.022935779816513763,0.6087236859699506,"tungus, goldi, northern tungus, reindeer, amur, shamanism, complex, amur river, orotchis, pal",0.0,0.0043206913106096975,1.0,0.33477356377020323,9
23,240,37,0.0166216496987326,0.08486238532110092,0.5834401359863818,"mohammed, prophet, moslem, moslems, islam, koran, mecca, mosque, jews, medina",0.16363636363636364,0.0643302928468555,0.7558102333104204,0.32792562993121316,10
11,310,62,0.02146963086086294,0.14220183486238533,0.5610218321533921,"great drought, tls, likin, land-tax, taels year, hkiang, catties, tax, ch'wan, revenue",0.3151515151515152,0.09793566970715314,0.5392931545730006,0.31746011314388967,11
26,197,56,0.013643604127709675,0.12844036697247707,0.56847509543547,"vols, bithe, road shanghai, manchu chinese, vide wylie, bithe vols, libraries, vols large, svo, der gabelentz",0.2787878787878788,0.043686989918386945,0.6112771371667981,0.31125066862435463,12
