decade,topic_id,count,article_count,decade_total,topic_total,share_of_decade,share_of_topic,topic_words
1860s,28,10,5,1331,159,0.007513148009015778,0.06289308176100629,"savages, garments, women wear, men wear, taiga, waist"
1860s,29,16,4,1331,106,0.012021036814425245,0.1509433962264151,"vegetation, agricole, carte, sahara, carte agricole, grazing"
1860s,31,90,3,1331,226,0.067618332081142,0.39823008849557523,"l'on, leurs, ses, fait, guild, quelques"
1860s,32,20,2,1331,113,0.015026296018031555,0.17699115044247787,"airs, drama, actor, musical instruments, actors, chinese respecting"
1870s,0,157,18,2264,2189,0.06934628975265017,0.07172224760164458,"cochin, tab, chinensis, folio, sinensis, var"
1870s,1,180,24,2264,1664,0.07950530035335689,0.10817307692307693,"coal, limestone, mile, left bank, right bank, gorge"
1870s,2,137,22,2264,1225,0.06051236749116608,0.11183673469387755,"altar, marble, pillars, pagodas, terrace, architecture"
1870s,3,149,12,2264,868,0.06581272084805653,0.1716589861751152,"treaty, garnier, tong-king, treaties, commissioners, kweiliang"
1870s,4,121,24,2264,792,0.0534452296819788,0.1527777777777778,"kwo, rebels, eldest son, eunuch, an-shih, wang an-shih"
1870s,5,251,3,2264,315,0.11086572438162544,0.7968253968253968,"aug, feb, mar, nov dec, jan feb, jan"
1870s,6,14,3,2264,380,0.006183745583038869,0.03684210526315789,"mint, obverse, coin, tael, coinage, annam"
1870s,7,1,1,2264,452,0.00044169611307420494,0.0022123893805309734,"wares, pottery, bronzes, porcelains, painting, chinese art"
1870s,8,339,8,2264,535,0.1497349823321555,0.6336448598130842,"tom, western asia, central western, mohammedan, medieval geography, history central"
1870s,9,39,7,2264,597,0.017226148409893994,0.06532663316582915,"destiny, ultimate, taoism, immortality, holy men, immaterial"
1870s,10,61,14,2264,562,0.026943462897526502,0.10854092526690391,"road shanghai, honorary, branch asiatic, election, hon, society's"
1870s,11,20,6,2264,310,0.0088339222614841,0.06451612903225806,"great drought, tls, likin, land-tax, taels year, hkiang"
1870s,12,80,15,2264,400,0.0353356890459364,0.2,"classifier, tones, shuo, corean, vowels, ideographic"
1870s,13,28,6,2264,217,0.012367491166077738,0.12903225806451613,"chinese musical, musical instruments, holes, diameter, inches long, pipe"
1870s,14,61,13,2264,324,0.026943462897526502,0.1882716049382716,"cycle, lunar, solar, eclipses, jupiter, equinox"
1870s,15,155,3,2264,197,0.06846289752650177,0.7868020304568528,"temperature, eastern asia, vapour, latitude, spring summer, celsius"
