decade,topic_id,count,article_count,decade_total,topic_total,share_of_decade,share_of_topic,topic_words
1910s,23,30,7,2227,240,0.01347103726986978,0.125,"mohammed, prophet, moslem, moslems, islam, koran"
1910s,24,17,8,2227,132,0.007633587786259542,0.12878787878787878,"kabaran, iii iii, yukan, tze, heen, mun"
1910s,25,13,4,2227,129,0.0058374494836102376,0.10077519379844961,"magnetic, magnetism, terrestrial, terrestrial magnetism, periodical, hemisphere"
1910s,26,22,6,2227,197,0.009878760664571173,0.1116751269035533,"vols, bithe, road shanghai, manchu chinese, vide wylie, bithe vols"
1910s,27,7,2,2227,145,0.003143242029636282,0.04827586206896552,"eunuchs, great officer, mencius reformers, reformers china, reformers, hospital"
1910s,28,6,5,2227,159,0.002694207453973956,0.03773584905660377,"savages, garments, women wear, men wear, taiga, waist"
1910s,29,8,4,2227,106,0.003592276605298608,0.07547169811320754,"vegetation, agricole, carte, sahara, carte agricole, grazing"
1910s,30,1,1,2227,115,0.000449034575662326,0.008695652173913044,"tungus, goldi, northern tungus, reindeer, amur, shamanism"
1910s,31,8,1,2227,226,0.003592276605298608,0.035398230088495575,"l'on, leurs, ses, fait, guild, quelques"
1910s,32,28,4,2227,113,0.012572968118545127,0.24778761061946902,"airs, drama, actor, musical instruments, actors, chinese respecting"
1920s,0,361,32,2763,2189,0.1306550850524792,0.16491548652352672,"cochin, tab, chinensis, folio, sinensis, var"
1920s,1,177,35,2763,1664,0.06406080347448426,0.1063701923076923,"coal, limestone, mile, left bank, right bank, gorge"
1920s,2,309,46,2763,1225,0.11183496199782844,0.2522448979591837,"altar, marble, pillars, pagodas, terrace, architecture"
1920s,3,108,14,2763,868,0.03908794788273615,0.12442396313364056,"treaty, garnier, tong-king, treaties, commissioners, kweiliang"
1920s,4,308,36,2763,792,0.11147303655446977,0.3888888888888889,"kwo, rebels, eldest son, eunuch, an-shih, wang an-shih"
1920s,5,4,2,2763,315,0.0014477017734346724,0.012698412698412698,"aug, feb, mar, nov dec, jan feb, jan"
1920s,6,25,8,2763,380,0.009048136083966703,0.06578947368421052,"mint, obverse, coin, tael, coinage, annam"
1920s,7,158,26,2763,452,0.05718422005066956,0.3495575221238938,"wares, pottery, bronzes, porcelains, painting, chinese art"
1920s,8,16,7,2763,535,0.00579080709373869,0.029906542056074768,"tom, western asia, central western, mohammedan, medieval geography, history central"
1920s,9,196,28,2763,597,0.07093738689829895,0.32830820770519265,"destiny, ultimate, taoism, immortality, holy men, immaterial"
1920s,10,105,19,2763,562,0.038002171552660155,0.18683274021352314,"road shanghai, honorary, branch asiatic, election, hon, society's"
1920s,11,28,7,2763,310,0.010133912414042706,0.09032258064516129,"great drought, tls, likin, land-tax, taels year, hkiang"
1920s,12,62,15,2763,400,0.022439377488237423,0.155,"classifier, tones, shuo, corean, vowels, ideographic"
1920s,13,21,8,2763,217,0.00760043431053203,0.0967741935483871,"chinese musical, musical instruments, holes, diameter, inches long, pipe"
1920s,14,12,5,2763,324,0.004343105320304018,0.037037037037037035,"cycle, lunar, solar, eclipses, jupiter, equinox"
1920s,15,6,1,2763,197,0.002171552660152009,0.030456852791878174,"temperature, eastern asia, vapour, latitude, spring summer, celsius"
1920s,16,56,11,2763,333,0.020267824828085413,0.16816816816816818,"tai-y, fut, elle, tait, concubine, femme"
1920s,17,12,9,2763,286,0.004343105320304018,0.04195804195804196,"chinese law, witchcraft, penalty, law practice, offence, infanticide"
1920s,18,41,9,2763,220,0.014838943177705392,0.18636363636363637,"family law, law chinese, exogamy, patria, marry, contract"
1920s,19,90,15,2763,274,0.03257328990228013,0.3284671532846715,"migration, migrations, south america, tibetans, philippines, lamaism"
1920s,20,135,24,2763,299,0.048859934853420196,0.451505016722408,"teachings, chu hsi, meh, chai, human nature, confucianists"
1920s,21,82,23,2763,305,0.029677886355410785,0.26885245901639343,"thou, thy, hell, sins, creator, yima"
1920s,23,168,13,2763,240,0.06080347448425624,0.7,"mohammed, prophet, moslem, moslems, islam, koran"
1920s,24,11,6,2763,132,0.003981179876945349,0.08333333333333333,"kabaran, iii iii, yukan, tze, heen, mun"
1920s,25,2,2,2763,129,0.0007238508867173362,0.015503875968992248,"magnetic, magnetism, terrestrial, terrestrial magnetism, periodical, hemisphere"
1920s,26,26,11,2763,197,0.009410061527325372,0.1319796954314721,"vols, bithe, road shanghai, manchu chinese, vide wylie, bithe vols"
1920s,27,47,12,2763,145,0.017010495837857402,0.32413793103448274,"eunuchs, great officer, mencius reformers, reformers china, reformers, hospital"
1920s,28,26,7,2763,159,0.009410061527325372,0.16352201257861634,"savages, garments, women wear, men wear, taiga, waist"
1920s,29,55,9,2763,106,0.019905899384726745,0.5188679245283019,"vegetation, agricole, carte, sahara, carte agricole, grazing"
1920s,30,98,5,2763,115,0.03546869344914948,0.8521739130434782,"tungus, goldi, northern tungus, reindeer, amur, shamanism"
1920s,32,18,3,2763,113,0.006514657980456026,0.1592920353982301,"airs, drama, actor, musical instruments, actors, chinese respecting"
1930s,0,89,5,357,2189,0.24929971988795518,0.040657834627683874,"cochin, tab, chinensis, folio, sinensis, var"
1930s,1,8,4,357,1664,0.022408963585434174,0.004807692307692308,"coal, limestone, mile, left bank, right bank, gorge"
1930s,2,20,3,357,1225,0.056022408963585436,0.0163265306122449,"altar, marble, pillars, pagodas, terrace, architecture"
1930s,3,18,2,357,868,0.05042016806722689,0.020737327188940093,"treaty, garnier, tong-king, treaties, commissioners, kweiliang"
1930s,4,7,4,357,792,0.0196078431372549,0.008838383838383838,"kwo, rebels, eldest son, eunuch, an-shih, wang an-shih"
1930s,5,4,1,357,315,0.011204481792717087,0.012698412698412698,"aug, feb, mar, nov dec, jan feb, jan"
1930s,7,22,4,357,452,0.06162464985994398,0.048672566371681415,"wares, pottery, bronzes, porcelains, painting, chinese art"
1930s,9,32,7,357,597,0.0896358543417367,0.05360134003350084,"destiny, ultimate, taoism, immortality, holy men, immaterial"
1930s,10,22,7,357,562,0.06162464985994398,0.03914590747330961,"road shanghai, honorary, branch asiatic, election, hon, society's"
1930s,11,1,1,357,310,0.0028011204481792717,0.0032258064516129032,"great drought, tls, likin, land-tax, taels year, hkiang"
1930s,12,35,6,357,400,0.09803921568627451,0.0875,"classifier, tones, shuo, corean, vowels, ideographic"
1930s,14,19,5,357,324,0.05322128851540616,0.05864197530864197,"cycle, lunar, solar, eclipses, jupiter, equinox"
1930s,15,4,2,357,197,0.011204481792717087,0.02030456852791878,"temperature, eastern asia, vapour, latitude, spring summer, celsius"
1930s,16,2,1,357,333,0.0056022408963585435,0.006006006006006006,"tai-y, fut, elle, tait, concubine, femme"
1930s,19,29,2,357,274,0.08123249299719888,0.10583941605839416,"migration, migrations, south america, tibetans, philippines, lamaism"
1930s,20,13,5,357,299,0.036414565826330535,0.043478260869565216,"teachings, chu hsi, meh, chai, human nature, confucianists"
1930s,21,8,4,357,305,0.022408963585434174,0.02622950819672131,"thou, thy, hell, sins, creator, yima"
1930s,24,5,2,357,132,0.014005602240896359,0.03787878787878788,"kabaran, iii iii, yukan, tze, heen, mun"
1930s,25,1,1,357,129,0.0028011204481792717,0.007751937984496124,"magnetic, magnetism, terrestrial, terrestrial magnetism, periodical, hemisphere"
1930s,26,4,2,357,197,0.011204481792717087,0.02030456852791878,"vols, bithe, road shanghai, manchu chinese, vide wylie, bithe vols"
1930s,27,8,2,357,145,0.022408963585434174,0.05517241379310345,"eunuchs, great officer, mencius reformers, reformers china, reformers, hospital"
1930s,29,4,3,357,106,0.011204481792717087,0.03773584905660377,"vegetation, agricole, carte, sahara, carte agricole, grazing"
1930s,30,2,1,357,115,0.0056022408963585435,0.017391304347826087,"tungus, goldi, northern tungus, reindeer, amur, shamanism"
1940s,0,23,1,40,2189,0.575,0.010507080858839652,"cochin, tab, chinensis, folio, sinensis, var"
1940s,1,4,1,40,1664,0.1,0.002403846153846154,"coal, limestone, mile, left bank, right bank, gorge"
1940s,2,6,1,40,1225,0.15,0.004897959183673469,"altar, marble, pillars, pagodas, terrace, architecture"
1940s,4,1,1,40,792,0.025,0.0012626262626262627,"kwo, rebels, eldest son, eunuch, an-shih, wang an-shih"
1940s,8,1,1,40,535,0.025,0.001869158878504673,"tom, western asia, central western, mohammedan, medieval geography, history central"
1940s,10,1,1,40,562,0.025,0.0017793594306049821,"road shanghai, honorary, branch asiatic, election, hon, society's"
1940s,29,2,1,40,106,0.05,0.018867924528301886,"vegetation, agricole, carte, sahara, carte agricole, grazing"
1940s,31,2,1,40,226,0.05,0.008849557522123894,"l'on, leurs, ses, fait, guild, quelques"
