"from","to","author","subject_l2","subject_l1","master_id","title","year_start","year_end","time_window","subject_weight","subject_raw"
"A_1","S_1","Edkins, J.","Buddhism","Religion and Philosophy","MASTER_00001","A Buddhist Shastra , Translated from the Chinese",1858,1858,"1858-1867",1,"Buddhism"
"A_2","S_2","Wylie, A.","Numismatics","Arts and Archaeology","MASTER_00002","Coins of the Ta - ts'ing or present dynasty of China *",1858,1858,"1858-1867",1,"coinage"
"A_3","S_3","Macgowan, D. J.","Ethnology","Anthropology and Social Customs","MASTER_00003","Contribution to the ethnology of Eastern Asia",1858,1858,"1858-1867",0.5,"ethnology and anthropology"
"A_3","S_4","Macgowan, D. J.","Anthropology","Anthropology and Social Customs","MASTER_00003","Contribution to the ethnology of Eastern Asia",1858,1858,"1858-1867",0.5,"ethnology and anthropology"
"A_4","S_5","Nicolson, F. W.","Meteorology","Natural Sciences","MASTER_00004","On Cyclones , or the Law of Storms",1858,1858,"1858-1867",1,"meteorology"
"A_5","S_6","Foote, A. H.","Travel","Geography and Travel","MASTER_00005","Visit to Simoda and Hakodadi in Japan",1858,1858,"1858-1867",1,"travel and general descriptions"
"A_3","S_7","Macgowan, D. J.","Language and languages","Literature and Language","MASTER_00006","Chinese bibliography",1859,1859,"1858-1867",1,"literature and language"
"A_6","S_5","Shadwell, C. F. A.","Meteorology","Natural Sciences","MASTER_00007","Memorandum on the present state of some of the magnetic elements in china and palces adjacent",1859,1859,"1858-1867",1,"meteorology"
"A_7","S_8","Syle, E. W.","Music","Arts and Archaeology","MASTER_00008","On the Musical Notation of the Chinese",1859,1859,"1858-1867",1,"music"
"A_1","S_9","Edkins, J.","Philosophy","Religion and Philosophy","MASTER_00009","Notices of the character and writings of Meh tsi",1859,1859,"1858-1867",1,"philosophy"
"A_8","S_10","Ward, J.","Hydrology","Natural Sciences","MASTER_00010","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,1859,"1858-1867",1,"hydrology"
"A_9","S_11","Pompe van Meedervoort, J. L. C.","Education","Education","MASTER_00011","On the Study of the Natural Sciences in Japan",1859,1859,"1858-1867",1,"education"
"A_10","S_5","Fedorovitch, J.","Meteorology","Natural Sciences","MASTER_00012","Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,1859,"1858-1867",1,"meteorology"
"A_11","S_6","Williams, S. W.","Travel","Geography and Travel","MASTER_00013","Lecture on Japan",1859,1859,"1858-1867",1,"travel and general descriptions"
"A_12","S_6","Swinhoe, R.","Travel","Geography and Travel","MASTER_00014","Narrative of a visit to the island of Formosa",1859,1859,"1858-1867",1,"travel and general descriptions"
"A_12","S_12","Swinhoe, R.","Zoology","Natural Sciences","MASTER_00015","Notes on some new species of birds found on the island of Formosa",1859,1859,"1858-1867",1,"zoology"
"A_12","S_12","Swinhoe, R.","Zoology","Natural Sciences","MASTER_00016","The Small Chinese Lark",1859,1859,"1858-1867",1,"zoology"
"A_3","S_13","Macgowan, D. J.","Law","Politics, Government, and Law","MASTER_00017","On the Banishment of Criminals in China",1859,1859,"1858-1867",1,"law"
"A_13","S_14","Robertson, D. B.","Agriculture","Natural Sciences","MASTER_00018","Cotton in China",1859,1859,"1858-1867",0.333333333333333,"agriculture, industry and trade"
"A_13","S_15","Robertson, D. B.","Industries","Economy, Trade, and Technology","MASTER_00018","Cotton in China",1859,1859,"1858-1867",0.333333333333333,"agriculture, industry and trade"
"A_13","S_16","Robertson, D. B.","Commerce","Economy, Trade, and Technology","MASTER_00018","Cotton in China",1859,1859,"1858-1867",0.333333333333333,"agriculture, industry and trade"
"A_1","S_17","Edkins, J.","Mythology","Anthropology and Social Customs","MASTER_00020","A Sketch of the Tauist Mythology in its modern form",1859,1859,"1858-1867",1,"mythology"
