L1,rank,term,tfidf_score,raw_count,document_count,document_frequency
Natural Sciences,1,coal,0.7712188197922284,434,27,0.23684210526315788
Natural Sciences,2,species,0.7563284205833826,1506,61,0.5350877192982456
Natural Sciences,3,river,0.6791665418750082,1203,70,0.6140350877192983
Natural Sciences,4,feet,0.5805512365926285,924,69,0.6052631578947368
Natural Sciences,5,summer,0.5035661150864588,1166,60,0.5263157894736842
Natural Sciences,6,soochow,0.49910525503152064,145,8,0.07017543859649122
Natural Sciences,7,miles,0.44298430485063117,637,56,0.49122807017543857
Natural Sciences,8,leaves,0.4402179905283326,1343,44,0.38596491228070173
Natural Sciences,9,black,0.4355849270997207,508,59,0.5175438596491229
Natural Sciences,10,flowers,0.4280997978474483,920,21,0.18421052631578946
Natural Sciences,11,birds,0.42800516733179067,547,31,0.2719298245614035
Natural Sciences,12,island,0.419616199580434,715,50,0.43859649122807015
Natural Sciences,13,genus,0.4130508146911187,449,30,0.2631578947368421
Natural Sciences,14,sea,0.4111364995339389,954,63,0.5526315789473685
Natural Sciences,15,lour,0.40987196772911744,2442,6,0.05263157894736842
Natural Sciences,16,drought,0.4008913334601325,417,13,0.11403508771929824
Natural Sciences,17,limestone,0.3935662652153685,172,17,0.14912280701754385
Natural Sciences,18,linn,0.38231356706557207,1881,13,0.11403508771929824
Natural Sciences,19,specimens,0.38136841785674475,396,49,0.4298245614035088
Natural Sciences,20,shanghai,0.3746245848056119,586,70,0.6140350877192983
Natural Sciences,21,plants,0.36340281290775694,1158,49,0.4298245614035088
Natural Sciences,22,white,0.3589349786445208,844,72,0.631578947368421
Natural Sciences,23,sun,0.3581320246080153,421,53,0.4649122807017544
Natural Sciences,24,spring,0.35062158777238606,759,54,0.47368421052631576
Natural Sciences,25,chihli,0.3477175117945768,488,22,0.19298245614035087
Arts and Archaeology,1,coins,0.4860830995115997,542,14,0.23728813559322035
Arts and Archaeology,2,cash,0.4704031855795644,751,17,0.288135593220339
Arts and Archaeology,3,art,0.38358377704462243,478,37,0.6271186440677966
Arts and Archaeology,4,reverse,0.37176158377562035,555,10,0.1694915254237288
Arts and Archaeology,5,bottles,0.31306095785673593,99,2,0.03389830508474576
Arts and Archaeology,6,silver,0.2729689160791453,567,20,0.3389830508474576
Arts and Archaeology,7,characters,0.26684194398958827,419,40,0.6779661016949152
Arts and Archaeology,8,mint,0.252813734525655,319,10,0.1694915254237288
Arts and Archaeology,9,music,0.2494922852135889,366,19,0.3220338983050847
Arts and Archaeology,10,copper,0.2417503100337254,483,20,0.3389830508474576
Arts and Archaeology,11,bronze,0.2395925195657688,226,27,0.4576271186440678
Arts and Archaeology,12,stone,0.2376861038834006,326,35,0.5932203389830508
Arts and Archaeology,13,rock,0.22607285441028369,73,16,0.2711864406779661
Arts and Archaeology,14,coinage,0.226040390003467,193,11,0.1864406779661017
Arts and Archaeology,15,king,0.2256496511748859,490,31,0.5254237288135594
Arts and Archaeology,16,coin,0.22305644466671432,306,11,0.1864406779661017
Arts and Archaeology,17,corea,0.21949683781790497,104,4,0.06779661016949153
Arts and Archaeology,18,tombs,0.21928448269889955,85,10,0.1694915254237288
Arts and Archaeology,19,obverse,0.21118122515564758,380,8,0.13559322033898305
Arts and Archaeology,20,currency,0.20471676532625213,534,11,0.1864406779661017
Arts and Archaeology,21,hsien,0.20369629428305094,216,26,0.4406779661016949
Arts and Archaeology,22,inscriptions,0.19977227767353192,193,33,0.559322033898305
Arts and Archaeology,23,porcelain,0.19788545231511764,262,18,0.3050847457627119
Arts and Archaeology,24,written,0.1914731812991595,263,43,0.7288135593220338
Arts and Archaeology,25,issued,0.18070284252913624,260,16,0.2711864406779661
Anthropology and Social Customs,1,king,0.4786053900195879,735,45,0.5921052631578947
Anthropology and Social Customs,2,char,0.41299993348531655,37,2,0.02631578947368421
