model,K,anchor_strength,topic_id,rank,word,weight
corex_unanchored,10,,0,1,death,0.26464905739380795
corex_unanchored,10,,0,2,return,0.24742887893117432
corex_unanchored,10,,0,3,evil,0.22337181068644202
corex_unanchored,10,,0,4,away,0.21971739513876848
corex_unanchored,10,,0,5,home,0.21587427403670534
corex_unanchored,10,,0,6,went,0.212986266534876
corex_unanchored,10,,0,7,gave,0.20814722906665878
corex_unanchored,10,,0,8,son,0.20796933161507258
corex_unanchored,10,,0,9,took,0.20570552680640503
corex_unanchored,10,,0,10,asked,0.19862931852952048
corex_unanchored,10,,0,11,story,0.198294475635015
corex_unanchored,10,,0,12,told,0.19823843548654285
corex_unanchored,10,,0,13,man,0.19734217836892337
corex_unanchored,10,,0,14,women,0.1969127745967869
corex_unanchored,10,,0,15,power,0.19540330830216818
corex_unanchored,10,,0,16,tell,0.19148114011647915
corex_unanchored,10,,0,17,come,0.19145564299260104
corex_unanchored,10,,0,18,never,0.19141045958953568
corex_unanchored,10,,0,19,peace,0.19106922380350722
corex_unanchored,10,,0,20,bring,0.19054504403320727
corex_unanchored,10,,1,1,things,0.23674202353014784
corex_unanchored,10,,1,2,thought,0.2164755317759312
corex_unanchored,10,,1,3,world,0.21465838588459946
corex_unanchored,10,,1,4,lived,0.21345425005079438
corex_unanchored,10,,1,5,go,0.19418313912356683
corex_unanchored,10,,1,6,says,0.19188596676439057
corex_unanchored,10,,1,7,rule,0.18814414169004479
corex_unanchored,10,,1,8,understand,0.18758760487930365
corex_unanchored,10,,1,9,idea,0.18233424651694974
corex_unanchored,10,,1,10,life,0.1810119772280258
corex_unanchored,10,,1,11,know,0.17766038009830115
corex_unanchored,10,,1,12,ideas,0.17674421708387894
corex_unanchored,10,,1,13,ancient,0.1745407969027966
corex_unanchored,10,,1,14,find,0.17182392308139377
corex_unanchored,10,,1,15,spirit,0.17082515281611926
corex_unanchored,10,,1,16,daily,0.1648436463823444
corex_unanchored,10,,1,17,saying,0.16457552257186003
corex_unanchored,10,,1,18,really,0.16080036052923263
corex_unanchored,10,,1,19,spirits,0.15654968807382771
corex_unanchored,10,,1,20,thing,0.15379553232436372
corex_unanchored,10,,2,1,passed,0.20051713423067252
corex_unanchored,10,,2,2,died,0.19463876950084602
corex_unanchored,10,,2,3,carried,0.19193824572221196
corex_unanchored,10,,2,4,account,0.18949529963842454
corex_unanchored,10,,2,5,arrived,0.18836902143959505
