L1,rank,term,tfidf_score
Anthropology and Social Customs,1,chinese,0.790379537202327
Anthropology and Social Customs,2,one,0.6429217207586917
Anthropology and Social Customs,3,china,0.3798430799491272
Anthropology and Social Customs,4,king,0.37317168252145055
Anthropology and Social Customs,5,two,0.32584742868837224
Anthropology and Social Customs,6,may,0.3222511444077405
Anthropology and Social Customs,7,char,0.29454348992744783
Anthropology and Social Customs,8,men,0.2741139641322069
Anthropology and Social Customs,9,time,0.2602134234529527
Anthropology and Social Customs,10,first,0.251202214961598
Anthropology and Social Customs,11,also,0.245623296971112
Anthropology and Social Customs,12,name,0.24416164900999215
Anthropology and Social Customs,13,game,0.24046140933406523
Anthropology and Social Customs,14,great,0.23847185996207898
Anthropology and Social Customs,15,would,0.22862150238901852
Anthropology and Social Customs,16,tungus,0.22741511801377148
Anthropology and Social Customs,17,called,0.22153695977570648
Anthropology and Social Customs,18,son,0.22105588729139047
Anthropology and Social Customs,19,man,0.21141710312844775
Anthropology and Social Customs,20,year,0.20616262632502472
Anthropology and Social Customs,21,dynasty,0.2029195258812543
Anthropology and Social Customs,22,people,0.1991242415004347
Anthropology and Social Customs,23,made,0.19335806134722103
Anthropology and Social Customs,24,black,0.19156944868311573
Anthropology and Social Customs,25,day,0.18928486890036714
Anthropology and Social Customs,26,years,0.18549942436587055
Anthropology and Social Customs,27,ancient,0.18509395508259643
Anthropology and Social Customs,28,three,0.1809366662060615
Anthropology and Social Customs,29,must,0.18033448199803132
Anthropology and Social Customs,30,found,0.17812573024934975
Arts and Archaeology,1,chinese,0.6447608865977694
Arts and Archaeology,2,one,0.4228376658488757
Arts and Archaeology,3,coins,0.36146229485712544
Arts and Archaeology,4,cash,0.35624648483086474
Arts and Archaeology,5,china,0.3271167391201419
Arts and Archaeology,6,reverse,0.2940544041103941
Arts and Archaeology,7,art,0.2679447185984262
Arts and Archaeology,8,may,0.24544660648664948
Arts and Archaeology,9,two,0.23969683185458213
Arts and Archaeology,10,dynasty,0.23363707962447416
Arts and Archaeology,11,bottles,0.21114571153331116
