model,K,anchor_strength,topic_id,rank,word,weight
corex_anchored,20,3.0,4,17,la,0.1261448311911909
corex_anchored,20,3.0,4,18,paris,0.1234901462713343
corex_anchored,20,3.0,4,19,chinois,0.12222165258235053
corex_anchored,20,3.0,4,20,de,0.1199942500185363
corex_anchored,20,3.0,5,1,thick,0.22005302352897815
corex_anchored,20,3.0,5,2,red,0.21430235677438975
corex_anchored,20,3.0,5,3,flat,0.19260599866688732
corex_anchored,20,3.0,5,4,sides,0.19106029769283478
corex_anchored,20,3.0,5,5,fine,0.1900758299459579
corex_anchored,20,3.0,5,6,top,0.17808889046967585
corex_anchored,20,3.0,5,7,white,0.1776125932157639
corex_anchored,20,3.0,5,8,upper,0.17318520454304126
corex_anchored,20,3.0,5,9,covered,0.16929602047591757
corex_anchored,20,3.0,5,10,green,0.16354805934859562
corex_anchored,20,3.0,5,11,brown,0.1582795754765696
corex_anchored,20,3.0,5,12,surface,0.15825590594294014
corex_anchored,20,3.0,5,13,blue,0.15696825359523608
corex_anchored,20,3.0,5,14,side,0.15612470776452175
corex_anchored,20,3.0,5,15,yellow,0.15024045545262882
corex_anchored,20,3.0,5,16,shape,0.14994702294852985
corex_anchored,20,3.0,5,17,tail,0.1495373251761849
corex_anchored,20,3.0,5,18,grass,0.1494174456321974
corex_anchored,20,3.0,5,19,bottom,0.14732754197238312
corex_anchored,20,3.0,5,20,size,0.1426073629857933
corex_anchored,20,3.0,6,1,feet,0.23419464748288304
corex_anchored,20,3.0,6,2,water,0.22165789667443653
corex_anchored,20,3.0,6,3,boats,0.18893349256825076
corex_anchored,20,3.0,6,4,near,0.1883156016566983
corex_anchored,20,3.0,6,5,dry,0.18051597465777725
corex_anchored,20,3.0,6,6,low,0.17623436110065094
corex_anchored,20,3.0,6,7,mud,0.17132111288031648
corex_anchored,20,3.0,6,8,south,0.16726214071425555
corex_anchored,20,3.0,6,9,miles,0.16563699593001519
corex_anchored,20,3.0,6,10,river,0.16350587696136082
corex_anchored,20,3.0,6,11,round,0.16245566312402332
corex_anchored,20,3.0,6,12,places,0.1613354271170831
corex_anchored,20,3.0,6,13,rice,0.155062647297174
corex_anchored,20,3.0,6,14,salt,0.15184587578808553
corex_anchored,20,3.0,6,15,cut,0.15171244433301562
corex_anchored,20,3.0,6,16,reach,0.15007943452843514
corex_anchored,20,3.0,6,17,bank,0.1499887389549558
corex_anchored,20,3.0,6,18,tea,0.14995590595800762
corex_anchored,20,3.0,6,19,sea,0.14551977347345263
corex_anchored,20,3.0,6,20,iron,0.14461175114540142
corex_anchored,20,3.0,7,1,chu,0.28144393497596704
corex_anchored,20,3.0,7,2,yu,0.2747910316147429
corex_anchored,20,3.0,7,3,yen,0.26891580714815927
corex_anchored,20,3.0,7,4,ti,0.26642835643851015
corex_anchored,20,3.0,7,5,wu,0.24924741058116623
corex_anchored,20,3.0,7,6,chen,0.229916740397067
corex_anchored,20,3.0,7,7,ts,0.22481087343849782
corex_anchored,20,3.0,7,8,ien,0.2231654075267503
corex_anchored,20,3.0,7,9,wang,0.2131857259035429
corex_anchored,20,3.0,7,10,shu,0.2109173703812749
corex_anchored,20,3.0,7,11,chang,0.20514271745256535
corex_anchored,20,3.0,7,12,tien,0.20030248472407258
corex_anchored,20,3.0,7,13,wen,0.19974085379088424
corex_anchored,20,3.0,7,14,ku,0.19924356574743163
corex_anchored,20,3.0,7,15,chung,0.19800210722573758
corex_anchored,20,3.0,7,16,ho,0.1964878343495136
corex_anchored,20,3.0,7,17,kung,0.19498610661581406
corex_anchored,20,3.0,7,18,kao,0.1939920328635813
corex_anchored,20,3.0,7,19,shun,0.19007620716237056
corex_anchored,20,3.0,7,20,jen,0.1885759535764105
corex_anchored,20,3.0,8,1,even,0.21074569824278172
corex_anchored,20,3.0,8,2,words,0.20169946548410067
corex_anchored,20,3.0,8,3,shall,0.18871280376004618
corex_anchored,20,3.0,8,4,whether,0.1851182695621002
corex_anchored,20,3.0,8,5,always,0.16685354322102547
corex_anchored,20,3.0,8,6,consider,0.16675714126395141
corex_anchored,20,3.0,8,7,subject,0.16381178078315278
corex_anchored,20,3.0,8,8,already,0.15906485275180254
corex_anchored,20,3.0,8,9,know,0.1585828930787922
corex_anchored,20,3.0,8,10,respect,0.15784988280536627
corex_anchored,20,3.0,8,11,question,0.1556814642336145
corex_anchored,20,3.0,8,12,say,0.1553083836236256
corex_anchored,20,3.0,8,13,able,0.1526748800669011
corex_anchored,20,3.0,8,14,possess,0.1507705519201266
corex_anchored,20,3.0,8,15,really,0.14850196527350057
corex_anchored,20,3.0,8,16,certain,0.14762451286694184
corex_anchored,20,3.0,8,17,new,0.14720082983419552
corex_anchored,20,3.0,8,18,believe,0.14669534103584647
corex_anchored,20,3.0,8,19,better,0.14620562721136676
corex_anchored,20,3.0,8,20,general,0.1454863716991634
corex_anchored,20,3.0,9,1,death,0.25988660507829203
corex_anchored,20,3.0,9,2,father,0.2270273914597638
corex_anchored,20,3.0,9,3,received,0.2178085226724909
corex_anchored,20,3.0,9,4,died,0.20832394962553247
corex_anchored,20,3.0,9,5,court,0.19770452753837942
corex_anchored,20,3.0,9,6,act,0.19467217096839595
corex_anchored,20,3.0,9,7,military,0.1907005397296324
corex_anchored,20,3.0,9,8,law,0.18863109446866544
corex_anchored,20,3.0,9,9,office,0.1872964525003929
corex_anchored,20,3.0,9,10,friends,0.17900205598414437
corex_anchored,20,3.0,9,11,committed,0.17697672495885744
corex_anchored,20,3.0,9,12,official,0.1740166271259866
corex_anchored,20,3.0,9,13,brother,0.17251650002543661
corex_anchored,20,3.0,9,14,conduct,0.16443339036079418
