model,K,anchor_strength,topic_id,rank,word,weight
corex_unanchored,15,,0,1,death,0.26393223649638314
corex_unanchored,15,,0,2,return,0.2607237397738192
corex_unanchored,15,,0,3,went,0.25652616101431114
corex_unanchored,15,,0,4,took,0.2493736259312857
corex_unanchored,15,,0,5,gave,0.24432708168511436
corex_unanchored,15,,0,6,died,0.2405011127744343
corex_unanchored,15,,0,7,told,0.2216087430271746
corex_unanchored,15,,0,8,set,0.22042587415492182
corex_unanchored,15,,0,9,peace,0.21181579067780298
corex_unanchored,15,,0,10,court,0.21008178377682013
corex_unanchored,15,,0,11,son,0.20803526997118232
corex_unanchored,15,,0,12,emperor,0.2018457567624043
corex_unanchored,15,,0,13,asked,0.20056856072876972
corex_unanchored,15,,0,14,affairs,0.19894015836742546
corex_unanchored,15,,0,15,sent,0.19851333136763577
corex_unanchored,15,,0,16,brother,0.1973235338298923
corex_unanchored,15,,0,17,received,0.1958611973365763
corex_unanchored,15,,0,18,hands,0.1910568023448187
corex_unanchored,15,,0,19,young,0.18956274192945677
corex_unanchored,15,,0,20,soldiers,0.1839316295623658
corex_unanchored,15,,1,1,red,0.2237925054408842
corex_unanchored,15,,1,2,thick,0.19950097073265638
corex_unanchored,15,,1,3,fine,0.19291753118105753
corex_unanchored,15,,1,4,sides,0.1844087482127254
corex_unanchored,15,,1,5,wood,0.18013359220495545
corex_unanchored,15,,1,6,white,0.17471311519847438
corex_unanchored,15,,1,7,low,0.16979919716593178
corex_unanchored,15,,1,8,yellow,0.16881435679996698
corex_unanchored,15,,1,9,green,0.16682211060849989
corex_unanchored,15,,1,10,flat,0.16510419210982014
corex_unanchored,15,,1,11,blue,0.16499287220869568
corex_unanchored,15,,1,12,foot,0.1579808532488955
corex_unanchored,15,,1,13,grass,0.1560722184225088
corex_unanchored,15,,1,14,covered,0.15111215083962531
corex_unanchored,15,,1,15,dry,0.14934727715133467
corex_unanchored,15,,1,16,heavy,0.1476176031842884
corex_unanchored,15,,1,17,top,0.1472179969006936
corex_unanchored,15,,1,18,dark,0.14570851095135184
