master_id,year,volume,author,page,page_original,content_page_number,subject,title,year_start,year_end,Article?,In PDF?,notes,url,article_id,source,In Index?,need to check subject?,toc_source_pdf
MASTER_00031,1860,OS 2 Part 1,"Edkins, J.",1,,,Confucianism,A Sketch of the Life of Confucius,1860,1860,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00028,1860,OS 2 Part 1,"John, G.",20,,,Philosophy,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,1860,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00027,1860,OS 2 Part 1,"Pompe van Meedervoort, J. L. C.",85,,,Literature,Dissection of a Japanese criminal,1860,1860,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00029,1860,OS 2 Part 1,"Shock, W. H.",92,,,Geology,"Notes on the mineral resources of Japan, etc.",1860,1860,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00030,1860,OS 2 Part 1,Editorial Committee,353,,,Contemporary History,"Record of occurrences, 1860",1860,1860,n,,,,,,,,v.1-2 1858-60.pdf
MASTER_00032,1860,OS 2 Part 1,"Shadwell, C. F. A.",95,102-104,,Meteorology,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,1860,,,,,I_1859_07,source_a,,,v.1-2 1858-60.pdf
MASTER_00033,1860,OS 2 Part 1,"Courtney, C. F. A.",96,,,Meteorology,Temperature of Hakodadi,1860,1860,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00034,1860,OS 2 Part 1,Editorial Committee,97,,,Meteorology,Winds and weather at Chefoo,1860,1860,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00035,1864,NS 1,"Lindau, R.",1,46034,,Travel,"Notes on the city of Yedo, the capital of Japan *",1864,1864,,,,,,,,,v.1-2 1864-1865.pdf
MASTER_00036,1864,NS 1,"Henderson, J.",13,13-28,,Meteorology,Notes on some of the physical causes which modify climate,1864,1864,,,,,,,,,v.1-3 1864-1866.pdf
MASTER_00037,1864,NS 1,"Dickson, W.",13,29-42,,Travel,"Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,1864,,,"Hankow, Hankou, 汉口",,I_1864_03,source_a,,,v.1-2 1864-1865.pdf
MASTER_00038,1864,NS 1,"Wylie, A.",43,43-60,,Travel,"Overland journey from St. Petersburg to Pekin, The",1864,1864,,,"Pekin, 北京",,I_1864_04,source_a,,,v.1-3 1864-1866.pdf
MASTER_00039,1864,NS 1,"Henderson, J.",29,61-105,,Medicine,"Medicine and medical practice of the Chinese, The",1864,1864,,,,,,,,,v.1-2 1864-1865.pdf
MASTER_00040,1864,NS 1,"Canny, J. M.",61,106-141,,Travel,The Sea-board of Russian Manchuria,1864,1864,,,,,I_1864_06,source_a,,,v.1-2 1864-1865.pdf
MASTER_00041,1864,NS 1,"Jamieson, R. A.",175,142-162,,Contemporary History,"Retrospect of events in the north of China, 1861-1864",1864,1864,n,,,,I_1864_07,source_a,,,v.1-2 1864-1865.pdf
MASTER_00042,1864,NS 1,"Wylie, A.",163,163-166,,Antiquities,"Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,1864,,n,,,,,,,v.1-3 1864-1866.pdf
MASTER_00043,1864,NS 1,Edwards,166,166-169,,Hydrology,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,1864,,n,,,,,,,v.1-2 1864-1865.pdf
MASTER_00044,1864,NS 1,"Wilds, E.",169,169-172,,Travel,Report on the appearance of the Rugged Islands,1864,1864,,n,,,,,,,v.1-2 1864-1865.pdf
MASTER_00045,1864,NS 1,Hollingworth and Piry,172,172-173,,Meteorology,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,1864,,n,,,,,,,v.1-3 1864-1866.pdf
MASTER_00046,1864,NS 1,"Gamble, W.",174,174,,Literature,Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,1864,,n,,,,,,,v.1-2 1864-1865.pdf
MASTER_00047,1865,NS 2,Lamprey,1,46040,,Geology,Notes on the geology of the Great Plain *,1865,1865,,,,,II_1865_01,source_a,,,v.1-2 1864-1865.pdf
MASTER_00048,1865,NS 2,"Kingsmill, T. W.",39,19-34,,Geology,A Sketch of the Geology of Quang -tung Province,1865,1865,,,"Quang-Tang Province, Currently Guangdong Province, 广东省",,,,,,v.1-2 1864-1865.pdf
MASTER_00049,1865,NS 2,"Swinhoe, R.",39,35-50,,Zoology,Birds and beasts of Formosa,1865,1865,,,"Formosa, the old name of Taiwan, 台湾",,,,,,v.1-3 1864-1866.pdf
MASTER_00050,1865,NS 2,"Brown, S. R.",53,51-78,,Christianity,Annals of the Western Ocean,1865,1865,,,,,II_1865_04,source_a,,,v.1-3 1864-1866.pdf
MASTER_00051,1865,NS 2,"Collins, V. D.",53,79-90,,Botany,"Sorgo, or Northern Chinese sugar cane",1865,1865,,,,,,,,,v.1-3 1864-1866.pdf
MASTER_00052,1865,NS 2,"Edkins, J.",99,91-102,,Travel,A Visit to the Agricultural Mongols,1865,1865,,,,,,,,,v.1-3 1864-1866.pdf
MASTER_00054,1864,NS 2,Bastion,125,113-120,,Archaeology,The Remains of Ancient Kambodia,1865,1865,,,"Cambodia, 柬埔寨",,II_1865_08,source_a,,,v.1-3 1864-1866.pdf
MASTER_00055,1864,NS 2,"Kingsmill, T. W.",175,121-150,,Contemporary History,Retrospect of events in China and Japan,1865,1864,n,,,,,,,,v.1-2 1864-1865.pdf
MASTER_00053,1864,NS 2,"Jamieson, R. A.",99,103-112,,Literature,The Hieroglyphic Character of the Chinese written Lan. 113,1864,1864,,n,,,II_1865_07,source_a,,,v.1-3 1864-1866.pdf
MASTER_00056,1864,NS 2,"Jarvie, R.",151,151-153,,Agriculture,Respecting China grass,1864,1864,,n,,,,,,,v.1-3 1864-1866.pdf
MASTER_00057,1864,NS 2,"Butcher, C. H.",153,153-155,,Manners and customs,Notes on the funeral rites performed at the obsequies of Takee,1864,1864,,n,,,,,,,v.1-3 1864-1866.pdf
MASTER_00058,1864,NS 2,"Stronach, W. T.",155,155-156,,Law,"Traces of the Judicium dei, or ordeal in Chinese law",1864,1864,,n,,,,,,,v.1-2 1864-1865.pdf
MASTER_00059,1864,NS 2,Lamprey,156,156-157,,Chemistry,"Remarks on the "" water we use "" in Shanghai",1864,1864,,n,,,,,,,v.1-2 1864-1865.pdf
MASTER_00060,1864,NS 2,"Jamieson, R. A.",157,157-160,,Buddhism,Remarks upon exhibiting a To - lo Pall to the Society,1864,1864,,n,,,,,,,v.1-3 1864-1866.pdf
MASTER_00061,1864,NS 3,"Martin, W. A. P.",,,,Travel,"Account of an overland journey from Peking to Shanghai, February and March 1865",1864,1864,,n,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079402040&seq=414,_1866_02,source_b,,,v.1-3 1864-1866.pdf
MASTER_00062,1865,NS 3,"Martin, W. A. P.",,,,Travel,"Account of an overland journey from Peking to Shanghai, February and March 1866",1865,1865,,n,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079402040&seq=414,_1866_02,source_b,,,v.1-3 1864-1866.pdf
MASTER_00065,1865,NS 3,"Williamson, A.",1,,,Travel,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c",1866,1866,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079402040&seq=389,_1866_01,source_b,,,v.1-3 1864-1866.pdf
,,,,26,,,Travel,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",1866,1866,,,,,,,,y,
,,,,40,,,History,An account of a translation of a Japanese Manuscript,1866,1866,,,,,,,,y,
MASTER_00064,1865,NS 3,"Keer, J. G.",63,63-70,,Architecture,Description of the Great Examination Hall at Canton,1866,1866,,n,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079402040&seq=451,_1866_04,source_b,,,v.1-2 1864-1865.pdf
MASTER_00068,1866,NS 3,"Wylie, A.",71,71-80,,Astronomy,Notes on the opinions of the Chinese with regard to eclipses,1866,1866,,,,https://babel.hathitrust.org/cgi/pt?id=coo.31924079402040&seq=461,_1866_05,source_b,,,v.1-3 1864-1866.pdf
MASTER_00073,1866,NS 3,"McCartee, D. B.",75,,,Zoology,On some Wild Silkworms of China ,1866,1866,,,,,,,,,v.1-3 1864-1866.pdf
MASTER_00069,1866,NS 3,"Williams, S. W.",81,,,History,Political intercourse between China and Lewchew,1866,1866,,,,,,,,,v.1-3 1864-1866.pdf
MASTER_00067,1865,NS 3,"Kingsmill, T. W.",94,,,Geology,Notes on some outlying coal-fields in the south-eastern provinces of China,1866,1866,,,,,,,,,v.1-3 1864-1866.pdf
MASTER_00072,1866,NS 3,"Hollingworth, H. G.",107,,,Manners and customs,"Short sketch of the Chinese game of chess, Seang - kh'e, A *",1866,1866,,,,,,,,,v.1-3 1864-1866.pdf
MASTER_00071,1866,NS 3,"Butcher, C. H.",113,,,Contemporary History,"Retrospect of events in the north of China, 1866",1866,1866,n,,,,,,,,v.1-3 1864-1866.pdf
MASTER_00074,1867,NS 4,"Bickmore, A. S.",1,46042,,Geology,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *",1867,1867,,,"Canton, Guangzhou, 广州; Kwang Tung, Guangdong Province, 广东省; Kwangsi, Guangxi Province, 广西; Hunan, 湖南; Hankow, Hankou, 汉口",,,,,,
MASTER_00075,1867,NS 4,"Gardener, C. T.",21,21-32,,Christianity,Trans. Of inscription on tablet at Hangkow recording the changing the T'ien Chu Tang (Roman Catholic Church) into the T'ien Hao Tung *,1867,1867,,,"Hangchow, Hangzhou, 杭州; tienchu tang, tian zhu tang, 天主堂; tien hao kung, tian hou gong天后宫",,,,,,
