time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Natural Sciences,Astronomy,phenomena,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Astronomy,neighborhood,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Astronomy,thirteen,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,ethics,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,special,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,reference,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,nature,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,dissection,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,japanese,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"History, Modern (20th century)",record,1,1,0.05555555555555555,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"History, Modern (20th century)",occurrences,1,1,0.05555555555555555,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,supplemental,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,places,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,temperature,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,hakodadi,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,winds,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,yedo,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,causes,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,modify,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,petersburg,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,pekin,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Medicine,medical,1,1,0.3333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,sea-board,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Antiquities,impressions,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Antiquities,lapidary,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Antiquities,inscription,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Antiquities,keu,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Antiquities,yung,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Antiquities,near,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,head,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,appearance,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,rugged,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,barometric,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,thermometric,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,september,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,view,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,determining,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,height,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,lew,1,1,0.024390243902439025,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,specimen,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,font,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,movable,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,type,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,belonging,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,presbyterian,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,quang,1,1,0.03333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,beasts,1,1,0.07142857142857142,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,annals,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,ocean,1,1,0.041666666666666664,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,sorgo,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,sugar,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,cane,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Arts and Archaeology,Archaeology,kambodia,1,1,0.3333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,hieroglyphic,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Literature,written,1,1,0.0625,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Agriculture,grass,1,1,0.05263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,performed,1,1,0.09090909090909091,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,obsequies,1,1,0.09090909090909091,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Manners and customs,takee,1,1,0.09090909090909091,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,traces,1,1,0.14285714285714285,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,judicium,1,1,0.14285714285714285,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,dei,1,1,0.14285714285714285,2.6094379124341005,2.6094379124341005
1858-1867,"Politics, Government, and Law",Law,ordeal,1,1,0.14285714285714285,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Buddhism,exhibiting,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Buddhism,pall,1,1,0.25,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,foo,1,1,0.016666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,History,japanese,1,1,0.2,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,History,manuscript,1,1,0.2,2.6094379124341005,2.6094379124341005
