master_id,time_window,author_raw,title,year_start,term
MASTER_00020,1858-1867,"Edkins, J.",A Sketch of the Tauist Mythology in its modern form,1859,tauist
MASTER_00020,1858-1867,"Edkins, J.",A Sketch of the Tauist Mythology in its modern form,1859,mythology
MASTER_00020,1858-1867,"Edkins, J.",A Sketch of the Tauist Mythology in its modern form,1859,modern
MASTER_00020,1858-1867,"Edkins, J.",A Sketch of the Tauist Mythology in its modern form,1859,form
MASTER_00021,1858-1867,"Williams, S. W.",Narrative of the American Embassy to Peking,1859,narrative
MASTER_00021,1858-1867,"Williams, S. W.",Narrative of the American Embassy to Peking,1859,american
MASTER_00021,1858-1867,"Williams, S. W.",Narrative of the American Embassy to Peking,1859,embassy
MASTER_00021,1858-1867,"Williams, S. W.",Narrative of the American Embassy to Peking,1859,peking
MASTER_00022,1858-1867,"Bridgman, E. C.",Sketches of the Miau - tsze,1859,sketches
MASTER_00022,1858-1867,"Bridgman, E. C.",Sketches of the Miau - tsze,1859,miau
MASTER_00022,1858-1867,"Bridgman, E. C.",Sketches of the Miau - tsze,1859,tsze
MASTER_00023,1858-1867,"Edkins, J.",On the ancient mouths of Yangts<U+00EF> kiang,1860,ancient
MASTER_00023,1858-1867,"Edkins, J.",On the ancient mouths of Yangts<U+00EF> kiang,1860,mouths
MASTER_00023,1858-1867,"Edkins, J.",On the ancient mouths of Yangts<U+00EF> kiang,1860,yangts
MASTER_00023,1858-1867,"Edkins, J.",On the ancient mouths of Yangts<U+00EF> kiang,1860,kiang
MASTER_00024,1858-1867,"Macgowan, D. J.","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,cosmical
MASTER_00024,1858-1867,"Macgowan, D. J.","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,phenomena
MASTER_00024,1858-1867,"Macgowan, D. J.","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,observed
MASTER_00024,1858-1867,"Macgowan, D. J.","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,neighborhood
MASTER_00024,1858-1867,"Macgowan, D. J.","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,shanghai
MASTER_00024,1858-1867,"Macgowan, D. J.","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,past
MASTER_00024,1858-1867,"Macgowan, D. J.","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,thirteen
MASTER_00024,1858-1867,"Macgowan, D. J.","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,centuries
MASTER_00025,1858-1867,"Edkins, J.",A Sketch of the Life of Confucius,1860,sketch
MASTER_00025,1858-1867,"Edkins, J.",A Sketch of the Life of Confucius,1860,life
MASTER_00025,1858-1867,"Edkins, J.",A Sketch of the Life of Confucius,1860,confucius
MASTER_00026,1858-1867,"John, G.","The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,ethics
MASTER_00026,1858-1867,"John, G.","The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,special
MASTER_00026,1858-1867,"John, G.","The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,reference
MASTER_00026,1858-1867,"John, G.","The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,doctrine
MASTER_00026,1858-1867,"John, G.","The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,human
MASTER_00026,1858-1867,"John, G.","The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,nature
MASTER_00026,1858-1867,"John, G.","The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,sin
MASTER_00027,1858-1867,"Pompe van Meedervoort, J. L. C.",Dissection of a Japanese criminal,1860,dissection
MASTER_00027,1858-1867,"Pompe van Meedervoort, J. L. C.",Dissection of a Japanese criminal,1860,japanese
MASTER_00027,1858-1867,"Pompe van Meedervoort, J. L. C.",Dissection of a Japanese criminal,1860,criminal
MASTER_00028,1858-1867,"Shock, W. H.","Notes on the mineral resources of Japan, etc.",1860,mineral
MASTER_00028,1858-1867,"Shock, W. H.","Notes on the mineral resources of Japan, etc.",1860,resources
MASTER_00028,1858-1867,"Shock, W. H.","Notes on the mineral resources of Japan, etc.",1860,japan
MASTER_00028,1858-1867,"Shock, W. H.","Notes on the mineral resources of Japan, etc.",1860,etc
MASTER_00029,1858-1867,Editorial Committee,"Record of occurrences, 1860",1860,record
MASTER_00029,1858-1867,Editorial Committee,"Record of occurrences, 1860",1860,occurrences
MASTER_00030,1858-1867,"Shadwell, C. F. A.",Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,supplemental
MASTER_00030,1858-1867,"Shadwell, C. F. A.",Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,state
MASTER_00030,1858-1867,"Shadwell, C. F. A.",Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,magnetic
MASTER_00030,1858-1867,"Shadwell, C. F. A.",Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,elements
MASTER_00030,1858-1867,"Shadwell, C. F. A.",Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,places
MASTER_00030,1858-1867,"Shadwell, C. F. A.",Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,adjacent
MASTER_00031,1858-1867,"Courtney, C. F. A.",Temperature of Hakodadi,1860,temperature
MASTER_00031,1858-1867,"Courtney, C. F. A.",Temperature of Hakodadi,1860,hakodadi
MASTER_00032,1858-1867,Editorial Committee,Winds and weather at Chefoo,1860,winds
MASTER_00032,1858-1867,Editorial Committee,Winds and weather at Chefoo,1860,weather
MASTER_00032,1858-1867,Editorial Committee,Winds and weather at Chefoo,1860,chefoo
MASTER_00033,1858-1867,"Lindau, R.","Notes on the city of Yedo, the capital of Japan *",1864,city
MASTER_00033,1858-1867,"Lindau, R.","Notes on the city of Yedo, the capital of Japan *",1864,yedo
MASTER_00033,1858-1867,"Lindau, R.","Notes on the city of Yedo, the capital of Japan *",1864,capital
MASTER_00033,1858-1867,"Lindau, R.","Notes on the city of Yedo, the capital of Japan *",1864,japan
MASTER_00034,1858-1867,"Henderson, J.",Notes on some of the physical causes which modify climate,1864,physical
MASTER_00034,1858-1867,"Henderson, J.",Notes on some of the physical causes which modify climate,1864,causes
MASTER_00034,1858-1867,"Henderson, J.",Notes on some of the physical causes which modify climate,1864,modify
MASTER_00034,1858-1867,"Henderson, J.",Notes on some of the physical causes which modify climate,1864,climate
MASTER_00035,1858-1867,"Dickson, W.","Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,narrative
