time_window,weighted_article_count,article_count,n_subject_l1,n_subject_l2,shannon_entropy,hhi,top3_share,top5_share
1858-1867,82.0,82,9,27,2.9528575094169156,0.06930398572278405,0.3414634146341463,0.47560975609756095
1868-1877,60.0,60,9,22,2.923109765402958,0.06333333333333334,0.31666666666666665,0.45
1878-1887,76.0,76,10,27,2.9251679474898387,0.07652354570637117,0.39473684210526316,0.513157894736842
1888-1897,44.0,44,9,19,2.675712948045265,0.08677685950413223,0.38636363636363635,0.5681818181818182
1898-1907,31.0,31,8,16,2.667843520317021,0.07596253902185224,0.3225806451612903,0.4838709677419355
1908-1917,63.0,63,8,29,3.0849211247043815,0.05971277399848828,0.3333333333333333,0.4444444444444444
1918-1927,111.0,111,8,23,2.793348040735906,0.08156805454102753,0.4054054054054054,0.5315315315315315
1928-1937,91.0,91,10,31,3.1695495407644563,0.05252988769472287,0.2857142857142857,0.4175824175824176
1938-1948,29.0,29,9,12,2.2981986222944397,0.11533888228299642,0.4827586206896552,0.6896551724137931
