time_window,term,term_count,article_count,share,idf,tfidf
1858-1867,peking,7,7,0.019498607242339833,1.916290731874155,13.414035123119085
1858-1867,sketch,5,5,0.013927576601671309,2.203972804325936,11.01986402162968
1858-1867,overland,5,5,0.013927576601671309,2.203972804325936,11.01986402162968
1858-1867,japan,8,8,0.022284122562674095,1.3566749439387324,10.85339955150986
1858-1867,shanghai,7,7,0.019498607242339833,1.5108256237659907,10.575779366361935
1858-1867,journey,6,6,0.016713091922005572,1.5108256237659907,9.064953742595945
1858-1867,hankow,4,4,0.011142061281337047,2.203972804325936,8.815891217303744
1858-1867,retrospect,4,4,0.011142061281337047,2.203972804325936,8.815891217303744
1858-1867,events,4,4,0.011142061281337047,2.203972804325936,8.815891217303744
1858-1867,march,3,3,0.008356545961002786,2.6094379124341005,7.8283137373023015
1858-1867,narrative,3,3,0.008356545961002786,2.203972804325936,6.611918412977808
1858-1867,february,3,3,0.008356545961002786,2.203972804325936,6.611918412977808
1858-1867,visit,3,3,0.008356545961002786,1.916290731874155,5.748872195622465
1858-1867,canton,3,3,0.008356545961002786,1.916290731874155,5.748872195622465
1858-1867,hakodadi,2,2,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,magnetic,2,2,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,adjacent,2,2,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,taken,2,2,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,tables,2,2,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,japanese,2,2,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,inscription,2,2,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,t'ien,2,1,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,productions,2,2,0.005571030640668524,2.6094379124341005,5.218875824868201
1858-1867,formosa,3,3,0.008356545961002786,1.6931471805599454,5.079441541679836
1858-1867,great,3,3,0.008356545961002786,1.6931471805599454,5.079441541679836
1858-1867,elements,2,2,0.005571030640668524,2.203972804325936,4.407945608651872
1858-1867,character,2,2,0.005571030640668524,2.203972804325936,4.407945608651872
1858-1867,american,2,2,0.005571030640668524,2.203972804325936,4.407945608651872
1858-1867,mineral,2,2,0.005571030640668524,2.203972804325936,4.407945608651872
1858-1867,chefoo,2,2,0.005571030640668524,2.203972804325936,4.407945608651872
1858-1867,hunan,2,2,0.005571030640668524,2.203972804325936,4.407945608651872
1858-1867,chow,2,2,0.005571030640668524,2.203972804325936,4.407945608651872
1858-1867,water,2,2,0.005571030640668524,2.203972804325936,4.407945608651872
