master_id,year,volume,author,author_raw,subject,subject_l1,subject_l2,subject_raw,subject_raw_norm,subject_split,title,year_start,year_end,notes,time_window,n_subjects_article_all,n_subjects_article_network,subject_weight,mapping_note
MASTER_00001,1858,OS 1 Part 1,"Edkins, J.","Edkins, J.",Buddhism,Religion and Philosophy,Buddhism,Buddhism,buddhism,buddhism,"A Buddhist Shastra , Translated from the Chinese",1858,1858,,1858-1867,1,1,1.0,
MASTER_00002,1858,OS 1 Part 1,"Wylie, A.","Wylie, A.",Numismatics,Arts and Archaeology,Numismatics,coinage,coinage,coinage,Coins of the Ta - ts'ing or present dynasty of China *,1858,1858,,1858-1867,1,1,1.0,LCSH standard form
MASTER_00003,1858,OS 1 Part 1,"Macgowan, D. J.","Macgowan, D. J.",Ethnology,Anthropology and Social Customs,Ethnology,ethnology and anthropology,ethnology and anthropology,ethnology,Contribution to the ethnology of Eastern Asia,1858,1858,,1858-1867,2,2,0.5,
MASTER_00003,1858,OS 1 Part 1,"Macgowan, D. J.","Macgowan, D. J.",Anthropology,Anthropology and Social Customs,Anthropology,ethnology and anthropology,ethnology and anthropology,anthropology,Contribution to the ethnology of Eastern Asia,1858,1858,,1858-1867,2,2,0.5,
MASTER_00004,1858,OS 1 Part 1,"Nicolson, F. W.","Nicolson, F. W.",Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,"On Cyclones , or the Law of Storms",1858,1858,,1858-1867,1,1,1.0,
MASTER_00005,1858,OS 1 Part 1,"Foote, A. H.","Foote, A. H.",Travel,Geography and Travel,Travel,travel and general descriptions,travel and general descriptions,travel,Visit to Simoda and Hakodadi in Japan,1858,1858,,1858-1867,1,1,1.0,
MASTER_00006,1859,OS 1 Part 2,"Macgowan, D. J.","Macgowan, D. J.",Language and languages,Literature and Language,Language and languages,literature and language,literature and language,literature and language,Chinese bibliography,1859,1859,,1858-1867,1,1,1.0,Protected compound mapped to LCSH language term
MASTER_00007,1859,OS 1 Part 2,"Shadwell, C. F. A.","Shadwell, C. F. A.",Meteorology,Natural Sciences,Meteorology,meteorology,meteorology,meteorology,Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,1859,,1858-1867,1,1,1.0,
MASTER_00008,1859,OS 1 Part 2,"Syle, E. W.","Syle, E. W.",Music,Arts and Archaeology,Music,music,music,music,On the Musical Notation of the Chinese,1859,1859,,1858-1867,1,1,1.0,
MASTER_00009,1859,OS 1 Part 2,"Edkins, J.","Edkins, J.",Philosophy,Religion and Philosophy,Philosophy,philosophy,philosophy,philosophy,Notices of the character and writings of Meh tsi,1859,1859,"MEH TSi, mozi, <U+58A8><U+5B50>",1858-1867,1,1,1.0,
