time_window,weighted_article_count,article_count,n_subject_l1,n_subject_l2,shannon_entropy,hhi,top3_share,top5_share
1858-1867,84.0,84,9,28,2.995067312359961,0.06660997732426303,0.3333333333333333,0.4642857142857143
1868-1877,66.0,68,10,26,3.0629899931298583,0.05532598714416896,0.2803030303030303,0.4015151515151515
1878-1887,83.0,84,11,32,3.0733586786827063,0.06684569603716067,0.3614457831325301,0.4698795180722891
1888-1897,48.0,48,9,21,2.7973351171443155,0.07638888888888888,0.35416666666666663,0.5208333333333333
1898-1907,36.0,37,8,19,2.789005480869124,0.06905864197530864,0.3055555555555555,0.4722222222222222
1908-1917,73.0,74,8,32,3.203306469079017,0.05151060236442108,0.2876712328767123,0.40410958904109584
1918-1927,128.0,129,8,29,3.0210116144873895,0.065521240234375,0.3515625,0.4609375
1928-1937,105.0,109,10,38,3.379205974693914,0.04204081632653062,0.2285714285714286,0.3523809523809524
1938-1948,31.0,31,9,13,2.3891448372532462,0.10509885535900104,0.45161290322580644,0.6451612903225806
