model,K,topic_id,top_words,cross_model_matches,human_readable_interpretation
bertopic_chunk_dual_stopworded,,31,l'on; leurs; ses; fait; guild; quelques; ceux; que l'on; temps; elles,15,
bertopic_chunk_dual_stopworded,,32,airs; drama; actor; musical instruments; actors; chinese respecting; mei; ming huang; stone drums; hsuan wang,2,
bertopic,,0,cochin; tab; chinensis; folio; sinensis; var; genus; breadth; chusan; infra,52,
bertopic,,1,coal; limestone; mile; left bank; right bank; gorge; shore; sandstone; tide; navigable,25,
bertopic,,2,altar; marble; pillars; pagodas; terrace; architecture; towers; monuments; offerings; coffin,12,
bertopic,,3,treaty; garnier; tong-king; treaties; commissioners; kweiliang; mandarins; negotiations; americans; audience,28,
bertopic,,4,kwo; rebels; eldest son; eunuch; an-shih; wang an-shih; annam; rebel; generals; defeat,9,
bertopic,,5,aug; feb; mar; nov dec; jan feb; jan; july aug; aug sept; dec; sept oct,11,
bertopic,,6,mint; obverse; coin; tael; coinage; annam; minor currency; annam minor; dollar; obverse reverse,24,
bertopic,,7,wares; pottery; bronzes; porcelains; painting; chinese art; bronze; chinese porcelain; potteries; artistic,14,
bertopic,,8,tom; western asia; central western; mohammedan; medieval geography; history central; turkish; notices medieval; uigurs; samarcand,5,
bertopic,,9,destiny; ultimate; taoism; immortality; holy men; immaterial; plato; senses; cosmic; tse,13,
bertopic,,10,road shanghai; honorary; branch asiatic; election; hon; society's; s'hai; robert; list members; histories,0,
bertopic,,11,great drought; tls; likin; land-tax; taels year; hkiang; catties; tax; ch'wan; revenue,13,
bertopic,,12,classifier; tones; shuo; corean; vowels; ideographic; elementary characters; elementary; k'ang hsi; vowel,7,
bertopic,,13,chinese musical; musical instruments; holes; diameter; inches long; pipe; drum; inches diameter; pipes; gong,4,
bertopic,,14,cycle; lunar; solar; eclipses; jupiter; equinox; solstice; astronomical; zodiac; asterisms,11,
bertopic,,15,temperature; eastern asia; vapour; latitude; spring summer; celsius; minimum; humidity; hkiang; maximum,16,
bertopic,,16,tai-y; fut; elle; tait; concubine; femme; madame; vous; ouang; avait,6,
bertopic,,17,chinese law; witchcraft; penalty; law practice; offence; infanticide; offences; penal; district magistrate; robbery,3,
bertopic,,18,family law; law chinese; exogamy; patria; marry; contract; bride; widow; husband's; marriages,6,
bertopic,,19,migration; migrations; south america; tibetans; philippines; lamaism; aryan; anthropological; immigrants; lhasa,14,
bertopic,,20,teachings; chu hsi; meh; chai; human nature; confucianists; micius; ssu-ma; disciple; yao shun,1,
bertopic,,21,thou; thy; hell; sins; creator; yima; hells; brightness; demon; deus,5,
bertopic,,22,pawn; games; cannon; chess; file; rook; moves; knight; adversary; diagram,7,
bertopic,,23,mohammed; prophet; moslem; moslems; islam; koran; mecca; mosque; jews; medina,11,
bertopic,,24,kabaran; iii iii; yukan; tze; heen; mun; tsz; keang; itinerary; yeh,3,
bertopic,,25,magnetic; magnetism; terrestrial; terrestrial magnetism; periodical; hemisphere; axis; nucleus; dip; attraction,10,
bertopic,,26,vols; bithe; road shanghai; manchu chinese; vide wylie; bithe vols; libraries; vols large; svo; der gabelentz,5,
bertopic,,27,eunuchs; great officer; mencius reformers; reformers china; reformers; hospital; avoided; avoidance; exogamy; avoiding,10,
bertopic,,28,savages; garments; women wear; men wear; taiga; waist; petticoats; anduri; orotchi; pepos,4,
bertopic,,29,vegetation; agricole; carte; sahara; carte agricole; grazing; cultures; glaciers; agricole rale; rale l'empire,0,
bertopic,,30,tungus; goldi; northern tungus; reindeer; amur; shamanism; complex; amur river; orotchis; pal,11,
bertopic,,31,l'on; leurs; ses; fait; guild; quelques; ceux; que l'on; temps; elles,14,
bertopic,,32,airs; drama; actor; musical instruments; actors; chinese respecting; mei; ming huang; stone drums; hsuan wang,0,
corex_anchored,20,0,temple; buddhist; buddhism; everything; things; men; story; evil; life; thought; nothing; saying; ritual; asked; heart; person; says; man; spirit; saw,92,
corex_anchored,20,1,trade; customs; treaty; passed; took; went; carried; state; since; back; gave; open; became; reached; days; city; land; commerce; taking; entered,106,
corex_anchored,20,2,shih; yuan; tzu; hsi; ch; chih; huang; chien; hsien; ching; chi; hsiang; ssu; chia; chin; chou; ao; feng; fu; ai,69,
corex_anchored,20,3,foot; hair; bright; fish; beautiful; eyes; stone; front; ground; wood; looking; trees; tree; sight; black; dark; door; turned; wild; birds,86,
corex_anchored,20,4,chine; des; vol; iv; les; et; un; le; une; viii; quoted; dans; qu; se; der; au; la; paris; chinois; de,56,
corex_anchored,20,5,thick; red; flat; sides; fine; top; white; upper; covered; green; brown; surface; blue; side; yellow; shape; tail; grass; bottom; size,68,
