time_window,weighted_article_count,article_count,n_subject_l1,n_subject_l2,shannon_entropy,hhi,top3_share,top5_share
1858-1867,83.0,107,10,33,3.091077978148644,0.0642207383751875,0.33433734939759036,0.47289156626506024
1868-1877,63.0,90,10,30,3.099382778380947,0.056563366087175604,0.29497354497354494,0.42592592592592593
1878-1887,81.99999999999999,111,11,34,2.9849714781702517,0.08208986053275168,0.3943089430894309,0.5142276422764228
1888-1897,47.99999999999999,88,9,28,3.035059368662417,0.06048418209876543,0.315625,0.43194444444444446
1898-1907,37.0,65,8,26,3.091196074035342,0.05301923545166788,0.25,0.36936936936936937
1908-1917,73.0,93,8,32,3.1677709622477854,0.05279810679510435,0.2899543378995434,0.3972602739726027
1918-1927,124.99999999999999,181,9,38,3.1877388059295257,0.057891555555555564,0.318,0.4126666666666667
1928-1932,53.0,73,10,30,3.14762692181204,0.05473478106087575,0.3018867924528302,0.42610062893081757
