time_window,subject_l1,subject_l2,weighted_article_count,article_count,author_count,share
1878-1887,Natural Sciences,Botany,3.0,3,2,0.036144578313253
1878-1887,Natural Sciences,Geology,5.0,5,3,0.0602409638554216
1878-1887,Natural Sciences,Hydrology,1.0,1,1,0.0120481927710843
1878-1887,Natural Sciences,Meteorology,4.0,4,4,0.0481927710843373
1878-1887,Natural Sciences,Science,0.5,1,1,0.0060240963855421
1878-1887,Natural Sciences,Zoology,2.0,2,2,0.0240963855421686
1878-1887,"Politics, Government, and Law",Government,2.0,2,1,0.0240963855421686
1878-1887,"Politics, Government, and Law",Law,2.0,2,1,0.0240963855421686
1878-1887,Religion and Philosophy,Buddhism,1.0,1,1,0.0120481927710843
1878-1887,Religion and Philosophy,Confucianism,1.0,1,1,0.0120481927710843
1878-1887,Religion and Philosophy,Philosophy,1.0,1,1,0.0120481927710843
1878-1887,Religion and Philosophy,Religion,2.0,2,2,0.0240963855421686
1888-1897,Anthropology and Social Customs,Ethnology,4.0,4,3,0.0833333333333333
1888-1897,Anthropology and Social Customs,Manners and customs,2.0,2,1,0.0416666666666666
1888-1897,Arts and Archaeology,Architecture,3.0,3,3,0.0625
1888-1897,Arts and Archaeology,Numismatics,4.0,4,4,0.0833333333333333
1888-1897,"Economy, Trade, and Technology",Economics,5.0,5,2,0.1041666666666666
1888-1897,"Economy, Trade, and Technology",Telecommunication,2.0,2,2,0.0416666666666666
1888-1897,Geography and Travel,Geography,1.0,1,1,0.0208333333333333
1888-1897,Geography and Travel,Travel,2.0,2,2,0.0416666666666666
1888-1897,History and Chronology,History,8.0,8,8,0.1666666666666666
1888-1897,Literature and Language,Literature,2.0,2,1,0.0416666666666666
1888-1897,Natural Sciences,Agriculture,1.0,1,1,0.0208333333333333
1888-1897,Natural Sciences,Astronomy,1.0,1,1,0.0208333333333333
1888-1897,Natural Sciences,Botany,4.0,4,2,0.0833333333333333
1888-1897,Natural Sciences,Hydrology,2.0,2,2,0.0416666666666666
1888-1897,Natural Sciences,Zoology,1.0,1,1,0.0208333333333333
1888-1897,"Politics, Government, and Law",Government,1.0,1,1,0.0208333333333333
1888-1897,"Politics, Government, and Law",Law,1.0,1,1,0.0208333333333333
1888-1897,Religion and Philosophy,Buddhism,1.0,1,1,0.0208333333333333
1888-1897,Religion and Philosophy,Christianity,1.0,1,1,0.0208333333333333
1888-1897,Religion and Philosophy,Philosophy,1.0,1,1,0.0208333333333333
1888-1897,Religion and Philosophy,Taoism,1.0,1,1,0.0208333333333333
1898-1907,Anthropology and Social Customs,Ethnology,4.0,4,2,0.1111111111111111
1898-1907,Anthropology and Social Customs,Folklore,0.5,1,1,0.0138888888888888
1898-1907,Anthropology and Social Customs,Manners and customs,4.0,4,4,0.1111111111111111
1898-1907,Anthropology and Social Customs,Mythology,0.5,1,1,0.0138888888888888
1898-1907,Arts and Archaeology,Art,1.0,1,1,0.0277777777777777
1898-1907,Arts and Archaeology,Numismatics,2.0,2,2,0.0555555555555555
1898-1907,"Economy, Trade, and Technology",Economics,2.0,2,2,0.0555555555555555
1898-1907,Geography and Travel,Travel,3.0,3,3,0.0833333333333333
1898-1907,History and Chronology,Biography,2.0,2,2,0.0555555555555555
1898-1907,History and Chronology,History,2.0,2,2,0.0555555555555555
1898-1907,Natural Sciences,Agriculture,3.0,3,2,0.0833333333333333
