from,to,author,subject_l2,subject_l1,master_id,title,volume,year_start,year_end,time_window,subject_weight,subject_raw
A_10,S_5,"Fedorovitch, J.",Meteorology,Natural Sciences,MASTER_00012,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai",OS 1 Part 2,1859,1859,1858-1867,1.0,meteorology
A_11,S_6,"Williams, S. W.",Travel,Geography and Travel,MASTER_00013,Lecture on Japan,OS 1 Part 2,1859,1859,1858-1867,1.0,travel and general descriptions
A_12,S_6,"Swinhoe, R.",Travel,Geography and Travel,MASTER_00014,Narrative of a visit to the island of Formosa,OS 1 Part 2,1859,1859,1858-1867,1.0,travel and general descriptions
A_12,S_12,"Swinhoe, R.",Zoology,Natural Sciences,MASTER_00015,Notes on some new species of birds found on the island of Formosa,OS 1 Part 2,1859,1859,1858-1867,1.0,zoology
A_12,S_12,"Swinhoe, R.",Zoology,Natural Sciences,MASTER_00016,The Small Chinese Lark,OS 1 Part 3,1859,1859,1858-1867,1.0,zoology
A_3,S_13,"Macgowan, D. J.",Law,"Politics, Government, and Law",MASTER_00017,On the Banishment of Criminals in China,OS 1 Part 3,1859,1859,1858-1867,1.0,law
A_13,S_14,"Robertson, D. B.",Agriculture,Natural Sciences,MASTER_00018,Cotton in China,OS 1 Part 3,1859,1859,1858-1867,0.333333333333333,"agriculture, industry and trade"
A_13,S_15,"Robertson, D. B.",Industries,"Economy, Trade, and Technology",MASTER_00018,Cotton in China,OS 1 Part 3,1859,1859,1858-1867,0.333333333333333,"agriculture, industry and trade"
A_13,S_16,"Robertson, D. B.",Commerce,"Economy, Trade, and Technology",MASTER_00018,Cotton in China,OS 1 Part 3,1859,1859,1858-1867,0.333333333333333,"agriculture, industry and trade"
A_1,S_17,"Edkins, J.",Mythology,Anthropology and Social Customs,MASTER_00020,A Sketch of the Tauist Mythology in its modern form,OS 1 Part 3,1859,1859,1858-1867,1.0,mythology
A_11,S_18,"Williams, S. W.","History, Modern (20th century)",History and Chronology,MASTER_00021,Narrative of the American Embassy to Peking,OS 1 Part 3,1859,1859,1858-1867,1.0,contemporary history
