time_window,weighted_article_count,article_count,n_subject_l1,n_subject_l2,shannon_entropy,hhi,top3_share,top5_share
1858-1867,84.0,108,11,34,3.118860867167359,0.0628424981103552,0.3303571428571428,0.4672619047619047
1868-1877,65.0,93,11,32,3.1774326190677047,0.0524852071005917,0.2858974358974359,0.3987179487179487
1878-1887,82.99999999999997,112,12,35,3.014222329896501,0.0802688666311833,0.389558232931727,0.5080321285140563
1888-1897,47.99999999999999,88,9,28,3.035059368662417,0.0604841820987654,0.315625,0.4319444444444444
1898-1907,37.0,65,8,26,3.091196074035342,0.0530192354516678,0.25,0.3693693693693693
1908-1917,74.0,94,9,33,3.196548080234653,0.0515633877120363,0.286036036036036,0.3918918918918919
1918-1927,128.0,184,10,40,3.239075882804641,0.0555148654513889,0.310546875,0.4029947916666667
1928-1937,107.0,128,11,41,3.456203553307839,0.0380600925845051,0.1970404984423675,0.3099688473520249
1938-1948,32.0,32,9,13,2.410223160758827,0.1015625,0.4375,0.625
