author_id,author_name
AUTH_00172,"MacNair, H. F."
AUTH_00173,"Macgowan, D. J."
AUTH_00174,"Macintyre, J."
AUTH_00175,"Macklin, W. E."
AUTH_00176,"Markham, J."
AUTH_00177,"Martin, W. A. P."
AUTH_00178,"Mason, I."
AUTH_00179,"Mayers, W. F."
AUTH_00180,"McCartee, D. B."
AUTH_00181,"McCormick, F."
AUTH_00182,"Medhurst, W. H."
AUTH_00183,"Meerkerk, M. E. R. F."
AUTH_00184,"Mencarini, J."
AUTH_00185,Meteorological Committee
AUTH_00186,"Mironov, N. D. and Shirokogoroff, S. M."
AUTH_00187,"Mollendorf, P. G. von"
AUTH_00188,"Moninger, M. M."
AUTH_00189,Moore
AUTH_00190,"Moore, A."
AUTH_00191,"Morgan, E."
AUTH_00192,"Morrison, G. J."
AUTH_00193,"Morse, H. B."
AUTH_00194,"Moule, A. C."
AUTH_00195,"Moule, G. E."
AUTH_00196,"Moyer, R. T."
AUTH_00197,"Murphy, D. C."
AUTH_00198,"N. G. Moffett, L. I. and Gee,"
AUTH_00199,NATALIS RONDOT
AUTH_00200,"Nicolson, F. W."
AUTH_00201,"Nocentini, L."
AUTH_00202,"Norin, E."
AUTH_00203,North China Daily News
AUTH_00204,"Nystrom, E. T."
AUTH_00205,"Ottewill, H. A."
AUTH_00206,"Palladius, A."
AUTH_00207,"Parker, A. P."
AUTH_00208,"Parker, E. H."
AUTH_00209,"Penniston, J. B."
AUTH_00210,"Phelps, D. L."
AUTH_00211,"Phillips, G."
AUTH_00212,"Ping, C."
AUTH_00213,"Playfair, G. M. H."
AUTH_00214,"Pompe van Meedervoort, J. L. C."
AUTH_00215,"Porterfield, W. M."
AUTH_00216,"Poston, D. G."
AUTH_00217,"Pott, F. L. H."
AUTH_00218,"Preston, C. F."
AUTH_00219,"Prip-Moller, J."
AUTH_00220,"Pryer, W. B."
AUTH_00221,"Read, B. E."
AUTH_00222,"Reymond, C. du Bois"
AUTH_00223,"Rhein, J."
AUTH_00224,"Richmond, C. W."
AUTH_00225,"Riley, J. H. and Richmond, C. W."
AUTH_00226,"Rispaud, P. J."
AUTH_00227,"Roberts, D."
AUTH_00228,"Robertson, D. B."
AUTH_00229,"Ros, G."
AUTH_00230,"Rosthorn, A. von"
AUTH_00231,"Ruffe, M. D'Auxion de"
AUTH_00232,"Saeki, P. Y."
AUTH_00233,"Scherzer, F., trans. Gould, C."
AUTH_00234,"Schmidt, C."
AUTH_00235,"Schulze, F. W."
AUTH_00236,"Schwarz, K. L."
AUTH_00237,"Scott, J."
AUTH_00238,"Segalen, V."
AUTH_00239,"Shadwell, C. F. A."
AUTH_00240,Shanghai Meteorological Committee
AUTH_00241,"Sheppard, G. W. (ed.)"
AUTH_00242,"Shields, E. T."
AUTH_00243,"Shirokogoroff, S. M."
AUTH_00244,"Shock, W. H."
AUTH_00245,"Simon, G. E."
AUTH_00246,"Siren, O."
AUTH_00247,"Sjolander, D."
AUTH_00248,"Skvortzow, B. W."
AUTH_00249,"Smith, F. P."
AUTH_00250,"Soothill, W. E."
AUTH_00251,"Sowerby, A. de C."
AUTH_00252,"Stael-Holstein, Baron A. von"
AUTH_00253,"Stanley, A."
AUTH_00254,"Stent, G. C."
AUTH_00255,"Stifler, S. R."
AUTH_00256,"Stronach, W. T."
AUTH_00257,"Swinhoe, R."
AUTH_00258,"Syle, E. W."
AUTH_00259,T. C. B.
AUTH_00260,"Taintor, E. C."
AUTH_00261,"Talbot, R. M."
AUTH_00262,"Taylor, F. E."
AUTH_00263,"Teesdale, J. H."
AUTH_00264,Teng Kuei（滕固）
AUTH_00265,The Hankow Times
AUTH_00266,"Thompson, J."
AUTH_00267,Timothy Richard.Litt.D.
AUTH_00268,"Toda, E."
AUTH_00269,"Tomkinson, L."
AUTH_00270,"Torrance, T."
AUTH_00271,"Touche, J. D. D. La"
AUTH_00272,Tsai Yuen-Pei（蔡元培）
AUTH_00273,"Turner, F. B."
AUTH_00274,"Tyler, W. F."
AUTH_00275,"Vacca, G."
AUTH_00276,"Vale, J."
AUTH_00277,"Viguier, S. A."
AUTH_00278,"Volpicelli, Z. H."
AUTH_00279,"Walshe, W. G."
AUTH_00280,Wang Kuo Wei（王国维）
AUTH_00281,"Ward, F. K."
AUTH_00282,"Ward, J."
AUTH_00283,"Warren, G. G."
AUTH_00284,"Watson, W. C. H."
AUTH_00285,"Watters, T."
AUTH_00286,"Wells, H. R."
AUTH_00287,Wen Yu
AUTH_00288,"Werner, E. T. C."
AUTH_00289,"White, L. M."
AUTH_00290,"Wilder, G. D. and Hubbard, H. W."
AUTH_00291,"Wilds, E."
AUTH_00292,"Wilhelm, R."
AUTH_00293,"Wilkinson, H. P."
AUTH_00294,"Williams, C. A. S."
AUTH_00295,"Williams, E. T."
AUTH_00296,"Williams, F. W. (ed.)"
AUTH_00297,"Williams, S. W."
AUTH_00298,"Williamson, A."
AUTH_00299,"Wright, H. K."
AUTH_00300,Wu Lieh-teh（伍连德）
AUTH_00301,"Wylie, A."
AUTH_00302,Yan Taz Chiu
AUTH_00303,Yao Shan-yu
AUTH_00304,"Zwemer, S. M."
