time_window,subject_l1,subject_l2,term,term_count,article_count,share,idf,tfidf
1858-1867,Natural Sciences,Meteorology,tables,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,tauist,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,mythology,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Mythology,form,1,1,0.125,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"History, Modern (20th century)",embassy,1,1,0.0555555555555555,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Ethnology,sketches,1,1,0.1666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Anthropology,sketches,1,1,0.1666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Ethnology,tsze,1,1,0.1666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Anthropology and Social Customs,Anthropology,tsze,1,1,0.1666666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,mouths,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,yangts,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,cosmical,1,1,0.0833333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,cosmical,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,cosmical,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,cosmical,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,phenomena,1,1,0.0833333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,phenomena,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,phenomena,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,phenomena,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,neighborhood,1,1,0.0833333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,neighborhood,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,neighborhood,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,neighborhood,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Botany,thirteen,1,1,0.0833333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,thirteen,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,thirteen,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,thirteen,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,ethics,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,special,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,reference,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Philosophy,nature,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,dissection,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,japanese,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"History, Modern (20th century)",record,1,1,0.0555555555555555,2.6094379124341005,2.6094379124341005
1858-1867,History and Chronology,"History, Modern (20th century)",occurrences,1,1,0.0555555555555555,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,supplemental,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,places,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,temperature,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,hakodadi,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,winds,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,yedo,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,causes,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,modify,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,petersburg,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,pekin,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Medicine,medical,1,1,0.3333333333333333,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,sea-board,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Inscriptions and Miscellaneous,Inscriptions,impressions,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Inscriptions and Miscellaneous,Inscriptions,lapidary,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Inscriptions and Miscellaneous,Inscriptions,inscription,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Inscriptions and Miscellaneous,Inscriptions,keu,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Inscriptions and Miscellaneous,Inscriptions,yung,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Inscriptions and Miscellaneous,Inscriptions,near,1,1,0.1,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Hydrology,head,1,1,0.0263157894736842,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,appearance,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Geography and Travel,Travel,rugged,1,1,0.0158730158730158,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,barometric,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,thermometric,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,september,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,view,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,determining,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,height,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Meteorology,lew,1,1,0.0204081632653061,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,specimen,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,font,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,movable,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,type,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,belonging,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Literature and Language,Language and languages,presbyterian,1,1,0.0454545454545454,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Geology,quang,1,1,0.0238095238095238,2.6094379124341005,2.6094379124341005
1858-1867,Natural Sciences,Zoology,beasts,1,1,0.0588235294117647,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,annals,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
1858-1867,Religion and Philosophy,Christianity,ocean,1,1,0.0416666666666666,2.6094379124341005,2.6094379124341005
