author_name,master_id,title,volume,year_start,year_end,time_window,subject_l1,subject_l2
"Ferguson, J. C.",MASTER_00392,""" Ink Remains "" by An I - chou, See also N. Q.",NS 48,1917,1917,1908-1917,Arts and Archaeology,Painting
"Ferguson, J. C.",MASTER_00390,Four examples of Chinese bronze statuary *,NS 48,1917,1917,1908-1917,Arts and Archaeology,Bronzes
"Ferguson, J. C.",MASTER_00401,Ku K'ai - chih's scroll in the British Museum *,NS 49,1918,1918,1918-1927,Arts and Archaeology,Painting
"Ferguson, J. C.",MASTER_00410,Recent books by a Chinese scholar,NS 50,1919,1919,1918-1927,Literature and Language,Language and languages
"Ferguson, J. C.",MASTER_00443,""" Fir - flower Tablets """,NS 53,1922,1922,1918-1927,Literature and Language,Language and languages
"Ferguson, J. C.",MASTER_00461,"Culture, the basis of Chinese art",NS 54,1923,1923,1918-1927,Arts and Archaeology,Archaeology
"Ferguson, J. C.",MASTER_00461,"Culture, the basis of Chinese art",NS 54,1923,1923,1918-1927,Arts and Archaeology,Art
"Ferguson, J. C.",MASTER_00476,Southern Migration of the Sung Dynasty,NS 55,1924,1924,1918-1927,Anthropology and Social Customs,Anthropology
"Ferguson, J. C.",MASTER_00476,Southern Migration of the Sung Dynasty,NS 55,1924,1924,1918-1927,Anthropology and Social Customs,Ethnology
"Ferguson, J. C.",MASTER_00495,"Stories in Chinese paintings, I",NS 56,1925,1925,1918-1927,Literature and Language,Literature
"Ferguson, J. C.",MASTER_00503,General survey of standard Chinese histories,NS 57,1926,1926,1918-1927,Geography and Travel,Asia
"Ferguson, J. C.",MASTER_00503,General survey of standard Chinese histories,NS 57,1926,1926,1918-1927,History and Chronology,"History, Modern"
"Ferguson, J. C.",MASTER_00513,Political parties of the Northern Sung Dynasty,NS 58,1927,1927,1918-1927,"Politics, Government, and Law",Political science
"Ferguson, J. C.",MASTER_00523,Shapes of porcelain vessels,NS 59,1928,1928,1928-1937,Arts and Archaeology,Porcelain
"Ferguson, J. C.",MASTER_00550,"Stories in Chinese painting, II",NS 61,1930,1930,1928-1937,Literature and Language,Literature
"Ferguson, J. C.",MASTER_00575,Porcelains of successive dynasties,NS 63,1932,1932,1928-1937,Arts and Archaeology,Porcelain
"Ferguson, J. C.",MASTER_00580,"Stories in Chinese paintings, III",NS 63,1932,1932,1928-1937,Arts and Archaeology,Painting
"Ferguson, J. C.",MASTER_00586,Loyang as the national capital,NS 64,1933,1933,1928-1937,History and Chronology,History
"Ferguson, J. C.",MASTER_00596,Painters among Catholic missionaries and their helpers in Peking,NS 65,1934,1934,1928-1937,Arts and Archaeology,Painting
"Ferguson, J. C.",MASTER_00610,Inscriptions on bronzes,NS 66,1935,1935,1928-1937,Arts and Archaeology,Archaeology
"Ferguson, J. C.",MASTER_00612,"Six horses of T'ang T'ai Tsung, The",NS 67,1936,1936,1928-1937,Arts and Archaeology,Archaeology
"Ferguson, J. C.",MASTER_00646,Decorations of Chinese bronzes,NS 72,1946,1946,1938-1948,Arts and Archaeology,Archaeology
"Fischer, E. S.",MASTER_00463,Modern travel from Tai Yuan Fu via Mount Wu Tai to the Mongolian frontier,NS 54,1923,1923,1918-1927,Geography and Travel,Travel
"Fischer, E. S.",MASTER_00549,"Journey to the Tung Ling and a visit to the desecrated Eastern Mausolea of the Ta Tsing dynasty, in 1929, A",NS 61,1930,1930,1928-1937,Geography and Travel,Asia
"Fischer, E. S.",MASTER_00549,"Journey to the Tung Ling and a visit to the desecrated Eastern Mausolea of the Ta Tsing dynasty, in 1929, A",NS 61,1930,1930,1928-1937,Geography and Travel,Geography
"Fischer, E. S.",MASTER_00549,"Journey to the Tung Ling and a visit to the desecrated Eastern Mausolea of the Ta Tsing dynasty, in 1929, A",NS 61,1930,1930,1928-1937,Geography and Travel,Travel
"Fischer, E. S.",MASTER_00588,"T'ai Miao, a description of the supreme hall of sacrefices of the Forbidden City",NS 64,1933,1933,1928-1937,Arts and Archaeology,Archaeology
"Fischer, E. S.",MASTER_00645,Jehol,NS 71,1940,1940,1938-1948,Geography and Travel,Geography
"Fischer, E. S.",MASTER_00650,"Sacred Lamaist dances, The",NS 72,1946,1946,1938-1948,Religion and Philosophy,Religion
"Fletcher, W. J. B.",MASTER_00437,"Song of a skirt, The",NS 52,1921,1921,1918-1927,Literature and Language,Language and languages
"Fletcher, W. J. B.",MASTER_00436,"Trip to Hua Kang, A",NS 52,1921,1921,1918-1927,Literature and Language,Language and languages
"Foote, A. H.",MASTER_00005,Visit to Simoda and Hakodadi in Japan,OS 1 Part 1,1858,1858,1858-1867,Geography and Travel,Travel
"Forke, A.",MASTER_00277,Wang - chung and Plato on death and immortality,NS 31,1896,1897,1888-1897,Religion and Philosophy,Philosophy
"Forke, A.",MASTER_00296,"Chinese sophists, The",NS 34,1901,1902,1898-1907,Religion and Philosophy,Philosophy
"Forke, A.",MASTER_00556,"Philosopher Yang Hsiung, The *",NS 61,1930,1930,1928-1937,Religion and Philosophy,Philosophy
"Forrest, R. J.",MASTER_00079,The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books,NS 4,1867,1867,1858-1867,Religion and Philosophy,Christianity
"Forrest, R. J.",MASTER_00079,The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books,NS 4,1867,1867,1858-1867,Literature and Language,Language and languages
"Forrest, R. J.",MASTER_00079,The Christianity of Hung Tsiu Tsuen ; a review of Taeping Books,NS 4,1867,1867,1858-1867,Literature and Language,Literature
"Francis, J. de",MASTER_00654,"Missionary contribution to Chinese nationalism, A",NS 73,1948,1948,1938-1948,Religion and Philosophy,Christianity
"Fraser, E. H.",MASTER_00251,The Fish - skin Tartars,NS 26,1891,1892,1888-1897,Anthropology and Social Customs,Anthropology
"Fraser, E. H.",MASTER_00251,The Fish - skin Tartars,NS 26,1891,1892,1888-1897,Anthropology and Social Customs,Ethnology
"Fraser, M. F. A.",MASTER_00269,"Manchu ukase, A",NS 29,1894,1895,1888-1897,Literature and Language,Language and languages
"Fraser, M. F. A.",MASTER_00274,A MANCHU UKASE.,NS 30,1895,1896,1888-1897,History and Chronology,History
"Fraser, M. F. A.",MASTER_00274,A MANCHU UKASE.,NS 30,1895,1896,1888-1897,Literature and Language,Language and languages
"Freeman, M.",MASTER_00504,"Yen Hsi Chai, a 17th century philosopher",NS 57,1926,1926,1918-1927,Religion and Philosophy,Philosophy
"Freeman, M.",MASTER_00525,"Ch'ing dynasty criticism of Sung politico - philosophy, The",NS 59,1928,1928,1928-1937,"Politics, Government, and Law",Political science
"Freeman, M.",MASTER_00587,"Philosophy of Tai Tung - yuan, The",NS 64,1933,1933,1928-1937,Religion and Philosophy,Philosophy
"Fries, S. R. von",MASTER_00246,"The "" Tent theory "" of Chinese architecture",NS 24,1889,1890,1888-1897,Arts and Archaeology,Architecture
"Fritsche, H.",MASTER_00156,The Climate of Eastern Asia,NS 12,1878,1878,1878-1887,Natural Sciences,Meteorology
G. S. S. G.,MASTER_00511,Some notes on the remains of a phallic shrine in Japan,NS 57,1926,1926,1918-1927,Arts and Archaeology,Antiquities
G. S. S. G.,MASTER_00511,Some notes on the remains of a phallic shrine in Japan,NS 57,1926,1926,1918-1927,Anthropology and Social Customs,Mythology
G. S. S. G.,MASTER_00511,Some notes on the remains of a phallic shrine in Japan,NS 57,1926,1926,1918-1927,Religion and Philosophy,Religion
"Gabelentz, G. von der",MASTER_00203,Some additions to my Chinese grammar,NS 20,1885,1885,1878-1887,Literature and Language,Language and languages
"Gale, E. M.",MASTER_00592,Some Chinese sources for the study of Northeastern Asia,NS 64,1933,1933,1928-1937,History and Chronology,History
"Gale, E. M.",MASTER_00627,Chekiang highways,NS 68,1937,1937,1928-1937,Geography and Travel,Geography
"Gale, E. M., Boodberg, P. A. and Lin, T. C.",MASTER_00600,Discourses on salt and iron (Yen T'ieh Lun : Chaps. XX - XXVIII),NS 65,1934,1934,1928-1937,"Economy, Trade, and Technology",Economics
"Gamble, W.",MASTER_00044,Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,NS 1,1864,1864,1858-1867,Literature and Language,Language and languages
"Gapanovich, J. J.",MASTER_00574,"Asiatic origin of South American man, The",NS 62,1931,1931,1928-1937,Anthropology and Social Customs,Anthropology
"Gapanovich, J. J.",MASTER_00574,"Asiatic origin of South American man, The",NS 62,1931,1931,1928-1937,Anthropology and Social Customs,Ethnology
"Gardener, C. T.",MASTER_00072,Trans. Of inscription on tablet at Hangkow recording the changing the T'ien Chu Tang (Roman Catholic Church) into the T'ien Hao Tung *,NS 4,1867,1867,1858-1867,Religion and Philosophy,Christianity
"Gardener, C. T.",MASTER_00184,"Animal, fossil, mineral and vegetable products of the consular district of Ichang",NS 19 Part 1,1884,1884,1878-1887,Natural Sciences,Botany
"Gardener, C. T.",MASTER_00184,"Animal, fossil, mineral and vegetable products of the consular district of Ichang",NS 19 Part 1,1884,1884,1878-1887,Natural Sciences,Geology
"Gardener, C. T.",MASTER_00184,"Animal, fossil, mineral and vegetable products of the consular district of Ichang",NS 19 Part 1,1884,1884,1878-1887,Natural Sciences,Zoology
"Gardener, C. T.",MASTER_00258,"Coinage of Corea, The *",NS 27,1892,1893,1888-1897,Arts and Archaeology,Numismatics
"Gardner, C. S.",MASTER_00571,"Western transcription of Chinese, The",NS 62,1931,1931,1928-1937,Literature and Language,East Asian languages
"Gaunt, T.",MASTER_00445,Ling Yin monastery poem,NS 53,1922,1922,1918-1927,Literature and Language,Language and languages
"Gee, N. G.",MASTER_00415,"Beginning of the study of the flora and fauna of Soochow and vicinity, A",NS 50,1919,1919,1918-1927,Natural Sciences,Botany
"Gee, N. G.",MASTER_00415,"Beginning of the study of the flora and fauna of Soochow and vicinity, A",NS 50,1919,1919,1918-1927,Natural Sciences,Zoology
"Gee, N. G.",MASTER_00506,Chinese fresh water sponges,NS 57,1926,1926,1918-1927,Natural Sciences,Zoology
"Gibson, H. E.",MASTER_00614,"Inscribed bones of Shang, The",NS 67,1936,1936,1928-1937,Arts and Archaeology,Archaeology
"Gibson, H. E.",MASTER_00624,Music and musical instruments of Shang,NS 68,1937,1937,1928-1937,Arts and Archaeology,Archaeology
"Gibson, H. E.",MASTER_00629,Domesticated animals of Shang and their sacrifice,NS 69,1938,1938,1938-1948,Religion and Philosophy,Religion
"Gibson, H. E.",MASTER_00636,"Evolution of Chinese characters beginning from Shang pictographs, The",NS 70,1939,1939,1938-1948,Literature and Language,Language and languages
"Gibson, H. E.",MASTER_00640,Cowries as money during the Shang and Chou periods,NS 71,1940,1940,1938-1948,"Economy, Trade, and Technology",Economics
"Giles, H. A.",MASTER_00171,Notes on Chinese composition,NS 17,1882,1882,1878-1887,Literature and Language,Language and languages
"Giles, H. A.",MASTER_00194,"The Hung Lou M<U+00EA>ng, commonly called <U+201C> The Dream of the Red Chamber """,NS 20,1885,1885,1878-1887,Literature and Language,Language and languages
"Giles, H. A.",MASTER_00217,The Family names,NS 21,1886,1886,1878-1887,Literature and Language,Language and languages
"Gillett, M. C.",MASTER_00658,Some notes on the blue Turkish tongue,NS 73,1948,1948,1938-1948,Literature and Language,Language and languages
"Gillis, I. V.",MASTER_00497,"Critical review of Chalfant's notes upon the "" Shuo Wen """,NS 56,1925,1925,1918-1927,Literature and Language,East Asian languages
"Goodrich, L. C.",MASTER_00626,Korean interference with Chinese historical records,NS 68,1937,1937,1928-1937,History and Chronology,History
"Grabau, A. W.",MASTER_00595,"Beginning of the human race, The",NS 65,1934,1934,1928-1937,Anthropology and Social Customs,Anthropology
"Groot, J. J. M. de",MASTER_00254,Militant spirit of the Buddhist clergy in China,NS 26,1891,1892,1888-1897,Religion and Philosophy,Buddhism
"Guppy, H. B.",MASTER_00167,"Notes on the hydrology of the Yang - tse, the Yellow River, and the Pei - ho *",NS 16,1881,1881,1878-1887,Natural Sciences,Hydrology
"Guppy, H. B.",MASTER_00168,"Some notes on the geology of Takow, Formosa",NS 16,1881,1881,1878-1887,Natural Sciences,Geology
"Guppy, H. B.",MASTER_00172,On the geology of the neighbourhood of Nagasaki,NS 17,1882,1882,1878-1887,Natural Sciences,Geology
"Guppy, H. B.",MASTER_00181,Notes on some dikes at the mouth of the Nankow pass *,NS 18,1883,1883,1878-1887,Natural Sciences,Geology
"Guppy, H. B.",MASTER_00182,Samshu - brewing in North China,NS 18,1883,1883,1878-1887,Natural Sciences,Agriculture
"Guppy, H. B.",MASTER_00182,Samshu - brewing in North China,NS 18,1883,1883,1878-1887,"Economy, Trade, and Technology",Commerce
"Guppy, H. B.",MASTER_00182,Samshu - brewing in North China,NS 18,1883,1883,1878-1887,"Economy, Trade, and Technology",Industries
"H., F.",MASTER_00193,"Derivation of the German word "" huhnerauger """,NS 20,1885,1885,1878-1887,Literature and Language,Language and languages
"H., F.",MASTER_00221,Pen - ts ' ao - meng - ch'uan,NS 21,1886,1886,1878-1887,Literature and Language,Language and languages
"Haas, J.",MASTER_00163,Siamese coinage *,NS 14,1879,1879,1878-1887,Arts and Archaeology,Numismatics
"Hall, J. C.",MASTER_00324,"Confucian reformers in Japan in the 18th Century, The (Trans. of Dazai's "" Exposition of Doctrine "")",NS 41,1910,1910,1908-1917,Religion and Philosophy,Confucianism
"Hallifax, T. E.",MASTER_00247,Note on the comparative longevity of males and females in Japan,NS 24,1889,1890,1888-1897,Natural Sciences,Zoology
"Harding, H. L.",MASTER_00398,On a method of divination practised at Foochow,NS 49,1918,1918,1918-1927,Anthropology and Social Customs,Manners and customs
"Hauer, Erich",MASTER_00559,Why the sinologue should study manchu ?,NS 61,1930,1930,1928-1937,Literature and Language,East Asian languages
"Haward, E.",MASTER_00569,"Indian frontier, The",NS 62,1931,1931,1928-1937,Geography and Travel,Asia
"Haward, E.",MASTER_00569,"Indian frontier, The",NS 62,1931,1931,1928-1937,Geography and Travel,Geography
"Haward, E.",MASTER_00569,"Indian frontier, The",NS 62,1931,1931,1928-1937,History and Chronology,"History, Modern"
"Haward, E.",MASTER_00569,"Indian frontier, The",NS 62,1931,1931,1928-1937,Geography and Travel,Travel
"Hayes, L. N.",MASTER_00482,"Gods of the Chinese, The",NS 55,1924,1924,1918-1927,Religion and Philosophy,China--Religion
"Hayes, L. N.",MASTER_00524,The Great Wall of China,NS 59,1928,1928,1928-1937,Geography and Travel,Asia
"Hayes, L. N.",MASTER_00524,The Great Wall of China,NS 59,1928,1928,1928-1937,Geography and Travel,Geography
"Hayes, L. N.",MASTER_00524,The Great Wall of China,NS 59,1928,1928,1928-1937,Geography and Travel,Travel
"Headland, I. T.",MASTER_00314,Chinese children's games,NS 37,1906,1906,1898-1907,Anthropology and Social Customs,Manners and customs
"Heeren, J. J.",MASTER_00468,Bishop Della Chiesa and the story of his lost grave *,NS 54,1923,1923,1918-1927,Religion and Philosophy,Christianity
"Heeren, J. J.",MASTER_00494,Some new light on the life and times of Bishop Della Chiesa,NS 56,1925,1925,1918-1927,Anthropology and Social Customs,Mythology
"Heeren, J. J.",MASTER_00494,Some new light on the life and times of Bishop Della Chiesa,NS 56,1925,1925,1918-1927,Religion and Philosophy,Religion
Heidenstem,MASTER_00439,"Growth of the Yangtze delta, The *",NS 53,1922,1922,1918-1927,Natural Sciences,Geology
Heidenstem,MASTER_00439,"Growth of the Yangtze delta, The *",NS 53,1922,1922,1918-1927,Natural Sciences,Hydrology
"Henderson, J.",MASTER_00037,"Medicine and medical practice of the Chinese, The",NS 1,1864,1864,1858-1867,Natural Sciences,Medicine
"Henderson, J.",MASTER_00034,Notes on some of the physical causes which modify climate,NS 1,1864,1864,1858-1867,Natural Sciences,Meteorology
"Henke, F. G.",MASTER_00342,The philosophy of Wang Yang Ming,NS 44,1913,1913,1908-1917,Religion and Philosophy,Philosophy
"Henry, A.",MASTER_00233,Chinese names of plants,NS 22,1887,1887,1878-1887,Natural Sciences,Botany
"Hers, J.",MASTER_00447,Chinese names of plants ; a preliminary list of the trees and shrubs of North Honan,NS 53,1922,1922,1918-1927,Natural Sciences,Botany
"Himly, K.",MASTER_00100,The Chinese game of chess as compared with that practised by Western nations,NS 6,1869,1870,1868-1877,Anthropology and Social Customs,Manners and customs
"Hirth, F.",MASTER_00175,The Hoppo - book of 1753,NS 17,1882,1882,1878-1887,"Economy, Trade, and Technology",Economics
"Hirth, F.",MASTER_00175,The Hoppo - book of 1753,NS 17,1882,1882,1878-1887,"Politics, Government, and Law",Government
"Hirth, F.",MASTER_00175,The Hoppo - book of 1753,NS 17,1882,1882,1878-1887,"Politics, Government, and Law",Political science--Philosophy
"Hirth, F.",MASTER_00200,Western appliances in the Chinese printing industry,NS 20,1885,1885,1878-1887,Natural Sciences,Agriculture
"Hirth, F.",MASTER_00200,Western appliances in the Chinese printing industry,NS 20,1885,1885,1878-1887,"Economy, Trade, and Technology",Commerce
"Hirth, F.",MASTER_00200,Western appliances in the Chinese printing industry,NS 20,1885,1885,1878-1887,"Economy, Trade, and Technology",Industries
"Hirth, F.",MASTER_00216,"Chinese equivalents of the letter "" R "" in foreign names",NS 21,1886,1886,1878-1887,Literature and Language,Language and languages
"Hirth, F.",MASTER_00215,"Reply to Mr. H. J. Allen's paper "" Ta - ts ' in and dependent states "" *",NS 21,1886,1886,1878-1887,Geography and Travel,Geography
"Hirth, F.",MASTER_00210,"Reply to Mr. H. J. Allen's paper "" Where was Ta - ts ' in ? """,NS 21,1886,1886,1878-1887,Geography and Travel,Geography
"Hirth, F.",MASTER_00230,Ancient porcelain : a study in Chinese mediaeval industry and trade,NS 22,1887,1887,1878-1887,Natural Sciences,Agriculture
"Hirth, F.",MASTER_00230,Ancient porcelain : a study in Chinese mediaeval industry and trade,NS 22,1887,1887,1878-1887,"Economy, Trade, and Technology",Commerce
"Hirth, F.",MASTER_00230,Ancient porcelain : a study in Chinese mediaeval industry and trade,NS 22,1887,1887,1878-1887,"Economy, Trade, and Technology",Industries
"Hirth, F.",MASTER_00230,Ancient porcelain : a study in Chinese mediaeval industry and trade,NS 22,1887,1887,1878-1887,Arts and Archaeology,Porcelain
"Hirth, F.",MASTER_00226,Notes on the early history of the salt monopoly in China,NS 22,1887,1887,1878-1887,"Economy, Trade, and Technology",Economics
"Hirth, F.",MASTER_00226,Notes on the early history of the salt monopoly in China,NS 22,1887,1887,1878-1887,"Politics, Government, and Law",Government
"Hirth, F.",MASTER_00226,Notes on the early history of the salt monopoly in China,NS 22,1887,1887,1878-1887,"Politics, Government, and Law",Political science--Philosophy
"Hirth, F.",MASTER_00231,The Chinese Oriental College,NS 22,1887,1887,1878-1887,Education,Education
"Hirth, F.",MASTER_00231,The Chinese Oriental College,NS 22,1887,1887,1878-1887,Literature and Language,Language and languages
"Hirth, F.",MASTER_00231,The Chinese Oriental College,NS 22,1887,1887,1878-1887,Literature and Language,Literature
"Hobson, H. E.",MASTER_00146,"Fort Zelandia, and the Dutch occupation of Formosa",NS 11,1877,1877,1868-1877,History and Chronology,History
"Hobson, H. E.",MASTER_00237,The Porcelain Pagoda of Nanking,NS 23,1888,1888,1888-1897,Arts and Archaeology,Architecture
"Hobson, H. E.",MASTER_00237,The Porcelain Pagoda of Nanking,NS 23,1888,1888,1888-1897,Religion and Philosophy,Buddhism
"Hodous, L.",MASTER_00334,"Great Summer Festival of China as observed in Foochow, The",NS 43,1912,1912,1908-1917,Anthropology and Social Customs,Manners and customs
"Hodous, L.",MASTER_00364,"Ch'ing Ming Festival, The",NS 46,1915,1915,1908-1917,Anthropology and Social Customs,Manners and customs
"Hodous, L.",MASTER_00379,"Dragon, The",NS 48,1917,1917,1908-1917,Anthropology and Social Customs,Mythology
"Hodous, L.",MASTER_00397,"Kite Festival in Foochow, China, The",NS 49,1918,1918,1918-1927,Anthropology and Social Customs,Manners and customs
"Holcombe, C.",MASTER_00139,Notes made on a tour through Shan - hsi and Shen - hsi,NS 10,1876,1876,1868-1877,Geography and Travel,Travel
Hollingworth and Piry,MASTER_00043,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",NS 1,1864,1864,1858-1867,Natural Sciences,Meteorology
"Hollingworth, H. G.",MASTER_00069,"A Short sketch of the Chinese game of chess, Seang - kh'e",NS 3,1866,1866,1858-1867,Anthropology and Social Customs,Manners and customs
"Hosie, A.",MASTER_00153,"Droughts in China, A. D. 620-1643",NS 12,1878,1878,1878-1887,Natural Sciences,Meteorology
"Hosie, A.",MASTER_00154,"Sunspots and sun - shadows observed in China, B. C. 28 - A. D. 1617",NS 12,1878,1878,1878-1887,Natural Sciences,Astronomy
"Hosie, A.",MASTER_00189,Trade routes to Western China,NS 19 Part 1,1884,1884,1878-1887,"Economy, Trade, and Technology",Telecommunication
"Hosie, A.",MASTER_00500,"Map of China in the making, A",NS 57,1926,1926,1918-1927,Geography and Travel,Asia
"Hosie, A.",MASTER_00500,"Map of China in the making, A",NS 57,1926,1926,1918-1927,Geography and Travel,Geography
"Hosie, A.",MASTER_00500,"Map of China in the making, A",NS 57,1926,1926,1918-1927,Geography and Travel,Travel
"House, I. E.",MASTER_00655,"Butterfly hunting in Pi Hu, S. Chekiang",NS 73,1948,1948,1938-1948,Natural Sciences,Zoology
"Howell, E. B.",MASTER_00417,"Exhibition of pictures by a Russian artist, An *",NS 50,1919,1919,1918-1927,Arts and Archaeology,Archaeology
"Howell, E. B.",MASTER_00417,"Exhibition of pictures by a Russian artist, An *",NS 50,1919,1919,1918-1927,Arts and Archaeology,Art
Hu Shih（胡适）,MASTER_00533,"Wang Mang, the socialist emperor of nineteen centuries ago",NS 59,1928,1928,1928-1937,History and Chronology,Biography
Hu Shih（胡适）,MASTER_00538,"Establishment of Confucianism as a state religion during the Han dynasty, The",NS 60,1929,1929,1928-1937,Religion and Philosophy,China--Religion
"Hudson, E.",MASTER_00444,Lan - tsih *,NS 53,1922,1922,1918-1927,Literature and Language,Language and languages
"Hudson, E.",MASTER_00456,"Drought, The",NS 54,1923,1923,1918-1927,Literature and Language,Language and languages
"Hudson, E.",MASTER_00458,"Night in the mountains, A",NS 54,1923,1923,1918-1927,Literature and Language,Language and languages
"Hudson, E.",MASTER_00457,Then and now,NS 54,1923,1923,1918-1927,Literature and Language,Language and languages
"Hudson, E.",MASTER_00516,"Little Lu - fu, and looking at a painting by Wang - tzu",NS 58,1927,1927,1918-1927,Literature and Language,Literature
"Hudson, E.",MASTER_00535,"Kite's message, The",NS 59,1928,1928,1928-1937,Literature and Language,Literature
"Hughes, E. R.",MASTER_00578,Political indealists and realists of China of the fourth and third centruies B. C.,NS 63,1932,1932,1928-1937,History and Chronology,History
Hutson J.,MASTER_00400,"Domestic altar, The",NS 49,1918,1918,1918-1927,Religion and Philosophy,Religion
Hutson J.,MASTER_00422,Chinese ideas of antiques,NS 51,1920,1920,1918-1927,Arts and Archaeology,Archaeology
Hutson J.,MASTER_00422,Chinese ideas of antiques,NS 51,1920,1920,1918-1927,Arts and Archaeology,Art
Hutson J.,MASTER_00440,"Shuh country, The",NS 53,1922,1922,1918-1927,Arts and Archaeology,Archaeology
Hutson J.,MASTER_00440,"Shuh country, The",NS 53,1922,1922,1918-1927,Arts and Archaeology,Art
Hutson J.,MASTER_00440,"Shuh country, The",NS 53,1922,1922,1918-1927,History and Chronology,History
Hutson J.,MASTER_00440,"Shuh country, The",NS 53,1922,1922,1918-1927,Anthropology and Social Customs,Manners and customs
Hutson J.,MASTER_00460,The Shuh country,NS 54,1923,1923,1918-1927,Arts and Archaeology,Archaeology
Hutson J.,MASTER_00460,The Shuh country,NS 54,1923,1923,1918-1927,Arts and Archaeology,Art
Hutson J.,MASTER_00460,The Shuh country,NS 54,1923,1923,1918-1927,History and Chronology,History
Hutson J.,MASTER_00460,The Shuh country,NS 54,1923,1923,1918-1927,Anthropology and Social Customs,Manners and customs
"Imbault-Huart, C.",MASTER_00179,Fragmens d'un voyage dans l'interieur de la Chine,NS 18,1883,1883,1878-1887,Geography and Travel,Travel
"Imbault-Huart, C.",MASTER_00190,"Poete Chinois du XVIIIe siecle, Yuan Tseu - ts ' ai, sa vie et ses oeuvres, Un",NS 19 Part 2,1884,1884,1878-1887,Literature and Language,Language and languages
"Imbault-Huart, C.",MASTER_00265,"Voyage de l'Ambassade Hollandaise de 1656 a travers la Province de Canton, Le",NS 29,1894,1895,1888-1897,Geography and Travel,Travel
"Imbault-Huart, C.",MASTER_00270,LE VOYAGE DE L'AMBASSADE HOLLANDAISE DE 1656 A TRAVERS LA PROVINCE DE CANTON.,NS 30,1895,1896,1888-1897,History and Chronology,History
"Imbault-Huart, C.",MASTER_00270,LE VOYAGE DE L'AMBASSADE HOLLANDAISE DE 1656 A TRAVERS LA PROVINCE DE CANTON.,NS 30,1895,1896,1888-1897,"Politics, Government, and Law",Political science
"Imbault-Huart, C.",MASTER_00270,LE VOYAGE DE L'AMBASSADE HOLLANDAISE DE 1656 A TRAVERS LA PROVINCE DE CANTON.,NS 30,1895,1896,1888-1897,Geography and Travel,Travel
"Inglis, J. W.",MASTER_00377,"Nestorian share in Buddhist translation, The",NS 48,1917,1917,1908-1917,Religion and Philosophy,Buddhism
"Inglis, J. W.",MASTER_00376,"Vows of Amida, The",NS 48,1917,1917,1908-1917,Religion and Philosophy,Buddhism
"Jacot, A. P.",MASTER_00448,"Oribatoidae Sinensis, Part I",NS 53,1922,1922,1918-1927,Natural Sciences,Zoology
"Jacot, A. P.",MASTER_00467,"Oribatoidae Sinensis, Part II",NS 54,1923,1923,1918-1927,Natural Sciences,Zoology
"Jacot, A. P.",MASTER_00481,"Oribatoidea Sinensis, Part III",NS 55,1924,1924,1918-1927,Natural Sciences,Zoology
"Jacot, A. P.",MASTER_00492,Shantung foraminifera,NS 56,1925,1925,1918-1927,Natural Sciences,Zoology
"Jacot, A. P.",MASTER_00517,"Genus gueldenstaedtia (leguminoseae), The",NS 58,1927,1927,1918-1927,Natural Sciences,Zoology
"Jacot, A. P.",MASTER_00532,Contributions from the Herbarium of the Shantung Christian University,NS 59,1928,1928,1928-1937,Natural Sciences,Botany
"Jacot, A. P.",MASTER_00558,Contributions from the Herbarium of the Shantung Christian University,NS 61,1930,1930,1928-1937,Natural Sciences,Botany
"Jacot, A. P.",MASTER_00566,Contributions from the Herbarium of the Shantung Christian University,NS 62,1931,1931,1928-1937,Natural Sciences,Botany
"Jamieson, C. A.",MASTER_00455,Chu - goh Leang and the arrows,NS 54,1923,1923,1918-1927,Literature and Language,Language and languages
"Jamieson, G.",MASTER_00238,Tenure of land in China and the condition of the rural population,NS 23,1888,1888,1888-1897,Natural Sciences,Agriculture
"Jamieson, G.",MASTER_00238,Tenure of land in China and the condition of the rural population,NS 23,1888,1888,1888-1897,"Economy, Trade, and Technology",Commerce
"Jamieson, G.",MASTER_00238,Tenure of land in China and the condition of the rural population,NS 23,1888,1888,1888-1897,"Economy, Trade, and Technology",Industries
"Jamieson, G.",MASTER_00238,Tenure of land in China and the condition of the rural population,NS 23,1888,1888,1888-1897,"Politics, Government, and Law",Law
"Jamieson, R. A.",MASTER_00058,Remarks upon exhibiting a To - lo Pall to the Society,NS 1,1864,1864,1858-1867,Religion and Philosophy,Buddhism
"Jamieson, R. A.",MASTER_00058,Remarks upon exhibiting a To - lo Pall to the Society,NS 1,1864,1864,1858-1867,Anthropology and Social Customs,Manners and customs
"Jamieson, R. A.",MASTER_00039,"Retrospect of events in the north of China, 1861-1864",NS 1,1864,1864,1858-1867,History and Chronology,"History, Modern (20th century)"
"Jamieson, R. A.",MASTER_00053,The Hieroglyphic Character of the Chinese written Lan. 113,NS 1,1864,1864,1858-1867,Literature and Language,Language and languages
"Jarvie, R.",MASTER_00054,Respecting China grass,NS 1,1864,1864,1858-1867,Natural Sciences,Agriculture
"Jarvie, R.",MASTER_00054,Respecting China grass,NS 1,1864,1864,1858-1867,"Economy, Trade, and Technology",Commerce
