author_name,master_id,title,volume,year_start,year_end,time_window,subject_l1,subject_l2
"Bourne, F. S. A.",MASTER_00286,Possible and impossible reforms,NS 33,1900,1901,1898-1907,"Politics, Government, and Law",Political science--Philosophy
"Box, E.",MASTER_00297,Shanghai folk - lore,NS 34,1901,1902,1898-1907,Anthropology and Social Customs,Mythology
"Box, E.",MASTER_00309,Shanghai folk - lore,NS 36,1905,1905,1898-1907,Anthropology and Social Customs,Mythology
"Bradley, C. B.",MASTER_00362,"Tone - accents of two Chinese dialects, The *",NS 46,1915,1915,1908-1917,Literature and Language,Language and languages
"Bretschneider, E.",MASTER_00141,Notices of the mediaeval geography and history of Central and Western Asia *,NS 10,1876,1876,1868-1877,Anthropology and Social Customs,Anthropology
"Bretschneider, E.",MASTER_00141,Notices of the mediaeval geography and history of Central and Western Asia *,NS 10,1876,1876,1868-1877,Anthropology and Social Customs,Ethnology
"Bretschneider, E.",MASTER_00141,Notices of the mediaeval geography and history of Central and Western Asia *,NS 10,1876,1876,1868-1877,Geography and Travel,Geography
"Bretschneider, E.",MASTER_00141,Notices of the mediaeval geography and history of Central and Western Asia *,NS 10,1876,1876,1868-1877,History and Chronology,History
"Bretschneider, E.",MASTER_00164,Early European researches into the flora of China,NS 15,1880,1880,1878-1887,Natural Sciences,Botany
"Bretschneider, E.",MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,Natural Sciences,Botany
"Bretschneider, E.",MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,Literature and Language,Language and languages
"Bretschneider, E.",MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,Literature and Language,Literature
"Bretschneider, E.",MASTER_00264,"Chinese geographical names mentioned in the "" Pen Ts ' ao Kang Mu """,NS 29,1894,1895,1888-1897,Geography and Travel,Geography
"Bridgman, E. C.",MASTER_00022,Sketches of the Miau - tsze,OS 1 Part 3,1859,1859,1858-1867,Anthropology and Social Customs,Anthropology
"Bridgman, E. C.",MASTER_00022,Sketches of the Miau - tsze,OS 1 Part 3,1859,1859,1858-1867,Anthropology and Social Customs,Ethnology
"Brown, M. H.",MASTER_00619,"Chinese attitude to peace and war in pre - Confucian Times, The",NS 67,1936,1936,1928-1937,Religion and Philosophy,Confucianism
"Brown, S. R.",MASTER_00048,Annals of the Western Ocean,NS 2,1865,1865,1858-1867,Religion and Philosophy,Christianity
"Bruce, J. P.",MASTER_00402,"Theistic import of the Sung philosophy, The",NS 49,1918,1918,1918-1927,Religion and Philosophy,Philosophy
"Bruce, P.",MASTER_00555,The I - Wei a problem in criticism *,NS 61,1930,1930,1928-1937,Religion and Philosophy,China--Religion
"Budd, C.",MASTER_00454,"Snowstorm, A",NS 54,1923,1923,1918-1927,Literature and Language,Language and languages
"Budd, C.",MASTER_00560,Chinese poems,NS 61,1930,1930,1928-1937,Literature and Language,Literature
"Bushell, S. W.",MASTER_00130,"Stone drums of the Chou Dynasty, The *",NS 8,1874,1874,1868-1877,Arts and Archaeology,Archaeology
"Bushell, S. W.",MASTER_00165,Coins of the present dynasty of China *,NS 15,1880,1880,1878-1887,Arts and Archaeology,Numismatics
"Bushell, S. W.",MASTER_00268,"Hsi Hsia Dynasty of Tangut, their money and peculiar script, The *",NS 29,1894,1895,1888-1897,History and Chronology,History
"Bushell, S. W.",MASTER_00268,"Hsi Hsia Dynasty of Tangut, their money and peculiar script, The *",NS 29,1894,1895,1888-1897,Literature and Language,Language and languages
"Bushell, S. W.",MASTER_00268,"Hsi Hsia Dynasty of Tangut, their money and peculiar script, The *",NS 29,1894,1895,1888-1897,Literature and Language,Literature
"Bushell, S. W.",MASTER_00268,"Hsi Hsia Dynasty of Tangut, their money and peculiar script, The *",NS 29,1894,1895,1888-1897,Arts and Archaeology,Numismatics
"Bushell, S. W.",MASTER_00273,"THE HSI HSIA DYNASTY OF TANGUT, THEIR MONEY AND PECULIAR SCRIPT.",NS 30,1895,1896,1888-1897,History and Chronology,History
"Bushell, S. W.",MASTER_00273,"THE HSI HSIA DYNASTY OF TANGUT, THEIR MONEY AND PECULIAR SCRIPT.",NS 30,1895,1896,1888-1897,Literature and Language,Language and languages
"Bushell, S. W.",MASTER_00273,"THE HSI HSIA DYNASTY OF TANGUT, THEIR MONEY AND PECULIAR SCRIPT.",NS 30,1895,1896,1888-1897,Arts and Archaeology,Numismatics
"Bushell, S. W.",MASTER_00288,Additional coins of the present dynasty *,NS 33,1900,1901,1898-1907,Arts and Archaeology,Numismatics
"Butcher, C. H.",MASTER_00055,Notes on the funeral rites performed at the obsequies of Takee,NS 1,1864,1864,1858-1867,Anthropology and Social Customs,Manners and customs
"Butcher, C. H.",MASTER_00070,"Retrospect of events in the north of China, 1866",NS 3,1866,1866,1858-1867,History and Chronology,"History, Modern (20th century)"
"Buxton, D.",MASTER_00547,"Light thrown on ancient Chinese history by recent archaeological discoveries, The *",NS 61,1930,1930,1928-1937,History and Chronology,"History, Ancient"
"Camajee, D. N.",MASTER_00133,"Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster",NS 9,1875,1875,1868-1877,Religion and Philosophy,Religion
"Canny, J. M.",MASTER_00038,The Sea-board of Russian Manchuria,NS 1,1864,1864,1858-1867,Geography and Travel,Travel
"Carey, F. W.",MASTER_00304,Notes of an overland journey from Szemao to Rangoon *,NS 36,1905,1905,1898-1907,Geography and Travel,Travel
"Carles, W. R.",MASTER_00222,Corea,NS 21,1886,1886,1878-1887,Geography and Travel,Travel
"Carles, W. R.",MASTER_00228,Remarks on the production of salt in China,NS 22,1887,1887,1878-1887,Natural Sciences,Agriculture
"Carles, W. R.",MASTER_00228,Remarks on the production of salt in China,NS 22,1887,1887,1878-1887,"Economy, Trade, and Technology",Commerce
"Carles, W. R.",MASTER_00228,Remarks on the production of salt in China,NS 22,1887,1887,1878-1887,"Economy, Trade, and Technology",Industries
"Carles, W. R.",MASTER_00234,A Corean monument to Manchu clemency,NS 23,1888,1888,1888-1897,History and Chronology,History
"Carles, W. R.",MASTER_00281,"Grand Canal of China, The",NS 31,1896,1897,1888-1897,Natural Sciences,Hydrology
"Carles, W. R.",MASTER_00281,"Grand Canal of China, The",NS 31,1896,1897,1888-1897,"Economy, Trade, and Technology",Telecommunication
"Ch'en, S. C.",MASTER_00622,"Sang Hung - yang, economist of the early Han",NS 67,1936,1936,1928-1937,"Economy, Trade, and Technology",Economics
"Chalfant, F. H.",MASTER_00300,Standard weights and measures of the Ch ' in Dynasty *,NS 35,1903,1904,1898-1907,Anthropology and Social Customs,Manners and customs
Chang Hsin-hai（张歆海）,MASTER_00537,Some types of Chinese historical thought,NS 60,1929,1929,1928-1937,Geography and Travel,Asia
Chang Hsin-hai（张歆海）,MASTER_00537,Some types of Chinese historical thought,NS 60,1929,1929,1928-1937,History and Chronology,"History, Modern"
Chang Hsing Lang（张星烺）,MASTER_00657,"Cause which induced the monk I - szu, the Nestorian Archbishop of Ch'ang an, to come to China and the exact date of his arrival, The",NS 73,1948,1948,1938-1948,Religion and Philosophy,Christianity
"Chatley, H.",MASTER_00378,Magical practice in China,NS 48,1917,1917,1908-1917,Religion and Philosophy,Religion
"Chatley, H.",MASTER_00393,River problems in China *,NS 49,1918,1918,1918-1927,Natural Sciences,Hydrology
"Chatley, H.",MASTER_00421,China's petrified sun - rays,NS 51,1920,1920,1918-1927,Natural Sciences,Geology
"Chatley, H.",MASTER_00462,Science in old China *,NS 54,1923,1923,1918-1927,Inscriptions and Miscellaneous,Miscellaneous
"Chatley, H.",MASTER_00478,"Dead Hand in China, The",NS 55,1924,1924,1918-1927,Anthropology and Social Customs,Folklore
"Chatley, H.",MASTER_00540,Did ancient Chinese culture come from Egypt ?,NS 60,1929,1929,1928-1937,Anthropology and Social Customs,Anthropology
"Chatley, H.",MASTER_00540,Did ancient Chinese culture come from Egypt ?,NS 60,1929,1929,1928-1937,Anthropology and Social Customs,Ethnology
"Chatley, H.",MASTER_00552,Can Chinese writing be simplified ?,NS 61,1930,1930,1928-1937,Literature and Language,East Asian languages
"Chatley, H.",MASTER_00565,"History of the days of the week, The",NS 62,1931,1931,1928-1937,History and Chronology,"Chronology, Historical"
"Chatley, H.",MASTER_00589,Futher notes on the history of the days of the week,NS 64,1933,1933,1928-1937,History and Chronology,History
"Chatley, H.",MASTER_00597,"Cycles of Cathay, The",NS 65,1934,1934,1928-1937,History and Chronology,"Chronology, Historical"
"Chatley, H.",MASTER_00613,T'ai Chi Shang Yun the chinese astrological theory of creation,NS 67,1936,1936,1928-1937,Arts and Archaeology,Architecture
Cheng Te-k'un,MASTER_00593,"Travels of Emperor Mu, The",NS 64,1933,1933,1928-1937,Geography and Travel,Travel
Cheng Te-k'un,MASTER_00602,"Travels of Emperor MU, The (concluded)",NS 65,1934,1934,1928-1937,Geography and Travel,Travel
"Clarke, G. W.",MASTER_00262,"Yu - li or Precious Records, The *",NS 28,1893,1894,1888-1897,Literature and Language,Language and languages
Coching Chu（竺可桢）,MASTER_00562,Climatic changes during historic time in China,NS 62,1931,1931,1928-1937,Natural Sciences,Astronomy
"Collins, V. D.",MASTER_00049,"Sorgo, or Northern Chinese sugar cane",NS 2,1865,1865,1858-1867,Natural Sciences,Botany
"Cordier, H.",MASTER_00136,Narrative of recent events in Tong - king,NS 9,1875,1875,1868-1877,History and Chronology,"History, Modern (20th century)"
"Couling, C. E.",MASTER_00520,"Partriarch Lu, The",NS 58,1927,1927,1918-1927,Religion and Philosophy,China--Religion
"Couling, S.",MASTER_00354,"Oracle - bones from Honan, The *",NS 45,1914,1914,1908-1917,Arts and Archaeology,Archaeology
"Couling, S.",MASTER_00363,Chinese pagodas,NS 46,1915,1915,1908-1917,Arts and Archaeology,Architecture
"Couling, S.",MASTER_00385,"Morrison Library, The G. E.",NS 48,1917,1917,1908-1917,Literature and Language,Language and languages
"Courtney, C. F. A.",MASTER_00031,Temperature of Hakodadi,OS 2 Part 1,1860,1860,1858-1867,Natural Sciences,Meteorology
"Cowdry, N. H.",MASTER_00450,Plants from Peitaiho,NS 53,1922,1922,1918-1927,Natural Sciences,Botany
"Darroch, J.",MASTER_00464,A page of ancient Chinese history,NS 54,1923,1923,1918-1927,History and Chronology,Biography
"David, Le P. A.",MASTER_00117,Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale,NS 7,1871,1872,1868-1877,Natural Sciences,Botany
"David, Le P. A.",MASTER_00117,Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale,NS 7,1871,1872,1868-1877,Natural Sciences,Geology
"David, Le P. A.",MASTER_00117,Quelques renseignments sur l'histoire naturelle de la Chine septentrionale et occidentale,NS 7,1871,1872,1868-1877,Natural Sciences,Zoology
"Dechevrens, Le P. M.",MASTER_00170,"The Climate of Shanghai, its meteorological conditions",NS 16,1881,1881,1878-1887,Natural Sciences,Meteorology
"Dennys, N. B.",MASTER_00129,Short notes on Chinese instruments of music *,NS 8,1874,1874,1868-1877,Arts and Archaeology,Music
"Dickson, W.",MASTER_00035,"Narrative of an overland trip, through Hunan, from Canton to Hankow",NS 1,1864,1864,1858-1867,Geography and Travel,Travel
"Dodd, W. C.",MASTER_00418,"Relation of Chinese and Siamese, The *",NS 51,1920,1920,1918-1927,Anthropology and Social Customs,Anthropology
"Dodd, W. C.",MASTER_00418,"Relation of Chinese and Siamese, The *",NS 51,1920,1920,1918-1927,Anthropology and Social Customs,Ethnology
"Dodd, W. C.",MASTER_00418,"Relation of Chinese and Siamese, The *",NS 51,1920,1920,1918-1927,History and Chronology,History
"Dovey, J. W.",MASTER_00490,"Life and times of Confucius, The",NS 56,1925,1925,1918-1927,Religion and Philosophy,China--Religion
"Drake, F. S.",MASTER_00607,China's North - west passage : a chapter in its opening,NS 66,1935,1935,1928-1937,Geography and Travel,Geography
"Drake, F. S.",MASTER_00621,China's Northwest passage : the struggle for the Tarim Basin in the later Han dynasty,NS 67,1936,1936,1928-1937,Geography and Travel,Travel
"Drake, F. S.",MASTER_00641,"Inscribed Chou pottery vessel, An",NS 71,1940,1940,1938-1948,Arts and Archaeology,Archaeology
"Dubs, H. H.",MASTER_00611,Eclipses during the first fifty years of the earlier Han dynasty,NS 66,1935,1935,1928-1937,Natural Sciences,Astronomy
"Dubs, H. H.",MASTER_00617,Han Kao - Tsu and Hsiang Yu,NS 67,1936,1936,1928-1937,History and Chronology,History
"Dubs, H. H.",MASTER_00617,Han Kao - Tsu and Hsiang Yu,NS 67,1936,1936,1928-1937,History and Chronology,"History, Ancient"
"Dunlap, E. W.",MASTER_00643,"Chin Shan Tsui Temple Peitaiho, The",NS 71,1940,1940,1938-1948,Arts and Archaeology,Archaeology
E. BRASS,MASTER_00285,SEALING AND WHALING IN THE NORTHERN PACIFIC.,NS 32,1898,1899,1898-1907,Natural Sciences,Agriculture
E. BRASS,MASTER_00285,SEALING AND WHALING IN THE NORTHERN PACIFIC.,NS 32,1898,1899,1898-1907,"Economy, Trade, and Technology",Commerce
E. BRASS,MASTER_00285,SEALING AND WHALING IN THE NORTHERN PACIFIC.,NS 32,1898,1899,1898-1907,"Economy, Trade, and Technology",Industries
"Edgar, J. H.",MASTER_00353,Notes on temperatures in high altitudes on the Tibetan border,NS 45,1914,1914,1908-1917,Natural Sciences,Meteorology
"Edgar, J. H.",MASTER_00352,The Great wall,NS 45,1914,1914,1908-1917,Natural Sciences,Hydrology
"Edgar, J. H.",MASTER_00352,The Great wall,NS 45,1914,1914,1908-1917,Geography and Travel,Travel
"Edgar, J. H.",MASTER_00351,from Batang to Menkong * Through the land of deep corrosions,NS 45,1914,1914,1908-1917,Natural Sciences,Geology
"Edgar, J. H.",MASTER_00351,from Batang to Menkong * Through the land of deep corrosions,NS 45,1914,1914,1908-1917,Geography and Travel,Travel
"Edgar, J. H.",MASTER_00380,"Country and some customs of the Szechwan Mantze, The",NS 48,1917,1917,1908-1917,Anthropology and Social Customs,Anthropology
"Edgar, J. H.",MASTER_00380,"Country and some customs of the Szechwan Mantze, The",NS 48,1917,1917,1908-1917,Anthropology and Social Customs,Ethnology
"Edgar, J. H.",MASTER_00384,Stone implements on the Upper Yangtze and Min Rivers *,NS 48,1917,1917,1908-1917,Arts and Archaeology,Archaeology
"Edgar, J. H.",MASTER_00442,Note on Chiang sacrifice and litholatry,NS 53,1922,1922,1918-1927,Religion and Philosophy,Religion
"Edgar, J. H.",MASTER_00441,Notes on names of non - Chinese tribes in Western Szechwan,NS 53,1922,1922,1918-1927,Anthropology and Social Customs,Anthropology
"Edgar, J. H.",MASTER_00441,Notes on names of non - Chinese tribes in Western Szechwan,NS 53,1922,1922,1918-1927,Anthropology and Social Customs,Ethnology
"Edgar, J. H.",MASTER_00501,"Tibetan and his environment : an interpretation, The",NS 57,1926,1926,1918-1927,Geography and Travel,Asia
"Edgar, J. H.",MASTER_00501,"Tibetan and his environment : an interpretation, The",NS 57,1926,1926,1918-1927,Geography and Travel,Geography
